FECHA,USO,CONSUMO,ID_CONTADOR
2019-01-02,COMERCIAL,113,66
2020-02-13,COMERCIAL,25,1
2019-03-09,COMERCIAL,308,49
2019-02-01,COMERCIAL,6314,68
2019-01-30,COMERCIAL,103,32
2020-08-31,COMERCIAL,219,12
2019-03-11,COMERCIAL,26,80
2019-02-07,COMERCIAL,16,6
2019-02-10,COMERCIAL,268,57
2019-02-01,COMERCIAL,147,9
2021-10-27,COMERCIAL,42,91
2019-03-09,COMERCIAL,17,48
2019-01-02,COMERCIAL,1180,28
2019-01-17,COMERCIAL,254,52
2019-02-10,COMERCIAL,10,31
2019-01-21,COMERCIAL,95,14
2019-02-12,COMERCIAL,98,50
2019-02-03,COMERCIAL,616,83
2019-01-06,COMERCIAL,19,42
2020-02-03,COMERCIAL,65,3
2019-03-12,COMERCIAL,11,22
2019-03-03,COMERCIAL,275,54
2019-01-29,COMERCIAL,2,15
2019-03-20,COMERCIAL,2,8
2019-01-01,COMERCIAL,71,38
2019-02-17,COMERCIAL,255,35
2019-01-28,COMERCIAL,86,36
2019-03-17,COMERCIAL,515,44
2019-01-24,COMERCIAL,34,78
2019-03-04,COMERCIAL,182,27
2019-01-01,COMERCIAL,9,51
2019-03-04,COMERCIAL,95,45
2019-02-04,COMERCIAL,8,41
2019-02-20,COMERCIAL,84,30
2019-01-06,COMERCIAL,8,34
2020-09-01,COMERCIAL,35,2
2019-02-23,COMERCIAL,32,10
2019-03-11,COMERCIAL,49,74
2019-03-09,COMERCIAL,372,60
2019-01-09,COMERCIAL,293,25
2019-03-05,COMERCIAL,49,55
2019-03-31,COMERCIAL,1,69
2019-09-30,COMERCIAL,3,77
2019-03-21,COMERCIAL,629,39
2019-01-06,COMERCIAL,3,29
2019-03-22,COMERCIAL,171,79
2019-01-03,COMERCIAL,147,66
2020-02-12,COMERCIAL,33,1
2019-03-03,COMERCIAL,13,49
2019-02-15,COMERCIAL,5,68
2019-01-03,COMERCIAL,97,32
2020-08-30,COMERCIAL,116,12
2019-03-14,COMERCIAL,40,80
2019-02-18,COMERCIAL,1,6
2019-02-03,COMERCIAL,12,57
2019-02-16,COMERCIAL,4,9
2021-11-09,COMERCIAL,327,91
2019-03-05,COMERCIAL,109,48
2019-01-17,COMERCIAL,1065,28
2019-01-06,COMERCIAL,118,52
2019-02-03,COMERCIAL,85,53
2019-01-24,COMERCIAL,408,14
2019-02-13,COMERCIAL,90,50
2019-02-23,COMERCIAL,461,83
2019-01-27,COMERCIAL,74,42
2020-02-22,COMERCIAL,30,3
2019-03-11,COMERCIAL,6,22
2019-03-24,COMERCIAL,255,54
2019-01-17,COMERCIAL,47,15
2019-03-07,COMERCIAL,6,8
2019-01-20,COMERCIAL,62,38
2019-02-06,COMERCIAL,161,35
2019-01-02,COMERCIAL,77,36
2019-03-14,COMERCIAL,178,44
2019-01-10,COMERCIAL,2349,78
2019-03-13,COMERCIAL,519,27
2019-01-01,COMERCIAL,20,37
2019-03-18,COMERCIAL,69,45
2019-02-12,COMERCIAL,29,41
2019-02-27,COMERCIAL,88,30
2019-01-20,COMERCIAL,17,34
2020-02-04,COMERCIAL,101,2
2019-02-16,COMERCIAL,21,10
2019-03-20,COMERCIAL,15,74
2019-03-05,COMERCIAL,315,59
2019-01-22,COMERCIAL,243,25
2019-03-08,COMERCIAL,33,55
2019-03-27,COMERCIAL,27,69
2020-03-03,COMERCIAL,41,19
2019-03-05,COMERCIAL,461,39
2019-01-13,COMERCIAL,22,29
2019-03-03,COMERCIAL,145,79
2019-01-13,COMERCIAL,87,66
2020-02-21,COMERCIAL,28,1
2019-03-05,COMERCIAL,251,49
2019-02-16,COMERCIAL,6,68
2019-01-08,COMERCIAL,136,32
2020-08-29,COMERCIAL,967,12
2019-03-18,COMERCIAL,18,80
2019-02-20,COMERCIAL,8,6
2019-02-24,COMERCIAL,83,57
2019-02-22,COMERCIAL,5,9
2021-11-10,COMERCIAL,66,91
2019-03-04,COMERCIAL,79,48
2019-01-14,COMERCIAL,13,28
2019-01-01,COMERCIAL,183,52
2019-02-02,COMERCIAL,151,53
2019-01-01,COMERCIAL,215,14
2019-02-08,COMERCIAL,136,50
2019-02-12,COMERCIAL,459,83
2019-01-13,COMERCIAL,32,42
2020-02-19,COMERCIAL,78,3
2019-03-20,COMERCIAL,13,22
2019-03-12,COMERCIAL,414,54
2019-01-23,COMERCIAL,3,15
2019-03-05,COMERCIAL,3,8
2019-01-27,COMERCIAL,91,38
2019-02-24,COMERCIAL,104,35
2019-01-24,COMERCIAL,55,36
2019-03-24,COMERCIAL,532,44
2019-01-23,COMERCIAL,43,78
2019-03-16,COMERCIAL,495,27
2019-01-20,COMERCIAL,307,40
2019-03-29,COMERCIAL,421,45
2019-02-10,COMERCIAL,8,41
2019-02-18,COMERCIAL,71,30
2019-01-13,COMERCIAL,9,34
2020-02-13,COMERCIAL,87,2
2019-02-13,COMERCIAL,73,10
2019-03-13,COMERCIAL,23,74
2019-03-05,COMERCIAL,279,60
2019-01-14,COMERCIAL,143,25
2019-03-03,COMERCIAL,5,55
2019-03-29,COMERCIAL,53,69
2020-03-04,COMERCIAL,31,19
2019-03-17,COMERCIAL,584,39
2019-01-27,COMERCIAL,9,29
2019-03-16,COMERCIAL,306,79
2019-01-17,COMERCIAL,71,66
2020-02-20,COMERCIAL,33,1
2019-03-07,COMERCIAL,148,49
2019-02-09,COMERCIAL,17,68
2019-01-24,COMERCIAL,133,32
2020-08-28,COMERCIAL,1136,12
2019-03-24,COMERCIAL,39,80
2019-02-21,COMERCIAL,8,6
2019-02-12,COMERCIAL,73,57
2019-02-09,COMERCIAL,6,9
2021-11-12,COMERCIAL,1,91
2019-03-02,COMERCIAL,35,48
2019-01-05,COMERCIAL,1474,28
2019-01-20,COMERCIAL,165,52
2019-02-02,COMERCIAL,33,31
2019-01-13,COMERCIAL,618,14
2019-02-16,COMERCIAL,65,50
2019-02-09,COMERCIAL,672,83
2019-01-20,COMERCIAL,30,42
2020-02-02,COMERCIAL,25,3
2019-03-18,COMERCIAL,5,22
2019-03-04,COMERCIAL,206,54
2019-01-30,COMERCIAL,4,15
2019-03-01,COMERCIAL,15,8
2019-01-28,COMERCIAL,76,38
2019-02-13,COMERCIAL,192,35
2019-01-14,COMERCIAL,167,36
2019-03-30,COMERCIAL,333,44
2019-01-03,COMERCIAL,2384,78
2019-03-15,COMERCIAL,701,27
2019-01-13,COMERCIAL,358,40
2019-03-02,COMERCIAL,964,45
2019-02-06,COMERCIAL,16,41
2019-02-11,COMERCIAL,49,30
2019-01-03,COMERCIAL,51,34
2020-02-03,COMERCIAL,94,2
2019-02-26,COMERCIAL,61,10
2019-03-12,COMERCIAL,36,74
2019-03-03,COMERCIAL,569,59
2019-01-03,COMERCIAL,191,25
2019-03-10,COMERCIAL,16,55
2019-03-14,COMERCIAL,35,69
2020-03-14,COMERCIAL,8,19
2019-03-10,COMERCIAL,496,39
2019-01-09,COMERCIAL,119,29
2019-03-24,COMERCIAL,384,79
2019-01-20,COMERCIAL,45,66
2020-02-17,COMERCIAL,15,1
2019-03-08,COMERCIAL,260,49
2019-02-22,COMERCIAL,6,68
2019-01-02,COMERCIAL,111,32
2020-08-26,COMERCIAL,1040,12
2019-03-19,COMERCIAL,28,80
2019-02-15,COMERCIAL,1,6
2019-02-17,COMERCIAL,21,57
2019-02-02,COMERCIAL,5,9
2021-11-08,COMERCIAL,383,91
2019-03-12,COMERCIAL,60,48
2019-01-30,COMERCIAL,763,28
2019-01-13,COMERCIAL,189,52
2019-02-04,COMERCIAL,134,53
2019-01-02,COMERCIAL,38,14
2019-02-26,COMERCIAL,128,50
2019-02-13,COMERCIAL,425,83
2019-01-02,COMERCIAL,55,42
2020-02-05,COMERCIAL,93,3
2019-03-26,COMERCIAL,13,22
2019-03-14,COMERCIAL,249,54
2019-01-24,COMERCIAL,6,15
2019-03-27,COMERCIAL,3,8
2019-01-13,COMERCIAL,62,38
2019-02-11,COMERCIAL,288,35
2019-01-15,COMERCIAL,90,36
2019-03-29,COMERCIAL,400,44
2019-01-11,COMERCIAL,5532,78
2019-03-05,COMERCIAL,472,27
2019-01-13,COMERCIAL,21,51
2019-03-10,COMERCIAL,598,45
2019-02-24,COMERCIAL,12,41
2019-02-12,COMERCIAL,37,30
2019-01-03,COMERCIAL,51,47
2020-02-07,COMERCIAL,69,2
2019-02-20,COMERCIAL,53,10
2019-03-14,COMERCIAL,6,74
2019-03-17,COMERCIAL,594,59
2019-01-10,COMERCIAL,131,25
2019-03-02,COMERCIAL,38,55
2019-03-23,COMERCIAL,18,69
2020-03-09,COMERCIAL,49,19
2019-03-02,COMERCIAL,685,39
2019-01-20,COMERCIAL,17,29
2019-03-02,COMERCIAL,128,79
2019-01-09,COMERCIAL,102,66
2020-02-19,COMERCIAL,19,1
2019-03-20,COMERCIAL,54,49
2019-04-20,COMERCIAL,8,68
2019-01-17,COMERCIAL,171,32
2020-08-27,COMERCIAL,1066,12
2019-03-21,COMERCIAL,19,80
2019-02-10,COMERCIAL,18,6
2019-02-19,COMERCIAL,62,57
2019-02-08,COMERCIAL,8,9
2021-12-10,COMERCIAL,71,91
2019-03-07,COMERCIAL,117,48
2019-01-16,COMERCIAL,1455,28
2019-01-07,COMERCIAL,27,52
2019-02-04,COMERCIAL,50,31
2019-01-22,COMERCIAL,3384,14
2019-02-23,COMERCIAL,80,50
2019-02-15,COMERCIAL,614,83
2019-01-28,COMERCIAL,71,42
2020-02-10,COMERCIAL,63,3
2019-03-25,COMERCIAL,2,22
2019-03-19,COMERCIAL,266,54
2019-01-25,COMERCIAL,170,15
2019-03-28,COMERCIAL,9,8
2019-01-03,COMERCIAL,89,38
2019-02-27,COMERCIAL,207,35
2019-01-21,COMERCIAL,97,36
2019-03-04,COMERCIAL,1,44
2019-01-04,COMERCIAL,5567,78
2019-03-03,COMERCIAL,187,27
2019-01-02,COMERCIAL,343,40
2019-03-27,COMERCIAL,248,45
2019-02-07,COMERCIAL,29,41
2019-02-19,COMERCIAL,91,30
2019-01-27,COMERCIAL,60,47
2020-02-25,COMERCIAL,168,2
2019-02-02,COMERCIAL,41,10
2019-03-23,COMERCIAL,6,74
2019-03-17,COMERCIAL,42,60
2019-01-17,COMERCIAL,133,25
2019-03-04,COMERCIAL,45,55
2019-03-05,COMERCIAL,36,69
2020-03-10,COMERCIAL,31,19
2019-03-08,COMERCIAL,501,39
2019-01-12,COMERCIAL,98,29
2019-03-06,COMERCIAL,190,79
2019-01-18,COMERCIAL,78,66
2020-02-14,COMERCIAL,21,1
2019-03-02,COMERCIAL,317,49
2019-04-26,COMERCIAL,8,68
2019-01-29,COMERCIAL,116,32
2020-08-13,COMERCIAL,3,12
2019-03-29,COMERCIAL,28,80
2019-02-01,COMERCIAL,7,6
2019-02-06,COMERCIAL,36,57
2019-02-23,COMERCIAL,40,9
2021-12-11,COMERCIAL,58,91
2019-03-08,COMERCIAL,238,48
2019-01-29,COMERCIAL,1176,28
2019-01-09,COMERCIAL,419,52
