FECHA,USO,CONSUMO,ID_CONTADOR
2019-05-28,COMERCIAL,10,153
2019-05-30,COMERCIAL,1793,134
2020-01-31,COMERCIAL,1268,191
2019-07-04,COMERCIAL,27,157
2019-10-23,COMERCIAL,440,93
2019-06-29,COMERCIAL,23,167
2019-07-03,COMERCIAL,139,166
2019-07-19,COMERCIAL,171,150
2019-10-22,COMERCIAL,860,88
2019-05-27,COMERCIAL,-1,159
2019-05-29,COMERCIAL,408,176
2019-10-08,COMERCIAL,139,6
2019-12-18,COMERCIAL,8,110
2019-06-01,COMERCIAL,593,186
2020-06-05,COMERCIAL,22,68
2019-10-20,COMERCIAL,62,80
2019-11-10,COMERCIAL,2,27
2019-06-21,COMERCIAL,659,161
2019-07-10,COMERCIAL,1023,147
2019-10-22,COMERCIAL,747,20
2019-06-30,COMERCIAL,55,178
2019-08-23,COMERCIAL,9,174
2020-04-26,COMERCIAL,1,61
2019-02-08,COMERCIAL,1888,181
2019-07-15,COMERCIAL,1746,177
2019-11-27,COMERCIAL,87,94
2020-11-26,COMERCIAL,27,64
2019-12-11,COMERCIAL,5,151
2020-02-26,COMERCIAL,164,41
2019-03-12,COMERCIAL,18,10
2019-07-26,COMERCIAL,315,149
2019-10-23,COMERCIAL,41,97
2019-06-04,COMERCIAL,11,155
2019-11-03,COMERCIAL,95,81
2019-10-11,COMERCIAL,49,34
2019-10-25,COMERCIAL,7,100
2019-12-25,COMERCIAL,349,105
2019-10-23,COMERCIAL,172,21
2019-10-22,COMERCIAL,524,92
2019-10-24,COMERCIAL,6,86
2019-05-27,COMERCIAL,14,158
2019-11-30,COMERCIAL,35,29
2019-08-30,COMERCIAL,1015,180
2019-09-18,COMERCIAL,118,188
2019-10-23,COMERCIAL,289,90
2019-07-11,COMERCIAL,328,163
2019-10-19,COMERCIAL,3,28
2019-05-30,COMERCIAL,93,148
2019-06-15,COMERCIAL,165,18
2019-10-23,COMERCIAL,85,91
2020-01-25,COMERCIAL,114,114
2019-12-28,COMERCIAL,9,183
2019-06-25,COMERCIAL,63,135
2019-11-14,COMERCIAL,84,35
2019-07-09,COMERCIAL,368,182
2019-03-08,COMERCIAL,130,8
2019-10-17,COMERCIAL,34,106
2019-02-22,COMERCIAL,963,136
2019-05-30,COMERCIAL,265,153
2019-05-28,COMERCIAL,1193,134
2020-02-24,COMERCIAL,7616,191
2019-07-15,COMERCIAL,30,164
2019-10-16,COMERCIAL,627,93
2019-06-19,COMERCIAL,34,160
2019-07-07,COMERCIAL,85,166
2019-07-15,COMERCIAL,86,150
2019-10-16,COMERCIAL,1195,88
2019-05-29,COMERCIAL,9,159
2019-05-28,COMERCIAL,803,176
2019-10-31,COMERCIAL,275,6
2019-12-10,COMERCIAL,2,110
2019-06-30,COMERCIAL,733,186
2021-08-13,COMERCIAL,61,68
2019-10-28,COMERCIAL,6,84
2019-11-01,COMERCIAL,1,27
2019-06-28,COMERCIAL,1985,161
2019-07-04,COMERCIAL,210,147
2020-01-09,COMERCIAL,53,190
2019-06-10,COMERCIAL,72,178
2019-10-29,COMERCIAL,71,89
2020-04-27,COMERCIAL,52,61
2019-02-14,COMERCIAL,556,181
2019-07-31,COMERCIAL,2566,177
2019-11-04,COMERCIAL,67,94
2020-11-17,COMERCIAL,45,64
2019-12-17,COMERCIAL,41,151
2020-02-18,COMERCIAL,167,41
2019-03-29,COMERCIAL,19,10
2019-07-19,COMERCIAL,176,149
2019-10-22,COMERCIAL,29,97
2019-06-05,COMERCIAL,1,155
2019-11-04,COMERCIAL,495,81
2019-10-10,COMERCIAL,93,34
2019-12-15,COMERCIAL,9,100
2019-12-29,COMERCIAL,458,105
2019-10-31,COMERCIAL,260,21
2019-10-11,COMERCIAL,286,12
2019-10-22,COMERCIAL,6,86
2019-05-28,COMERCIAL,27,158
2019-11-21,COMERCIAL,35,29
2019-08-06,COMERCIAL,442,180
2019-12-23,COMERCIAL,50,83
2019-10-24,COMERCIAL,336,90
2019-07-14,COMERCIAL,247,163
2019-12-27,COMERCIAL,35,28
2019-05-26,COMERCIAL,73,148
2019-06-25,COMERCIAL,64,18
2019-10-16,COMERCIAL,88,91
2019-10-31,COMERCIAL,34,25
2019-12-19,COMERCIAL,26,183
2019-06-03,COMERCIAL,23,135
2019-12-13,COMERCIAL,75,77
2019-07-29,COMERCIAL,424,182
2019-03-18,COMERCIAL,102,8
2019-10-21,COMERCIAL,55,106
2019-02-28,COMERCIAL,443,136
2019-07-08,COMERCIAL,4,153
2019-05-29,COMERCIAL,1640,134
2020-02-08,COMERCIAL,1365,191
2019-07-16,COMERCIAL,15,157
2019-10-29,COMERCIAL,477,93
2019-06-17,COMERCIAL,9,160
2019-07-01,COMERCIAL,21,166
2019-07-24,COMERCIAL,76,150
2020-01-05,COMERCIAL,843,88
2019-05-30,COMERCIAL,11,159
2019-05-25,COMERCIAL,383,176
2019-10-28,COMERCIAL,256,6
2019-12-28,COMERCIAL,70,110
2019-06-28,COMERCIAL,376,186
2021-11-06,COMERCIAL,23,68
2019-10-19,COMERCIAL,3215,80
2019-11-03,COMERCIAL,2,27
2019-06-07,COMERCIAL,1952,161
2019-07-09,COMERCIAL,590,147
2020-01-15,COMERCIAL,41,190
2019-06-17,COMERCIAL,98,178
2019-10-30,COMERCIAL,10,174
2020-04-13,COMERCIAL,1,61
2019-02-09,COMERCIAL,297,181
2019-07-18,COMERCIAL,1170,177
2019-11-12,COMERCIAL,91,94
2020-11-25,COMERCIAL,6,64
2020-01-18,COMERCIAL,1,82
2020-02-03,COMERCIAL,153,41
2019-03-11,COMERCIAL,34,10
2019-07-30,COMERCIAL,107,149
2019-10-16,COMERCIAL,24,97
2019-06-15,COMERCIAL,4,155
2019-11-02,COMERCIAL,2020,81
2019-10-09,COMERCIAL,90,34
2019-12-22,COMERCIAL,10,100
2019-12-16,COMERCIAL,467,105
2019-10-26,COMERCIAL,134,21
2019-10-12,COMERCIAL,627,12
2019-10-23,COMERCIAL,11,86
2019-05-31,COMERCIAL,11,158
2019-11-04,COMERCIAL,43,29
2019-08-28,COMERCIAL,345,180
2019-12-23,COMERCIAL,2,78
2019-10-21,COMERCIAL,337,90
2019-07-09,COMERCIAL,244,163
2019-12-09,COMERCIAL,3,28
2019-05-25,COMERCIAL,75,148
2019-06-18,COMERCIAL,93,18
2019-10-21,COMERCIAL,42,91
2019-10-24,COMERCIAL,30,25
2019-12-17,COMERCIAL,41,183
2019-06-20,COMERCIAL,31,135
2019-12-09,COMERCIAL,39,35
2019-07-16,COMERCIAL,185,182
2019-03-12,COMERCIAL,127,8
2019-10-16,COMERCIAL,174,106
2019-02-12,COMERCIAL,440,136
2019-10-09,COMERCIAL,17,153
2019-05-31,COMERCIAL,1635,134
2020-02-11,COMERCIAL,1313,191
2019-07-27,COMERCIAL,1,162
2019-10-21,COMERCIAL,631,93
2019-06-26,COMERCIAL,30,185
2019-07-17,COMERCIAL,97,166
2019-07-26,COMERCIAL,47,150
2020-01-02,COMERCIAL,772,88
2019-05-26,COMERCIAL,48,159
2019-05-23,COMERCIAL,83,176
2019-10-17,COMERCIAL,243,6
2019-12-11,COMERCIAL,3,110
2019-06-21,COMERCIAL,378,186
2019-10-17,COMERCIAL,18,84
2019-11-06,COMERCIAL,67,27
2019-06-02,COMERCIAL,135,161
2019-07-11,COMERCIAL,171,147
2020-01-26,COMERCIAL,10,190
2019-06-19,COMERCIAL,90,178
2019-11-04,COMERCIAL,294,89
2020-04-21,COMERCIAL,33,61
2019-02-18,COMERCIAL,229,181
2019-07-09,COMERCIAL,2158,177
2019-11-07,COMERCIAL,68,94
2020-11-28,COMERCIAL,5,64
2020-01-17,COMERCIAL,23,151
2020-02-24,COMERCIAL,210,41
2019-03-27,COMERCIAL,27,10
2019-07-24,COMERCIAL,94,149
2019-10-24,COMERCIAL,11,97
2019-08-02,COMERCIAL,1,155
2019-11-05,COMERCIAL,1954,81
2019-10-08,COMERCIAL,77,34
2019-12-02,COMERCIAL,3,100
2019-12-09,COMERCIAL,519,105
2019-10-16,COMERCIAL,219,21
2019-10-26,COMERCIAL,585,12
2019-10-17,COMERCIAL,9,86
2019-05-29,COMERCIAL,7,158
2019-11-15,COMERCIAL,26,29
2019-08-04,COMERCIAL,398,180
2019-12-23,COMERCIAL,4,108
2019-10-19,COMERCIAL,389,90
2019-07-01,COMERCIAL,325,163
2019-12-07,COMERCIAL,181,28
2019-05-29,COMERCIAL,76,148
2019-06-26,COMERCIAL,55,18
2019-10-17,COMERCIAL,15,91
