FECHA,USO,CONSUMO,ID_CONTADOR
2020-09-11,COMERCIAL,1,17
2020-09-24,COMERCIAL,173,47
2021-07-27,COMERCIAL,102,8
2019-02-07,COMERCIAL,32,50
2019-01-25,COMERCIAL,44,57
2021-01-02,COMERCIAL,441,28
2020-02-24,COMERCIAL,17,25
2021-10-26,COMERCIAL,169,16
2021-12-12,COMERCIAL,1,26
2021-11-13,COMERCIAL,39,34
2020-09-10,COMERCIAL,18,52
2020-09-14,COMERCIAL,32,14
2019-03-22,COMERCIAL,1,40
2020-04-05,COMERCIAL,22,20
2020-11-10,COMERCIAL,-1,48
2019-01-02,COMERCIAL,3,52
2021-02-21,COMERCIAL,2,11
2021-07-16,COMERCIAL,55,52
2020-09-02,COMERCIAL,48,30
2021-11-19,COMERCIAL,297,8
2021-04-22,COMERCIAL,482,14
2020-09-15,COMERCIAL,6,52
2021-09-28,COMERCIAL,8,55
2021-11-05,COMERCIAL,1,19
2021-06-16,COMERCIAL,305,14
2020-09-07,COMERCIAL,86,15
2021-12-11,COMERCIAL,9,55
2021-08-30,COMERCIAL,222,14
2020-03-05,COMERCIAL,402,14
2020-08-28,COMERCIAL,25,43
2021-07-14,COMERCIAL,259,23
2020-07-23,COMERCIAL,125,8
2021-09-10,COMERCIAL,1,39
2020-09-15,COMERCIAL,9,25
2020-11-06,COMERCIAL,1,12
2021-02-27,COMERCIAL,8,43
2021-01-29,COMERCIAL,248,24
2021-07-03,COMERCIAL,14,55
2021-05-31,COMERCIAL,49,17
2019-01-31,COMERCIAL,423,56
2020-07-28,COMERCIAL,288,16
2020-09-30,COMERCIAL,24,21
2021-04-11,COMERCIAL,13,17
2021-09-09,COMERCIAL,52,30
2021-11-24,COMERCIAL,33,35
2020-10-28,COMERCIAL,490,22
2020-04-01,COMERCIAL,7,15
2020-10-01,COMERCIAL,13,58
2020-11-17,COMERCIAL,703,2
2020-02-10,COMERCIAL,11,35
2021-11-09,COMERCIAL,67,5
2020-09-11,COMERCIAL,3,21
2021-05-30,COMERCIAL,182,37
2021-09-28,COMERCIAL,10,21
2021-07-20,COMERCIAL,382,28
2021-09-28,COMERCIAL,22,0
2020-03-27,COMERCIAL,14,40
2019-01-17,COMERCIAL,9,54
2019-03-16,COMERCIAL,290,3
2020-10-21,COMERCIAL,113,24
2020-09-29,COMERCIAL,11,42
2020-09-19,COMERCIAL,757,47
2021-07-26,COMERCIAL,190,8
2019-02-06,COMERCIAL,18,50
2019-01-28,COMERCIAL,68,57
2021-01-16,COMERCIAL,426,28
2020-02-05,COMERCIAL,16,25
2021-10-24,COMERCIAL,69,16
2021-12-13,COMERCIAL,1,26
2021-11-12,COMERCIAL,60,34
2020-09-10,COMERCIAL,22,29
2020-12-12,COMERCIAL,11,53
2019-03-25,COMERCIAL,20,40
2020-04-21,COMERCIAL,122,20
2020-11-16,COMERCIAL,-1,48
2019-01-01,COMERCIAL,9,52
2021-01-19,COMERCIAL,6,11
2021-07-15,COMERCIAL,23,52
2020-09-03,COMERCIAL,77,30
2021-11-18,COMERCIAL,334,8
2021-03-26,COMERCIAL,264,14
2019-11-21,COMERCIAL,2,44
2021-09-21,COMERCIAL,32,55
2021-11-03,COMERCIAL,10,19
2021-06-14,COMERCIAL,349,14
2020-09-04,COMERCIAL,116,15
2021-12-10,COMERCIAL,29,55
2021-08-31,COMERCIAL,326,14
2020-03-08,COMERCIAL,314,14
2020-08-31,COMERCIAL,23,43
2021-07-27,COMERCIAL,318,23
2020-07-30,COMERCIAL,363,8
2021-09-09,COMERCIAL,2,39
2020-03-09,COMERCIAL,440,23
2021-01-21,COMERCIAL,392,27
2021-02-28,COMERCIAL,6,43
2021-01-28,COMERCIAL,228,24
2021-07-06,COMERCIAL,29,55
2021-05-30,COMERCIAL,63,17
2019-01-27,COMERCIAL,318,56
2020-07-26,COMERCIAL,281,16
2020-09-20,COMERCIAL,33,21
2021-04-12,COMERCIAL,174,17
2021-09-08,COMERCIAL,45,30
2021-10-15,COMERCIAL,133,35
2020-10-12,COMERCIAL,295,22
2020-04-16,COMERCIAL,99,15
2020-09-14,COMERCIAL,30,58
2020-11-15,COMERCIAL,588,2
2019-01-29,COMERCIAL,48,35
2021-11-10,COMERCIAL,5,5
2020-09-15,COMERCIAL,6,21
2021-05-31,COMERCIAL,26,37
2021-09-13,COMERCIAL,7,21
2021-07-19,COMERCIAL,337,28
2021-09-15,COMERCIAL,42,0
2020-03-19,COMERCIAL,27,40
2019-01-22,COMERCIAL,8,54
2019-03-11,COMERCIAL,525,3
2020-10-19,COMERCIAL,3,24
2020-09-13,COMERCIAL,519,22
2020-09-28,COMERCIAL,248,47
2021-07-25,COMERCIAL,7,8
2019-06-21,COMERCIAL,7,50
2019-01-30,COMERCIAL,46,57
2021-01-19,COMERCIAL,456,28
2020-02-04,COMERCIAL,7,25
2021-10-23,COMERCIAL,97,16
