FECHA,USO,CONSUMO,ID_CONTADOR
2021-09-01,COMERCIAL,2,19
2021-06-09,COMERCIAL,93,18
2021-06-18,COMERCIAL,205,79
2021-11-22,COMERCIAL,31,0
2021-11-19,COMERCIAL,44,66
2021-06-09,COMERCIAL,153,7
2021-11-22,COMERCIAL,96,37
2021-06-30,COMERCIAL,2,9
2021-11-12,COMERCIAL,159,78
2021-06-17,COMERCIAL,132,29
2021-11-19,COMERCIAL,34,69
2021-06-20,COMERCIAL,1,6
2021-07-28,COMERCIAL,271,30
2021-06-29,COMERCIAL,187,4
2021-03-03,COMERCIAL,19,8
2021-09-24,COMERCIAL,49,14
2021-06-09,COMERCIAL,61,31
2019-10-22,COMERCIAL,376,20
2021-06-16,COMERCIAL,106,17
2021-11-20,COMERCIAL,354,55
2021-06-17,COMERCIAL,418,15
2021-11-12,COMERCIAL,565,89
2021-10-24,COMERCIAL,14,25
2021-09-29,COMERCIAL,344,22
2021-11-11,COMERCIAL,165,42
2021-11-22,COMERCIAL,59,76
2019-10-22,COMERCIAL,1255,21
2021-06-08,COMERCIAL,57,12
2021-09-23,COMERCIAL,12,23
2021-10-22,COMERCIAL,415,26
2021-11-11,COMERCIAL,50,65
2021-06-08,COMERCIAL,130,3
2021-11-15,COMERCIAL,20,41
2021-06-29,COMERCIAL,125,13
2021-11-12,COMERCIAL,3,43
2021-11-15,COMERCIAL,159,70
2021-11-11,COMERCIAL,125,63
2021-09-24,COMERCIAL,21,24
2021-11-22,COMERCIAL,7,74
2021-11-11,COMERCIAL,641,86
2021-11-22,COMERCIAL,70,35
2021-11-15,COMERCIAL,7,91
2021-06-16,COMERCIAL,149,5
2021-06-22,COMERCIAL,71,11
2021-11-23,COMERCIAL,25,81
2021-12-03,COMERCIAL,320,44
2021-11-16,COMERCIAL,219,72
2021-06-19,COMERCIAL,73,10
2021-10-10,COMERCIAL,2,19
2021-06-08,COMERCIAL,126,18
2021-06-19,COMERCIAL,444,79
2021-11-23,COMERCIAL,26,0
2021-11-19,COMERCIAL,71,62
2021-06-10,COMERCIAL,106,7
2021-11-23,COMERCIAL,166,37
2021-06-26,COMERCIAL,2,9
2021-11-13,COMERCIAL,240,78
2021-06-22,COMERCIAL,33,29
2021-11-15,COMERCIAL,58,69
2021-06-22,COMERCIAL,4,6
2021-07-23,COMERCIAL,182,30
2021-06-15,COMERCIAL,191,4
2021-03-04,COMERCIAL,2,8
2021-09-25,COMERCIAL,365,14
2021-06-08,COMERCIAL,108,31
2019-10-23,COMERCIAL,293,20
2021-06-17,COMERCIAL,48,17
2021-11-21,COMERCIAL,272,55
2021-06-21,COMERCIAL,355,15
2021-11-13,COMERCIAL,396,89
2021-10-26,COMERCIAL,456,25
2021-09-28,COMERCIAL,228,22
2021-11-12,COMERCIAL,144,42
2021-11-23,COMERCIAL,29,76
2019-10-24,COMERCIAL,1199,21
2021-06-09,COMERCIAL,70,12
2021-09-24,COMERCIAL,27,23
2021-10-25,COMERCIAL,431,26
2021-11-12,COMERCIAL,44,65
2021-07-03,COMERCIAL,152,3
2021-11-16,COMERCIAL,79,41
2021-06-28,COMERCIAL,178,13
2021-11-24,COMERCIAL,4,43
2021-11-16,COMERCIAL,198,70
2021-11-12,COMERCIAL,42,63
