FECHA,USO,CONSUMO,ID_CONTADOR
2021-06-27,COMERCIAL,1,153
2021-06-18,COMERCIAL,50,955
2021-06-16,COMERCIAL,17,678
2021-06-16,COMERCIAL,30,901
2021-06-16,COMERCIAL,36,928
2021-06-16,COMERCIAL,22,28
2021-06-28,COMERCIAL,8,476
2021-06-29,COMERCIAL,8,777
2021-06-09,COMERCIAL,9,817
2021-06-21,COMERCIAL,50,57
2020-02-09,COMERCIAL,32,468
2021-06-17,COMERCIAL,8,548
2021-06-16,COMERCIAL,91,787
2021-06-30,COMERCIAL,648,860
2021-06-29,COMERCIAL,175,760
2021-06-17,COMERCIAL,352,981
2021-06-29,COMERCIAL,169,784
2021-06-14,COMERCIAL,94,898
2021-06-18,COMERCIAL,4,834
2021-07-30,COMERCIAL,310,1079
2021-06-14,COMERCIAL,36,995
2021-06-17,COMERCIAL,3,1011
2021-06-20,COMERCIAL,1,683
2021-06-21,COMERCIAL,26,1081
2021-06-16,COMERCIAL,112,94
2021-06-17,COMERCIAL,35,948
2021-06-16,COMERCIAL,306,656
2021-06-09,COMERCIAL,77,933
2021-06-10,COMERCIAL,21,694
2021-06-22,COMERCIAL,79,979
2021-06-30,COMERCIAL,19,967
2021-06-28,COMERCIAL,66,639
2021-06-16,COMERCIAL,10,1005
2021-06-17,COMERCIAL,153,840
2021-06-16,COMERCIAL,778,81
2021-06-16,COMERCIAL,1,137
2021-06-09,COMERCIAL,6,270
2021-06-25,COMERCIAL,3,695
2021-06-28,COMERCIAL,283,93
2021-06-28,COMERCIAL,92,880
2021-06-16,COMERCIAL,59,56
2021-06-22,COMERCIAL,7,703
2021-06-30,COMERCIAL,200,765
2021-06-19,COMERCIAL,824,325
2021-02-05,COMERCIAL,5621,23
2021-06-25,COMERCIAL,10,568
2021-06-16,COMERCIAL,1,13
2021-06-16,COMERCIAL,11,50
2021-06-17,COMERCIAL,15,667
2021-06-16,COMERCIAL,75,399
2021-06-17,COMERCIAL,134,874
2021-06-16,COMERCIAL,269,191
2021-06-17,COMERCIAL,34,133
2021-06-29,COMERCIAL,43,929
2021-06-16,COMERCIAL,100,850
2021-06-29,COMERCIAL,206,96
2021-06-25,COMERCIAL,99,769
2021-06-21,COMERCIAL,136,872
2021-06-09,COMERCIAL,15,433
2021-06-29,COMERCIAL,60,771
2021-06-30,COMERCIAL,21,153
2021-06-19,COMERCIAL,253,143
2021-06-16,COMERCIAL,49,524
2021-06-16,COMERCIAL,42,138
2021-06-17,COMERCIAL,21,928
2021-06-16,COMERCIAL,10,882
2021-06-29,COMERCIAL,47,476
2021-06-26,COMERCIAL,3,943
2021-06-09,COMERCIAL,32,177
