FECHA,USO,CONSUMO,ID_CONTADOR
2021-10-02,COMERCIAL,4,8
2021-11-25,COMERCIAL,116,28
2021-02-26,COMERCIAL,15,21
2020-09-12,COMERCIAL,1,11
2021-02-05,COMERCIAL,69,23
2020-10-09,COMERCIAL,68,29
2021-12-03,COMERCIAL,1,15
2021-09-11,COMERCIAL,2066,22
2020-09-16,COMERCIAL,397,12
2020-09-15,COMERCIAL,24,8
2020-09-11,COMERCIAL,2395,22
2020-02-28,COMERCIAL,1,1
2020-09-13,COMERCIAL,4829,16
2020-09-27,COMERCIAL,287,19
2020-09-13,COMERCIAL,17,31
2020-09-10,COMERCIAL,467,27
2020-07-31,COMERCIAL,28,35
2021-01-28,COMERCIAL,154,11
2020-08-22,COMERCIAL,323,19
2020-09-14,COMERCIAL,719,9
2021-07-14,COMERCIAL,52,28
2021-04-18,COMERCIAL,1,1
2019-04-04,COMERCIAL,1,14
2020-03-10,COMERCIAL,24,35
2021-01-28,COMERCIAL,16,32
2020-09-10,COMERCIAL,90,31
2021-10-11,COMERCIAL,74,31
2020-09-10,COMERCIAL,1022,8
2021-12-13,COMERCIAL,435,18
2020-03-05,COMERCIAL,109,33
2020-09-02,COMERCIAL,304,13
2020-04-15,COMERCIAL,274,15
2021-01-04,COMERCIAL,19,29
2020-09-12,COMERCIAL,223,27
2021-07-23,COMERCIAL,5,13
2021-01-05,COMERCIAL,138,21
2020-10-23,COMERCIAL,1386,13
2019-12-07,COMERCIAL,724,12
2020-09-08,COMERCIAL,3,11
2020-09-07,COMERCIAL,32,35
2020-09-14,COMERCIAL,52,12
2020-08-02,COMERCIAL,284,7
2020-10-28,COMERCIAL,90,38
2021-08-02,COMERCIAL,9,24
2020-09-15,COMERCIAL,347,9
2021-01-28,COMERCIAL,258,25
2021-07-20,COMERCIAL,10,20
2020-12-29,COMERCIAL,44,34
2020-09-08,COMERCIAL,262,18
2021-01-07,COMERCIAL,293,19
2020-09-30,COMERCIAL,1,1
2020-07-31,COMERCIAL,53,11
2020-07-17,COMERCIAL,31,24
2021-09-06,COMERCIAL,169,26
2021-11-12,COMERCIAL,40,17
2019-07-22,COMERCIAL,106,8
2021-12-08,COMERCIAL,44,26
2020-11-18,COMERCIAL,187,22
2021-11-12,COMERCIAL,14,8
2020-10-01,COMERCIAL,7,21
2021-10-06,COMERCIAL,12,8
2021-11-24,COMERCIAL,17,28
2021-03-03,COMERCIAL,7,21
2019-12-26,COMERCIAL,1307,22
2021-02-02,COMERCIAL,15,23
2020-10-11,COMERCIAL,12,29
2021-12-10,COMERCIAL,516,18
2021-09-08,COMERCIAL,700,22
2020-09-24,COMERCIAL,415,12
2020-09-15,COMERCIAL,23,18
2021-01-14,COMERCIAL,26,26
2020-01-21,COMERCIAL,1,1
2020-12-12,COMERCIAL,472,18
2020-09-22,COMERCIAL,282,19
2019-11-27,COMERCIAL,27,17
2020-09-21,COMERCIAL,20,20
2020-08-03,COMERCIAL,39,35
2021-01-29,COMERCIAL,116,11
2020-08-20,COMERCIAL,272,19
2020-03-04,COMERCIAL,888,9
2021-07-12,COMERCIAL,58,28
2021-03-28,COMERCIAL,1,1
2019-04-17,COMERCIAL,1,14
2020-03-04,COMERCIAL,41,35
2021-01-29,COMERCIAL,27,32
2020-09-12,COMERCIAL,379,13
