,FECHA,USO,CONSUMO,ID_CONTADOR
9,2021-05-27,COMERCIAL,1957,530
36,2021-05-27,COMERCIAL,-43,812
40,2021-05-27,COMERCIAL,850,343
45,2021-05-27,COMERCIAL,-1,1466
69,2021-05-28,COMERCIAL,1534,530
82,2021-05-27,COMERCIAL,1485,1329
83,2021-03-10,COMERCIAL,989,1543
85,2021-03-19,COMERCIAL,2735,1542
89,2021-05-28,COMERCIAL,1171,1610
90,2021-03-06,COMERCIAL,898,1544
91,2021-05-28,COMERCIAL,-11,946
94,2021-05-27,COMERCIAL,3188,648
121,2021-05-28,COMERCIAL,719,1296
142,2021-05-28,COMERCIAL,1874,1329
145,2021-03-22,COMERCIAL,1097,1542
154,2021-05-28,COMERCIAL,4319,648
161,2021-05-27,COMERCIAL,822,1294
165,2021-05-28,COMERCIAL,-10,1466
182,2021-05-27,COMERCIAL,737,483
186,2021-03-17,COMERCIAL,937,775
193,2021-05-28,COMERCIAL,898,288
196,2021-05-27,COMERCIAL,2436,168
205,2021-03-23,COMERCIAL,1267,1542
216,2021-05-28,COMERCIAL,-30,812
220,2021-05-27,COMERCIAL,722,1081
221,2021-05-28,COMERCIAL,1127,1294
224,2021-05-28,COMERCIAL,1503,361
245,2021-05-27,COMERCIAL,1410,588
260,2021-05-27,COMERCIAL,1130,598
263,2021-03-13,COMERCIAL,1030,1543
265,2021-03-18,COMERCIAL,1035,1542
270,2021-03-28,COMERCIAL,2051,1544
272,2021-05-30,COMERCIAL,1128,1223
276,2021-05-26,COMERCIAL,1906,1259
280,2021-05-28,COMERCIAL,1251,1081
285,2021-05-26,COMERCIAL,701,824
286,2021-05-27,COMERCIAL,-170,934
305,2021-05-28,COMERCIAL,758,588
309,2021-05-26,COMERCIAL,964,530
320,2021-05-28,COMERCIAL,1151,598
323,2021-03-14,COMERCIAL,944,1543
325,2021-03-20,COMERCIAL,6841,1542
327,2021-05-28,COMERCIAL,3475,1328
340,2021-05-28,COMERCIAL,780,343
346,2021-05-28,COMERCIAL,1049,1461
375,2021-05-28,COMERCIAL,872,508
383,2021-04-25,COMERCIAL,947,1543
384,2021-05-28,COMERCIAL,699,563
385,2021-03-17,COMERCIAL,1868,1542
389,2021-05-27,COMERCIAL,1261,479
390,2021-03-27,COMERCIAL,955,1544
400,2021-05-26,COMERCIAL,2489,1147
406,2021-05-28,COMERCIAL,-755,934
437,2021-05-30,COMERCIAL,908,356
443,2021-04-18,COMERCIAL,1164,1543
445,2021-03-24,COMERCIAL,1680,1542
450,2021-04-01,COMERCIAL,716,1544
453,2021-05-27,COMERCIAL,744,1073
471,2021-04-18,COMERCIAL,808,1641
503,2021-04-24,COMERCIAL,968,1543
505,2021-03-21,COMERCIAL,13104,1542
507,2021-05-26,COMERCIAL,854,1328
510,2021-04-02,COMERCIAL,1362,1544
513,2021-05-28,COMERCIAL,728,1073
525,2021-05-27,COMERCIAL,962,824
526,2021-05-26,COMERCIAL,-203,934
529,2021-05-28,COMERCIAL,919,1001
531,2021-04-20,COMERCIAL,850,1641
565,2021-03-25,COMERCIAL,1894,1542
567,2021-05-28,COMERCIAL,1012,63
570,2021-04-03,COMERCIAL,850,1544
574,2021-05-26,COMERCIAL,812,648
588,2021-05-27,COMERCIAL,977,401
591,2021-04-25,COMERCIAL,877,1641
625,2021-04-03,COMERCIAL,2772,1542
630,2021-04-04,COMERCIAL,943,1544
639,2021-05-28,COMERCIAL,1123,150
641,2021-05-26,COMERCIAL,1890,794
648,2021-05-28,COMERCIAL,1617,401
651,2021-04-24,COMERCIAL,778,1641
676,2021-05-28,COMERCIAL,5590,168
685,2021-04-04,COMERCIAL,2521,1542
690,2021-04-05,COMERCIAL,730,1544
698,2021-06-28,COMERCIAL,1030,771
705,2021-05-28,COMERCIAL,980,824
740,2021-05-27,COMERCIAL,1899,799
745,2021-04-06,COMERCIAL,1679,1542
805,2021-04-07,COMERCIAL,1134,1542
820,2021-05-28,COMERCIAL,3558,1147
821,2021-05-28,COMERCIAL,730,1286
830,2021-05-28,COMERCIAL,791,126
838,2021-05-27,COMERCIAL,734,327
865,2021-04-08,COMERCIAL,1166,1542
880,2021-05-27,COMERCIAL,4075,1147
891,2021-05-20,COMERCIAL,754,1641
898,2021-05-28,COMERCIAL,791,327
925,2021-04-28,COMERCIAL,900,1542
933,2021-05-30,COMERCIAL,703,1073
940,2021-05-28,COMERCIAL,734,472
949,2021-05-28,COMERCIAL,861,34
964,2021-05-28,COMERCIAL,696,566
985,2021-04-26,COMERCIAL,910,1542
998,2021-06-29,COMERCIAL,718,291
1008,2021-05-28,COMERCIAL,1775,930
1011,2021-05-22,COMERCIAL,885,1641
1028,2021-05-27,COMERCIAL,1052,1239
1035,2021-05-28,COMERCIAL,761,706
1045,2021-04-27,COMERCIAL,1852,1542
1051,2021-05-27,COMERCIAL,1147,325
1101,2021-06-14,COMERCIAL,802,675
1105,2021-04-01,COMERCIAL,2305,1542
1108,2021-05-27,COMERCIAL,1018,191
1109,2021-05-28,COMERCIAL,1274,479
1112,2021-05-29,COMERCIAL,779,1257
1152,2021-05-27,COMERCIAL,2128,246
1165,2021-04-05,COMERCIAL,2606,1542
1176,2021-05-27,COMERCIAL,1488,1259
1181,2021-05-27,COMERCIAL,3266,794
1225,2021-04-02,COMERCIAL,3203,1542
1264,2021-05-28,COMERCIAL,875,505
1272,2021-05-28,COMERCIAL,2051,246
1282,2021-05-27,COMERCIAL,748,117
1285,2021-05-27,COMERCIAL,894,346
1301,2021-05-28,COMERCIAL,2063,794
1328,2021-05-28,COMERCIAL,2209,658
1332,2021-05-28,COMERCIAL,1157,1450
1336,2021-05-27,COMERCIAL,1041,607
1340,2021-05-27,COMERCIAL,760,897
1343,2021-05-27,COMERCIAL,773,1543
1345,2021-05-28,COMERCIAL,892,346
1351,2021-05-27,COMERCIAL,2111,237
1381,2021-05-27,COMERCIAL,776,1296
1411,2021-05-28,COMERCIAL,3251,237
1448,2021-05-27,COMERCIAL,2039,658
1453,2021-05-28,COMERCIAL,721,647
1460,2021-05-27,COMERCIAL,735,416
1505,2021-05-27,COMERCIAL,870,208
1520,2021-05-28,COMERCIAL,687,897
1524,2021-05-28,COMERCIAL,1429,115
1565,2021-05-28,COMERCIAL,1199,208
1577,2021-05-30,COMERCIAL,755,594
1580,2021-05-28,COMERCIAL,1011,416
1609,2021-05-28,COMERCIAL,873,156
1640,2021-05-28,COMERCIAL,2248,799
1650,2021-05-23,COMERCIAL,1263,1544
1728,2021-05-27,COMERCIAL,999,860
1788,2021-05-26,COMERCIAL,923,401
1806,2021-05-27,COMERCIAL,1177,298
1812,2021-06-28,COMERCIAL,733,246
1831,2021-05-28,COMERCIAL,764,1166
1852,2021-05-28,COMERCIAL,890,1332
1868,2021-05-28,COMERCIAL,1502,1266
1880,2021-05-28,COMERCIAL,860,1189
1885,2021-05-27,COMERCIAL,1128,933
1890,2021-05-22,COMERCIAL,841,1544
1897,2021-06-15,COMERCIAL,827,74
1954,2021-05-28,COMERCIAL,1097,568
1986,2021-05-28,COMERCIAL,1207,298
2010,2021-05-24,COMERCIAL,878,1544
2014,2021-05-28,COMERCIAL,750,980
2037,2021-06-24,COMERCIAL,1016,763
2077,2021-06-19,COMERCIAL,720,1192
2090,2021-05-27,COMERCIAL,888,811
2101,2021-05-28,COMERCIAL,-9,759
2104,2021-05-27,COMERCIAL,687,492
2106,2021-05-27,COMERCIAL,1015,18
2114,2021-06-28,COMERCIAL,765,209
2174,2021-06-29,COMERCIAL,791,209
2210,2021-05-28,COMERCIAL,1148,811
2216,2021-05-27,COMERCIAL,-342,989
2234,2021-06-30,COMERCIAL,726,209
2276,2021-05-28,COMERCIAL,-421,989
2306,2021-05-27,COMERCIAL,719,293
2317,2021-06-16,COMERCIAL,1193,74
2356,2021-05-27,COMERCIAL,1601,513
2377,2021-06-17,COMERCIAL,1106,74
2388,2021-05-30,COMERCIAL,724,860
2406,2021-05-28,COMERCIAL,719,18
2407,2021-05-28,COMERCIAL,1171,463
2432,2021-06-01,COMERCIAL,710,1257
2437,2021-06-18,COMERCIAL,1249,74
2461,2021-05-27,COMERCIAL,-8,759
2464,2021-05-28,COMERCIAL,716,1562
2476,2021-05-28,COMERCIAL,1162,607
2497,2021-06-19,COMERCIAL,1376,74
2502,2021-05-28,COMERCIAL,779,1285
2537,2021-05-29,COMERCIAL,1118,581
2575,2021-06-29,COMERCIAL,1158,71
2591,2021-06-10,COMERCIAL,1617,338
2604,2021-05-28,COMERCIAL,702,1291
2605,2021-05-27,COMERCIAL,1399,1542
2613,2021-06-01,COMERCIAL,1717,359
2614,2021-05-27,COMERCIAL,714,980
2628,2021-05-30,COMERCIAL,1385,401
2665,2021-05-26,COMERCIAL,1078,1542
2674,2021-05-27,COMERCIAL,920,568
2695,2021-06-28,COMERCIAL,3019,179
2716,2021-05-28,COMERCIAL,1579,513
2723,2021-05-28,COMERCIAL,1114,1543
2725,2021-05-28,COMERCIAL,1215,1542
2799,2021-05-28,COMERCIAL,-27,597
2808,2021-05-31,COMERCIAL,916,860
2831,2021-06-11,COMERCIAL,2839,338
2849,2021-05-29,COMERCIAL,946,381
2887,2021-05-27,COMERCIAL,809,463
2985,2021-06-10,COMERCIAL,941,586
3035,2021-06-13,COMERCIAL,1750,397
3039,2021-05-28,COMERCIAL,875,1070
3048,2021-05-31,COMERCIAL,1428,930
3086,2021-05-28,COMERCIAL,951,1265
3089,2021-05-30,COMERCIAL,771,479
3096,2021-06-28,COMERCIAL,1083,167
3156,2021-06-29,COMERCIAL,761,167
3228,2021-05-29,COMERCIAL,1422,401
3254,2021-06-26,COMERCIAL,688,595
3275,2021-06-18,COMERCIAL,686,397
3276,2021-06-27,COMERCIAL,1018,1259
3403,2021-06-18,COMERCIAL,952,445
3408,2021-05-31,COMERCIAL,1243,401
3426,2021-06-29,COMERCIAL,687,18
3445,2021-05-28,COMERCIAL,1311,933
3497,2021-06-04,COMERCIAL,964,581
3520,2021-06-26,COMERCIAL,1653,984
3528,2021-05-29,COMERCIAL,1825,860
3551,2021-06-29,COMERCIAL,1802,338
3606,2021-06-30,COMERCIAL,683,18
3611,2021-06-28,COMERCIAL,1577,338
3637,2021-06-16,COMERCIAL,943,211
3648,2021-05-29,COMERCIAL,1322,930
3651,2021-06-12,COMERCIAL,1131,1641
3671,2021-06-30,COMERCIAL,1896,338
3710,2021-06-27,COMERCIAL,-1,154
3711,2021-06-13,COMERCIAL,792,1641
3754,2021-06-25,COMERCIAL,762,1642
3758,2021-06-28,COMERCIAL,791,1340
3791,2021-06-14,COMERCIAL,2796,338
3803,2021-05-09,COMERCIAL,1307,1543
3814,2021-06-26,COMERCIAL,1123,1642
3815,2021-06-19,COMERCIAL,1094,397
3820,2021-06-28,COMERCIAL,4297,984
3851,2021-06-12,COMERCIAL,1875,338
3865,2021-05-12,COMERCIAL,784,1542
3872,2021-06-10,COMERCIAL,1153,1257
3911,2021-06-15,COMERCIAL,3998,338
3971,2021-06-16,COMERCIAL,2779,338
3972,2021-06-26,COMERCIAL,684,178
3993,2021-06-04,COMERCIAL,922,1073
4027,2021-06-27,COMERCIAL,1217,798
4045,2021-05-13,COMERCIAL,991,1542
4058,2021-06-29,COMERCIAL,805,977
4103,2021-05-14,COMERCIAL,788,1543
4105,2021-05-16,COMERCIAL,2561,1542
4112,2021-06-11,COMERCIAL,1168,1257
4120,2021-06-26,COMERCIAL,2348,553
4163,2021-05-15,COMERCIAL,1753,1543
4165,2021-05-14,COMERCIAL,1038,1542
4204,2021-06-30,COMERCIAL,723,492
4214,2021-06-01,COMERCIAL,747,209
4223,2021-05-16,COMERCIAL,2714,1543
4225,2021-05-15,COMERCIAL,2648,1542
4258,2021-06-14,COMERCIAL,895,7
4285,2021-05-11,COMERCIAL,802,1542
4289,2021-05-31,COMERCIAL,1166,479
4300,2021-06-28,COMERCIAL,2380,1085
4332,2021-06-23,COMERCIAL,1193,246
4345,2021-05-09,COMERCIAL,2528,1542
4392,2021-06-27,COMERCIAL,1132,246
4413,2021-06-08,COMERCIAL,759,359
4418,2021-06-29,COMERCIAL,2786,484
4431,2021-06-30,COMERCIAL,768,344
4438,2021-06-12,COMERCIAL,1128,327
4452,2021-06-23,COMERCIAL,802,1450
4497,2021-06-25,COMERCIAL,712,1351
4498,2021-06-16,COMERCIAL,820,327
4505,2021-06-21,COMERCIAL,745,208
4507,2021-06-30,COMERCIAL,684,382
4512,2021-06-25,COMERCIAL,878,1450
4534,2021-06-28,COMERCIAL,783,980
4558,2021-06-15,COMERCIAL,951,327
4572,2021-06-25,COMERCIAL,1177,246
4592,2021-06-04,COMERCIAL,1415,1257
4594,2021-06-30,COMERCIAL,699,980
4596,2021-06-29,COMERCIAL,-51,812
4598,2021-06-29,COMERCIAL,1948,716
4618,2021-06-13,COMERCIAL,1017,327
4624,2021-06-28,COMERCIAL,750,492
4649,2021-05-29,COMERCIAL,1098,479
4652,2021-06-02,COMERCIAL,871,1257
4656,2021-06-28,COMERCIAL,-33,812
4658,2021-06-28,COMERCIAL,763,987
4678,2021-06-18,COMERCIAL,987,327
4692,2021-06-29,COMERCIAL,842,246
4716,2021-06-30,COMERCIAL,-44,812
4742,2021-06-12,COMERCIAL,780,1288
4800,2021-06-18,COMERCIAL,840,926
4812,2021-06-28,COMERCIAL,707,1450
4851,2021-06-11,COMERCIAL,1981,1112
4872,2021-06-30,COMERCIAL,805,1450
4900,2021-06-28,COMERCIAL,6105,1147
4927,2021-06-29,COMERCIAL,798,463
4932,2021-06-24,COMERCIAL,923,1450
4950,2021-06-29,COMERCIAL,1104,1236
4958,2021-06-30,COMERCIAL,-1,103
4960,2021-06-29,COMERCIAL,5397,1147
4971,2021-06-10,COMERCIAL,1424,1112
4984,2021-06-24,COMERCIAL,1616,842
4987,2021-06-27,COMERCIAL,742,463
5012,2021-06-03,COMERCIAL,899,1257
5020,2021-06-30,COMERCIAL,6108,1147
5038,2021-06-14,COMERCIAL,1180,327
5047,2021-06-30,COMERCIAL,736,463
5052,2021-06-24,COMERCIAL,854,246
5080,2021-06-28,COMERCIAL,716,1081
5104,2021-06-26,COMERCIAL,2013,1131
5140,2021-06-29,COMERCIAL,772,1081
5172,2021-06-27,COMERCIAL,1291,1450
5177,2021-06-11,COMERCIAL,683,1331
5200,2021-06-30,COMERCIAL,732,1081
5218,2021-06-17,COMERCIAL,1125,327
5231,2021-06-28,COMERCIAL,838,1574
5232,2021-06-30,COMERCIAL,1000,246
5260,2021-06-28,COMERCIAL,808,343
5320,2021-06-29,COMERCIAL,894,343
5325,2021-06-09,COMERCIAL,732,1100
5338,2021-06-12,COMERCIAL,1313,486
5344,2021-06-30,COMERCIAL,786,566
5375,2021-06-17,COMERCIAL,766,397
5380,2021-06-30,COMERCIAL,905,343
5382,2021-06-28,COMERCIAL,847,1285
5398,2021-06-17,COMERCIAL,819,486
5442,2021-06-29,COMERCIAL,682,1285
5464,2021-06-30,COMERCIAL,763,505
5522,2021-06-12,COMERCIAL,2177,402
5524,2021-06-30,COMERCIAL,2502,842
5554,2021-06-23,COMERCIAL,867,568
5597,2021-06-06,COMERCIAL,885,356
5615,2021-06-13,COMERCIAL,1120,420
5631,2021-06-12,COMERCIAL,2088,1112
5691,2021-06-13,COMERCIAL,1208,1112
5696,2021-06-28,COMERCIAL,-672,989
5745,2021-06-20,COMERCIAL,858,1155
5751,2021-06-15,COMERCIAL,1162,1112
5752,2021-06-22,COMERCIAL,1938,1611
5756,2021-06-29,COMERCIAL,-305,989
5805,2021-06-22,COMERCIAL,1685,1260
5808,2021-06-21,COMERCIAL,765,1175
5811,2021-06-28,COMERCIAL,1034,1112
5812,2021-06-30,COMERCIAL,4983,1611
5816,2021-06-30,COMERCIAL,-577,989
5865,2021-06-20,COMERCIAL,691,1100
