,FECHA,USO,CONSUMO,ID_CONTADOR
3,2019-02-01,COMERCIAL,6314,68
12,2019-01-02,COMERCIAL,1180,28
43,2019-03-21,COMERCIAL,629,39
58,2019-01-17,COMERCIAL,1065,28
74,2019-01-10,COMERCIAL,2349,78
97,2020-08-29,COMERCIAL,967,12
143,2020-08-28,COMERCIAL,1136,12
150,2019-01-05,COMERCIAL,1474,28
155,2019-02-09,COMERCIAL,672,83
166,2019-01-03,COMERCIAL,2384,78
167,2019-03-15,COMERCIAL,701,27
169,2019-03-02,COMERCIAL,964,45
189,2020-08-26,COMERCIAL,1040,12
196,2019-01-30,COMERCIAL,763,28
212,2019-01-11,COMERCIAL,5532,78
227,2019-03-02,COMERCIAL,685,39
235,2020-08-27,COMERCIAL,1066,12
242,2019-01-16,COMERCIAL,1455,28
245,2019-01-22,COMERCIAL,3384,14
258,2019-01-04,COMERCIAL,5567,78
288,2019-01-29,COMERCIAL,1176,28
334,2019-01-15,COMERCIAL,1151,28
399,2019-03-09,COMERCIAL,722,45
426,2019-01-09,COMERCIAL,1495,28
443,2019-03-01,COMERCIAL,789,27
453,2019-01-16,COMERCIAL,1074,25
472,2019-01-31,COMERCIAL,1332,28
478,2019-01-17,COMERCIAL,1241,42
498,2019-03-24,COMERCIAL,1009,59
518,2019-01-19,COMERCIAL,2086,28
537,2019-03-03,COMERCIAL,681,45
564,2019-01-08,COMERCIAL,1286,28
595,2019-03-25,COMERCIAL,651,39
610,2019-01-26,COMERCIAL,1906,28
649,2020-08-25,COMERCIAL,749,12
656,2019-01-12,COMERCIAL,1355,28
675,2019-03-30,COMERCIAL,911,45
702,2019-01-06,COMERCIAL,899,24
707,2019-02-01,COMERCIAL,759,83
721,2019-03-13,COMERCIAL,702,45
747,2019-01-13,COMERCIAL,1090,24
748,2019-01-02,COMERCIAL,665,82
792,2019-01-27,COMERCIAL,732,24
811,2019-03-16,COMERCIAL,802,45
837,2019-01-02,COMERCIAL,645,24
840,2019-01-20,COMERCIAL,750,16
882,2019-01-17,COMERCIAL,663,24
885,2019-01-06,COMERCIAL,663,16
918,2019-03-27,COMERCIAL,716,23
927,2019-01-23,COMERCIAL,811,24
943,2019-01-18,COMERCIAL,928,78
948,2019-02-18,COMERCIAL,889,67
963,2019-03-16,COMERCIAL,782,23
