,FECHA,USO,CONSUMO,ID_CONTADOR
20,2021-01-28,COMERCIAL,648,426
35,2021-01-29,COMERCIAL,1244,195
61,2021-01-22,COMERCIAL,662,110
116,2021-01-28,COMERCIAL,977,105
200,2021-01-21,COMERCIAL,727,426
223,2021-01-31,COMERCIAL,3759,62
233,2021-01-31,COMERCIAL,1019,211
239,2021-01-30,COMERCIAL,1356,591
293,2021-01-29,COMERCIAL,934,211
335,2021-01-31,COMERCIAL,1386,195
353,2021-01-30,COMERCIAL,1247,211
380,2021-01-22,COMERCIAL,693,426
396,2021-01-24,COMERCIAL,854,140
502,2021-01-29,COMERCIAL,921,581
507,2021-01-29,COMERCIAL,757,530
515,2021-01-30,COMERCIAL,1576,195
576,2021-01-26,COMERCIAL,842,140
620,2021-01-27,COMERCIAL,658,426
622,2021-01-31,COMERCIAL,654,581
645,2021-01-22,COMERCIAL,948,576
679,2021-01-31,COMERCIAL,752,338
697,2021-01-23,COMERCIAL,3971,263
705,2021-01-26,COMERCIAL,2400,576
739,2021-01-29,COMERCIAL,1561,338
799,2021-01-30,COMERCIAL,756,338
802,2021-01-29,COMERCIAL,901,538
836,2021-01-27,COMERCIAL,1573,105
875,2021-01-29,COMERCIAL,887,279
877,2021-01-24,COMERCIAL,2487,263
919,2021-01-29,COMERCIAL,1075,164
924,2021-01-20,COMERCIAL,856,33
1005,2021-01-22,COMERCIAL,688,308
1055,2021-01-30,COMERCIAL,753,279
1057,2021-01-22,COMERCIAL,1921,263
1060,2021-02-15,COMERCIAL,668,550
1099,2021-01-30,COMERCIAL,1534,164
1114,2021-01-29,COMERCIAL,1074,339
1125,2021-01-31,COMERCIAL,823,576
1144,2021-01-28,COMERCIAL,714,610
1159,2021-01-27,COMERCIAL,731,164
1177,2021-01-28,COMERCIAL,1159,263
1184,2021-01-25,COMERCIAL,757,462
1185,2021-01-30,COMERCIAL,1452,576
1193,2021-01-20,COMERCIAL,758,211
1219,2021-01-21,COMERCIAL,816,164
1244,2021-01-20,COMERCIAL,799,462
1253,2021-01-24,COMERCIAL,-1,764
1264,2021-01-26,COMERCIAL,680,610
1279,2021-01-23,COMERCIAL,1393,164
1282,2021-01-26,COMERCIAL,857,538
1321,2021-01-20,COMERCIAL,663,485
1369,2021-01-21,COMERCIAL,839,638
1373,2021-01-27,COMERCIAL,1345,271
1379,2021-01-27,COMERCIAL,739,289
1390,2021-02-03,COMERCIAL,800,507
1402,2021-01-23,COMERCIAL,641,538
1420,2021-02-24,COMERCIAL,714,550
1433,2021-01-20,COMERCIAL,1080,271
1434,2021-01-23,COMERCIAL,684,400
1460,2021-01-29,COMERCIAL,726,426
1493,2021-01-24,COMERCIAL,1340,271
1497,2021-01-27,COMERCIAL,876,163
1498,2021-01-26,COMERCIAL,654,632
1540,2021-02-10,COMERCIAL,978,550
1543,2021-01-22,COMERCIAL,678,473
1553,2021-01-28,COMERCIAL,1349,271
1558,2021-01-24,COMERCIAL,-1,805
1570,2021-02-05,COMERCIAL,746,507
1613,2021-01-26,COMERCIAL,1352,271
1639,2021-01-22,COMERCIAL,775,338
1673,2021-01-25,COMERCIAL,1375,271
1690,2021-02-07,COMERCIAL,1211,79
1699,2021-01-23,COMERCIAL,968,338
1704,2021-01-28,COMERCIAL,1224,33
1720,2021-02-16,COMERCIAL,636,550
1733,2021-01-21,COMERCIAL,1338,271
1760,2021-01-29,COMERCIAL,726,268
1777,2021-01-26,COMERCIAL,799,263
1780,2021-02-17,COMERCIAL,761,550
1853,2021-01-22,COMERCIAL,1113,271
1870,2021-02-06,COMERCIAL,1002,507
1913,2021-01-23,COMERCIAL,1573,271
1921,2021-01-26,COMERCIAL,665,110
1930,2021-02-25,COMERCIAL,782,507
1957,2021-02-10,COMERCIAL,1132,263
1969,2021-02-11,COMERCIAL,1039,638
1990,2021-02-08,COMERCIAL,771,507
2004,2021-01-27,COMERCIAL,1893,33
2015,2021-01-24,COMERCIAL,1649,195
2017,2021-02-11,COMERCIAL,1508,263
2050,2021-02-07,COMERCIAL,4906,131
2085,2021-02-24,COMERCIAL,724,308
2134,2021-01-22,COMERCIAL,757,609
2137,2021-02-15,COMERCIAL,1667,263
2252,2021-02-24,COMERCIAL,736,250
2253,2021-01-31,COMERCIAL,1022,50
2257,2021-02-09,COMERCIAL,2413,263
2265,2021-02-24,COMERCIAL,1045,576
2312,2021-02-17,COMERCIAL,714,250
2319,2021-01-21,COMERCIAL,748,334
2325,2021-02-19,COMERCIAL,1657,576
2341,2021-01-21,COMERCIAL,670,110
2379,2021-01-27,COMERCIAL,651,334
2385,2021-02-22,COMERCIAL,2153,576
2437,2021-01-25,COMERCIAL,2005,580
2499,2021-01-25,COMERCIAL,780,334
2506,2021-02-13,COMERCIAL,708,600
2516,2021-01-31,COMERCIAL,783,105
2540,2021-02-03,COMERCIAL,887,426
2557,2021-01-27,COMERCIAL,1574,263
2566,2021-02-14,COMERCIAL,832,600
2590,2021-02-04,COMERCIAL,1201,409
2633,2021-01-28,COMERCIAL,-1,764
2659,2021-02-13,COMERCIAL,1260,164
2662,2021-02-21,COMERCIAL,810,581
2673,2021-01-25,COMERCIAL,988,50
2674,2021-01-26,COMERCIAL,1721,339
2698,2021-01-22,COMERCIAL,660,632
2710,2021-02-05,COMERCIAL,1067,409
2746,2021-02-17,COMERCIAL,666,600
2770,2021-02-07,COMERCIAL,816,409
2792,2021-02-19,COMERCIAL,1125,515
2806,2021-02-18,COMERCIAL,647,600
2818,2021-01-31,COMERCIAL,642,632
2866,2021-02-23,COMERCIAL,675,600
2900,2021-02-05,COMERCIAL,757,426
2919,2021-01-29,COMERCIAL,2219,496
2920,2021-02-12,COMERCIAL,1065,550
2926,2021-02-14,COMERCIAL,804,244
2929,2021-02-15,COMERCIAL,766,638
2936,2021-01-30,COMERCIAL,1570,105
2947,2021-01-27,COMERCIAL,817,546
2974,2021-01-25,COMERCIAL,1005,609
2979,2021-01-30,COMERCIAL,2955,496
2996,2021-01-29,COMERCIAL,923,105
2998,2021-01-30,COMERCIAL,-1,805
3033,2021-01-23,COMERCIAL,3632,830
3039,2021-01-29,COMERCIAL,835,334
3044,2021-02-13,COMERCIAL,729,462
3053,2021-01-30,COMERCIAL,1349,271
3070,2021-02-07,COMERCIAL,936,507
3094,2021-01-26,COMERCIAL,869,467
3099,2021-01-30,COMERCIAL,688,334
3113,2021-01-29,COMERCIAL,1353,271
3146,2021-01-28,COMERCIAL,848,108
3166,2021-02-19,COMERCIAL,644,244
3173,2021-01-31,COMERCIAL,1343,271
3190,2021-02-01,COMERCIAL,638,507
3206,2021-01-22,COMERCIAL,751,108
3215,2021-02-14,COMERCIAL,642,279
3219,2021-01-20,COMERCIAL,941,334
3220,2021-02-19,COMERCIAL,984,550
3250,2021-02-04,COMERCIAL,708,507
3259,2021-02-12,COMERCIAL,5178,338
3275,2021-02-13,COMERCIAL,1182,279
3279,2021-01-26,COMERCIAL,749,334
3283,2021-02-03,COMERCIAL,972,62
3310,2021-02-02,COMERCIAL,742,507
3339,2021-01-22,COMERCIAL,650,334
3379,2021-02-09,COMERCIAL,911,164
3395,2021-02-21,COMERCIAL,647,279
3399,2021-01-26,COMERCIAL,1048,496
3408,2021-01-30,COMERCIAL,727,259
3454,2021-01-25,COMERCIAL,653,467
3455,2021-02-20,COMERCIAL,923,279
3459,2021-01-21,COMERCIAL,708,496
3490,2021-02-12,COMERCIAL,883,409
3512,2021-02-24,COMERCIAL,3628,515
3518,2021-02-24,COMERCIAL,638,614
3528,2021-01-31,COMERCIAL,672,259
3550,2021-02-13,COMERCIAL,652,409
3559,2021-02-11,COMERCIAL,1116,338
3562,2021-02-19,COMERCIAL,959,581
3572,2021-02-18,COMERCIAL,750,515
3579,2021-01-28,COMERCIAL,1665,496
3586,2021-02-22,COMERCIAL,1421,285
3639,2021-01-24,COMERCIAL,4325,496
3665,2021-01-27,COMERCIAL,1427,605
3682,2021-02-23,COMERCIAL,1330,581
3695,2021-02-09,COMERCIAL,914,195
3699,2021-01-22,COMERCIAL,2255,496
3704,2021-02-19,COMERCIAL,806,462
3742,2021-02-24,COMERCIAL,996,581
3743,2021-02-14,COMERCIAL,680,170
3747,2021-03-28,COMERCIAL,736,35
3754,2021-01-20,COMERCIAL,870,609
3759,2021-01-27,COMERCIAL,1860,496
3829,2021-03-31,COMERCIAL,745,638
3863,2021-02-15,COMERCIAL,835,170
3872,2021-02-22,COMERCIAL,1468,515
3889,2021-03-27,COMERCIAL,1222,638
3935,2021-02-18,COMERCIAL,677,279
3979,2021-02-12,COMERCIAL,1210,164
3983,2021-02-17,COMERCIAL,638,170
3984,2021-02-22,COMERCIAL,2162,33
3987,2021-03-08,COMERCIAL,656,35
3988,2021-02-14,COMERCIAL,1124,432
3997,2021-02-14,COMERCIAL,2737,263
4009,2021-03-26,COMERCIAL,3238,125
4021,2021-02-21,COMERCIAL,960,633
4043,2021-02-19,COMERCIAL,1087,170
4057,2021-02-13,COMERCIAL,2124,263
4060,2021-02-20,COMERCIAL,896,550
4099,2021-02-14,COMERCIAL,2153,338
4120,2021-02-09,COMERCIAL,870,550
4163,2021-02-24,COMERCIAL,767,170
4164,2021-02-19,COMERCIAL,1414,33
4173,2021-03-30,COMERCIAL,1008,50
4180,2021-02-13,COMERCIAL,1200,550
4219,2021-02-09,COMERCIAL,982,338
4223,2021-02-21,COMERCIAL,897,170
4224,2021-02-18,COMERCIAL,3189,33
4256,2021-02-26,COMERCIAL,1659,105
4279,2021-02-13,COMERCIAL,1069,338
4300,2021-02-18,COMERCIAL,814,550
4305,2021-03-05,COMERCIAL,723,576
4313,2021-02-02,COMERCIAL,841,211
4319,2021-02-20,COMERCIAL,2512,408
4360,2021-02-11,COMERCIAL,670,550
4365,2021-03-07,COMERCIAL,771,576
4376,2021-02-28,COMERCIAL,1947,105
4400,2021-03-02,COMERCIAL,661,426
4403,2021-02-10,COMERCIAL,705,170
4404,2021-02-23,COMERCIAL,2361,33
4420,2021-02-12,COMERCIAL,673,616
4425,2021-03-03,COMERCIAL,1303,576
4463,2021-02-12,COMERCIAL,824,170
4464,2021-02-24,COMERCIAL,1186,33
4477,2021-02-16,COMERCIAL,2119,580
4485,2021-03-04,COMERCIAL,818,576
4519,2021-02-11,COMERCIAL,1090,164
4523,2021-02-13,COMERCIAL,1563,170
4524,2021-02-17,COMERCIAL,889,33
4529,2021-01-24,COMERCIAL,688,513
4537,2021-02-12,COMERCIAL,2236,580
4538,2021-02-25,COMERCIAL,715,204
4540,2021-02-11,COMERCIAL,675,616
4579,2021-02-10,COMERCIAL,882,164
4605,2021-03-26,COMERCIAL,703,576
4614,2021-02-16,COMERCIAL,654,400
4639,2021-02-15,COMERCIAL,647,338
4640,2021-03-03,COMERCIAL,730,426
4643,2021-02-11,COMERCIAL,1179,170
4658,2021-02-22,COMERCIAL,848,204
4673,2021-02-05,COMERCIAL,940,211
4693,2021-01-22,COMERCIAL,2612,213
4700,2021-03-04,COMERCIAL,857,426
4702,2021-02-20,COMERCIAL,1121,581
4703,2021-02-20,COMERCIAL,1042,170
4738,2021-02-19,COMERCIAL,901,309
4750,2021-02-10,COMERCIAL,874,507
4760,2021-03-26,COMERCIAL,739,426
4762,2021-02-18,COMERCIAL,1328,581
4777,2021-02-12,COMERCIAL,647,445
4785,2021-03-08,COMERCIAL,862,576
4786,2021-02-12,COMERCIAL,718,244
4796,2021-02-27,COMERCIAL,2505,105
4798,2021-02-20,COMERCIAL,3548,309
4810,2021-02-11,COMERCIAL,729,507
4817,2021-01-23,COMERCIAL,739,620
4832,2021-02-21,COMERCIAL,945,250
4835,2021-02-12,COMERCIAL,775,195
4838,2021-02-09,COMERCIAL,754,614
4845,2021-03-02,COMERCIAL,1190,576
4853,2021-02-07,COMERCIAL,933,211
4870,2021-02-13,COMERCIAL,802,507
4880,2021-03-30,COMERCIAL,840,426
4895,2021-02-11,COMERCIAL,666,195
4913,2021-02-06,COMERCIAL,1021,211
4914,2021-02-20,COMERCIAL,663,400
4933,2021-01-28,COMERCIAL,664,130
4940,2021-03-31,COMERCIAL,784,426
4956,2021-02-05,COMERCIAL,655,140
4965,2021-03-30,COMERCIAL,749,576
5004,2021-02-20,COMERCIAL,1329,703
5037,2021-02-04,COMERCIAL,955,163
5099,2021-02-23,COMERCIAL,4859,408
5128,2021-02-21,COMERCIAL,-1,267
5136,2021-02-06,COMERCIAL,826,140
5140,2021-02-14,COMERCIAL,995,550
5196,2021-02-07,COMERCIAL,761,140
5198,2021-02-11,COMERCIAL,1020,614
5216,2021-02-27,COMERCIAL,853,469
5217,2021-02-02,COMERCIAL,930,163
5256,2021-02-25,COMERCIAL,799,140
5258,2021-02-12,COMERCIAL,668,614
