,FECHA,USO,CONSUMO,ID_CONTADOR
5,2021-01-21,COMERCIAL,719,450
33,2021-01-25,COMERCIAL,2627,89
108,2021-01-30,COMERCIAL,1107,1029
110,2019-12-15,COMERCIAL,1531,551
147,2020-11-28,COMERCIAL,4209,1223
206,2021-01-26,COMERCIAL,2268,947
213,2021-01-27,COMERCIAL,831,89
218,2021-01-31,COMERCIAL,1319,114
230,2019-12-29,COMERCIAL,1312,551
231,2021-01-26,COMERCIAL,691,151
250,2021-01-26,COMERCIAL,1461,679
265,2021-01-25,COMERCIAL,836,185
273,2021-01-31,COMERCIAL,781,89
278,2021-01-29,COMERCIAL,756,114
284,2021-01-30,COMERCIAL,697,301
290,2019-12-01,COMERCIAL,1229,551
294,2021-01-29,COMERCIAL,722,962
323,2021-01-31,COMERCIAL,757,883
326,2021-01-24,COMERCIAL,2905,701
330,2021-01-29,COMERCIAL,7330,759
333,2021-01-30,COMERCIAL,722,89
338,2021-01-30,COMERCIAL,1663,114
350,2019-12-23,COMERCIAL,1591,551
364,2021-01-21,COMERCIAL,1141,671
387,2020-11-30,COMERCIAL,5265,1223
390,2021-01-30,COMERCIAL,6312,759
405,2021-01-22,COMERCIAL,1084,980
410,2019-12-04,COMERCIAL,1728,551
436,2019-01-05,COMERCIAL,642,326
470,2019-12-17,COMERCIAL,1758,551
476,2021-01-28,COMERCIAL,938,991
508,2021-01-26,COMERCIAL,1147,110
530,2019-12-08,COMERCIAL,1598,551
534,2021-01-30,COMERCIAL,861,962
539,2021-01-23,COMERCIAL,1336,818
544,2021-01-27,COMERCIAL,1398,671
550,2021-01-21,COMERCIAL,987,679
580,2021-01-25,COMERCIAL,795,712
590,2019-12-02,COMERCIAL,1346,551
627,2020-11-25,COMERCIAL,4434,1223
650,2019-12-24,COMERCIAL,1675,551
687,2020-11-18,COMERCIAL,1618,1223
708,2021-01-29,COMERCIAL,1081,1029
710,2019-12-13,COMERCIAL,2447,551
747,2020-11-07,COMERCIAL,1087,1223
770,2019-12-05,COMERCIAL,2744,551
784,2021-01-25,COMERCIAL,1403,671
806,2021-01-28,COMERCIAL,3530,376
807,2020-11-29,COMERCIAL,1065,1223
830,2019-12-07,COMERCIAL,2506,551
867,2020-11-10,COMERCIAL,725,1223
890,2019-12-28,COMERCIAL,2092,551
912,2021-01-24,COMERCIAL,731,71
927,2020-11-24,COMERCIAL,5454,1223
944,2021-01-27,COMERCIAL,2740,301
950,2019-12-27,COMERCIAL,2840,551
965,2021-01-27,COMERCIAL,849,450
985,2021-01-30,COMERCIAL,1223,667
987,2020-11-26,COMERCIAL,4847,1223
1010,2019-12-19,COMERCIAL,2352,551
1065,2021-01-26,COMERCIAL,1437,760
1070,2019-12-21,COMERCIAL,2552,551
1073,2021-01-29,COMERCIAL,646,809
1130,2019-12-03,COMERCIAL,2325,551
1145,2021-01-23,COMERCIAL,646,450
1178,2021-01-29,COMERCIAL,724,968
1185,2021-01-26,COMERCIAL,771,980
1190,2019-12-10,COMERCIAL,3113,551
1204,2021-01-20,COMERCIAL,1213,671
1210,2021-01-31,COMERCIAL,1216,679
1231,2020-02-11,COMERCIAL,951,232
1250,2019-12-06,COMERCIAL,2202,551
1264,2021-01-28,COMERCIAL,1205,671
1286,2021-01-31,COMERCIAL,1708,713
1308,2021-01-31,COMERCIAL,1392,130
1310,2019-12-14,COMERCIAL,3166,551
1324,2021-01-22,COMERCIAL,1449,671
1346,2021-01-31,COMERCIAL,1338,947
1361,2021-01-21,COMERCIAL,1226,508
1370,2019-12-12,COMERCIAL,2634,551
1430,2019-12-11,COMERCIAL,2093,551
1450,2021-01-29,COMERCIAL,1221,679
1490,2019-12-16,COMERCIAL,2495,551
1548,2021-01-23,COMERCIAL,8975,1029
1550,2019-12-22,COMERCIAL,1610,551
1586,2021-01-22,COMERCIAL,4254,701
1610,2019-12-30,COMERCIAL,1495,551
1646,2021-01-21,COMERCIAL,4119,701
1650,2021-01-20,COMERCIAL,3455,759
1661,2021-01-31,COMERCIAL,840,508
1668,2021-01-20,COMERCIAL,718,194
1670,2019-12-31,COMERCIAL,1432,551
1690,2021-01-30,COMERCIAL,1504,679
1706,2021-01-20,COMERCIAL,3512,701
1708,2021-01-22,COMERCIAL,795,72
1721,2021-01-30,COMERCIAL,1431,508
1730,2019-12-09,COMERCIAL,1773,551
1756,2019-04-25,COMERCIAL,672,326
1765,2021-01-27,COMERCIAL,956,667
1781,2021-01-29,COMERCIAL,773,508
1790,2019-12-18,COMERCIAL,2336,551
1810,2021-01-20,COMERCIAL,1042,679
1828,2021-02-17,COMERCIAL,673,72
1841,2021-01-28,COMERCIAL,1264,508
1850,2020-02-02,COMERCIAL,1377,551
1859,2021-01-23,COMERCIAL,687,825
1866,2021-01-20,COMERCIAL,1339,424
1901,2021-01-23,COMERCIAL,1075,508
1905,2021-02-19,COMERCIAL,817,980
1910,2020-02-09,COMERCIAL,1431,551
1913,2021-01-29,COMERCIAL,743,361
1918,2021-01-23,COMERCIAL,994,346
1932,2021-01-20,COMERCIAL,1263,71
1935,2021-01-28,COMERCIAL,1392,159
1961,2021-01-24,COMERCIAL,726,508
1970,2020-02-04,COMERCIAL,1750,551
1971,2021-01-26,COMERCIAL,747,984
1992,2021-01-21,COMERCIAL,895,71
2021,2021-01-26,COMERCIAL,1079,508
2030,2020-02-25,COMERCIAL,1454,551
2050,2021-01-25,COMERCIAL,637,252
2081,2021-01-27,COMERCIAL,951,508
2090,2020-02-03,COMERCIAL,1822,551
2091,2021-01-31,COMERCIAL,999,184
2132,2021-01-24,COMERCIAL,949,210
2133,2021-01-26,COMERCIAL,741,902
