,FECHA,USO,CONSUMO,ID_CONTADOR
21,2019-03-31,COMERCIAL,-1,100
52,2019-03-05,COMERCIAL,1708,54
108,2019-03-04,COMERCIAL,845,36
159,2019-02-07,COMERCIAL,753,29
208,2019-02-04,COMERCIAL,825,29
248,2019-03-12,COMERCIAL,2732,54
297,2019-03-07,COMERCIAL,1735,54
306,2019-02-18,COMERCIAL,751,29
315,2019-03-10,COMERCIAL,-1,100
325,2019-01-07,COMERCIAL,1025,32
364,2019-03-17,COMERCIAL,-1,100
395,2019-03-19,COMERCIAL,1579,54
444,2019-03-18,COMERCIAL,2923,54
453,2019-02-11,COMERCIAL,854,29
493,2019-03-28,COMERCIAL,1960,54
500,2019-03-01,COMERCIAL,1655,68
521,2019-01-02,COMERCIAL,820,32
542,2019-03-01,COMERCIAL,15206,54
605,2019-02-16,COMERCIAL,952,75
619,2019-01-30,COMERCIAL,851,32
647,2019-03-16,COMERCIAL,855,68
682,2019-02-10,COMERCIAL,888,5
738,2019-03-20,COMERCIAL,1884,54
747,2019-02-14,COMERCIAL,742,29
787,2019-03-15,COMERCIAL,1445,54
799,2019-01-29,COMERCIAL,822,39
815,2019-01-23,COMERCIAL,863,32
843,2019-03-27,COMERCIAL,853,36
848,2019-01-29,COMERCIAL,822,39
885,2019-03-04,COMERCIAL,1906,54
892,2019-03-03,COMERCIAL,1062,68
934,2019-03-11,COMERCIAL,1944,54
941,2019-03-25,COMERCIAL,2555,68
962,2019-01-14,COMERCIAL,1046,32
983,2019-03-29,COMERCIAL,9012,54
990,2019-03-14,COMERCIAL,1726,68
992,2019-02-15,COMERCIAL,739,29
1032,2019-03-02,COMERCIAL,1121,54
1074,2019-02-17,COMERCIAL,898,5
1081,2019-03-21,COMERCIAL,1876,54
1130,2019-03-27,COMERCIAL,1956,54
1137,2019-03-13,COMERCIAL,1970,68
1144,2019-02-19,COMERCIAL,779,75
1157,2019-01-21,COMERCIAL,863,32
1178,2019-03-25,COMERCIAL,1900,54
1192,2019-02-01,COMERCIAL,1185,75
1226,2019-03-26,COMERCIAL,3175,54
1233,2019-03-05,COMERCIAL,1872,68
1240,2019-02-18,COMERCIAL,836,75
1274,2019-03-13,COMERCIAL,2225,54
1281,2019-03-21,COMERCIAL,2085,68
1298,2019-02-10,COMERCIAL,3311,7
1321,2019-03-14,COMERCIAL,1458,54
1368,2019-03-08,COMERCIAL,3559,54
1375,2019-03-15,COMERCIAL,1794,68
1386,2019-06-23,COMERCIAL,-1,100
1392,2019-02-03,COMERCIAL,3582,7
1406,2019-01-20,COMERCIAL,1186,30
1422,2019-03-09,COMERCIAL,3598,68
1439,2019-02-09,COMERCIAL,2889,7
1441,2019-01-22,COMERCIAL,749,32
1462,2019-03-22,COMERCIAL,1582,54
1464,2019-01-25,COMERCIAL,799,48
1469,2019-03-27,COMERCIAL,1746,68
1480,2019-06-16,COMERCIAL,-1,100
1486,2019-02-06,COMERCIAL,2076,7
1500,2019-01-27,COMERCIAL,1405,30
1509,2019-03-06,COMERCIAL,2119,54
1516,2019-03-07,COMERCIAL,2916,68
1533,2019-02-05,COMERCIAL,2087,7
1535,2019-01-28,COMERCIAL,992,32
1547,2019-01-05,COMERCIAL,1827,30
1563,2019-03-08,COMERCIAL,6038,68
1565,2019-05-20,COMERCIAL,781,29
1580,2019-02-02,COMERCIAL,2991,7
1602,2019-07-07,COMERCIAL,8218,101
1610,2019-03-22,COMERCIAL,1293,68
1621,2019-06-06,COMERCIAL,-1,100
1627,2019-02-27,COMERCIAL,2274,7
1649,2019-07-09,COMERCIAL,8812,101
1674,2019-02-01,COMERCIAL,2753,7
1696,2019-07-08,COMERCIAL,8562,101
1704,2019-03-29,COMERCIAL,1852,68
1715,2019-06-02,COMERCIAL,-1,100
1721,2019-02-07,COMERCIAL,2076,7
1735,2019-01-12,COMERCIAL,1242,30
1744,2019-04-29,COMERCIAL,1868,54
1751,2019-03-12,COMERCIAL,1808,68
1797,2019-03-19,COMERCIAL,1670,68
1814,2019-02-22,COMERCIAL,2731,7
1835,2019-07-06,COMERCIAL,4996,101
1843,2019-03-04,COMERCIAL,799,68
1860,2019-02-19,COMERCIAL,2172,7
1882,2019-04-24,COMERCIAL,1853,54
1889,2019-03-20,COMERCIAL,1067,68
1906,2019-02-08,COMERCIAL,3028,7
1919,2019-01-26,COMERCIAL,1499,30
1928,2019-04-03,COMERCIAL,2190,54
1940,2019-01-28,COMERCIAL,754,39
1952,2019-02-28,COMERCIAL,2546,7
1965,2019-01-25,COMERCIAL,825,30
1981,2019-03-23,COMERCIAL,1545,68
1998,2019-02-23,COMERCIAL,3198,7
2011,2019-01-18,COMERCIAL,740,30
2019,2019-07-10,COMERCIAL,5039,101
2020,2019-04-04,COMERCIAL,1793,54
2027,2019-03-11,COMERCIAL,1104,68
2044,2019-02-13,COMERCIAL,2695,7
2046,2019-01-12,COMERCIAL,772,32
2066,2019-04-27,COMERCIAL,1073,54
2073,2019-03-18,COMERCIAL,1946,68
2090,2019-02-15,COMERCIAL,2780,7
2112,2019-04-30,COMERCIAL,1599,54
2119,2019-03-17,COMERCIAL,1492,68
2136,2019-02-16,COMERCIAL,2668,7
2138,2019-01-04,COMERCIAL,854,32
2143,2020-06-27,COMERCIAL,1611,16
2149,2019-01-13,COMERCIAL,1645,30
2157,2019-10-02,COMERCIAL,-5,101
2165,2019-03-28,COMERCIAL,1229,68
2182,2019-02-20,COMERCIAL,2038,7
2195,2019-01-06,COMERCIAL,798,30
2204,2019-04-11,COMERCIAL,9406,54
2211,2019-03-26,COMERCIAL,1136,68
2228,2019-02-26,COMERCIAL,2677,7
2234,2019-04-15,COMERCIAL,757,40
2235,2020-06-17,COMERCIAL,738,16
2249,2019-10-01,COMERCIAL,-2,101
2250,2019-04-17,COMERCIAL,1777,54
2257,2019-03-02,COMERCIAL,1066,68
2274,2019-02-17,COMERCIAL,2971,7
2276,2019-01-25,COMERCIAL,742,32
2307,2019-02-10,COMERCIAL,3185,73
2308,2019-01-21,COMERCIAL,744,39
2320,2019-02-24,COMERCIAL,3486,7
2335,2019-04-14,COMERCIAL,1033,5
2342,2019-04-05,COMERCIAL,16417,54
2353,2019-02-09,COMERCIAL,859,73
2379,2019-01-19,COMERCIAL,1236,30
2397,2019-05-16,COMERCIAL,785,29
2414,2019-01-19,COMERCIAL,818,32
2434,2019-04-10,COMERCIAL,5565,54
2448,2019-02-03,COMERCIAL,1472,75
2458,2019-02-21,COMERCIAL,2446,7
2460,2019-01-11,COMERCIAL,1014,32
2465,2020-06-23,COMERCIAL,772,16
2480,2019-04-25,COMERCIAL,1889,54
2487,2019-03-24,COMERCIAL,2375,68
2494,2019-02-20,COMERCIAL,1015,75
2504,2019-02-14,COMERCIAL,2034,7
2506,2019-01-18,COMERCIAL,844,32
2514,2019-05-03,COMERCIAL,823,11
2526,2019-04-01,COMERCIAL,2282,54
2552,2019-01-05,COMERCIAL,946,32
2560,2019-05-02,COMERCIAL,947,11
2586,2019-02-02,COMERCIAL,1175,75
2598,2019-01-26,COMERCIAL,940,32
2606,2019-05-30,COMERCIAL,1239,11
2618,2019-04-12,COMERCIAL,1663,54
2629,2019-02-26,COMERCIAL,942,73
2632,2019-02-14,COMERCIAL,817,75
2636,2019-07-10,COMERCIAL,-1,100
2652,2019-05-26,COMERCIAL,993,11
2664,2019-04-13,COMERCIAL,920,54
2675,2019-02-01,COMERCIAL,813,73
2682,2019-07-26,COMERCIAL,-1,100
