,FECHA,USO,CONSUMO,ID_CONTADOR
70,2019-03-11,COMERCIAL,704,456
103,2019-01-01,COMERCIAL,606,495
130,2019-03-25,COMERCIAL,809,456
152,2019-01-28,COMERCIAL,926,299
157,2019-02-06,COMERCIAL,568,534
167,2019-03-05,COMERCIAL,688,491
170,2019-03-11,COMERCIAL,1015,547
233,2019-01-28,COMERCIAL,620,297
272,2019-01-09,COMERCIAL,650,299
279,2019-02-06,COMERCIAL,1733,526
293,2019-01-03,COMERCIAL,866,297
330,2019-03-18,COMERCIAL,2089,561
347,2019-03-12,COMERCIAL,572,491
353,2019-01-23,COMERCIAL,561,297
366,2019-03-07,COMERCIAL,589,340
390,2019-03-20,COMERCIAL,2497,561
392,2019-01-30,COMERCIAL,708,299
401,2019-03-13,COMERCIAL,791,532
403,2019-01-02,COMERCIAL,800,495
413,2019-01-17,COMERCIAL,730,297
426,2019-03-12,COMERCIAL,567,340
450,2019-03-25,COMERCIAL,7379,561
452,2019-01-21,COMERCIAL,943,299
473,2019-01-14,COMERCIAL,1041,297
507,2019-02-05,COMERCIAL,737,522
510,2019-03-19,COMERCIAL,2074,561
512,2019-01-29,COMERCIAL,890,299
521,2019-03-08,COMERCIAL,1479,532
523,2019-01-07,COMERCIAL,558,495
533,2019-01-09,COMERCIAL,804,297
572,2019-01-17,COMERCIAL,879,299
577,2019-02-04,COMERCIAL,632,534
579,2019-02-05,COMERCIAL,1924,526
593,2019-01-16,COMERCIAL,768,297
606,2019-03-11,COMERCIAL,557,340
632,2019-01-02,COMERCIAL,690,299
639,2019-02-20,COMERCIAL,1175,526
641,2019-03-26,COMERCIAL,1140,532
653,2019-01-22,COMERCIAL,1410,297
690,2019-03-29,COMERCIAL,1481,561
692,2019-01-31,COMERCIAL,842,299
697,2019-02-25,COMERCIAL,591,534
735,2019-03-07,COMERCIAL,1033,413
738,2019-03-17,COMERCIAL,2008,500
744,2019-01-13,COMERCIAL,560,379
752,2019-01-05,COMERCIAL,1023,299
757,2019-02-11,COMERCIAL,687,534
765,2019-01-14,COMERCIAL,929,422
773,2019-01-31,COMERCIAL,600,297
786,2019-03-20,COMERCIAL,600,340
807,2019-02-06,COMERCIAL,588,522
812,2019-01-27,COMERCIAL,574,299
817,2019-02-13,COMERCIAL,552,534
823,2019-01-08,COMERCIAL,567,495
833,2019-01-02,COMERCIAL,816,297
840,2019-02-09,COMERCIAL,663,385
843,2019-02-26,COMERCIAL,1884,321
872,2019-01-10,COMERCIAL,733,299
879,2019-02-21,COMERCIAL,1173,526
906,2019-03-13,COMERCIAL,668,340
930,2019-03-13,COMERCIAL,805,300
932,2019-01-14,COMERCIAL,790,299
937,2019-02-05,COMERCIAL,567,534
939,2019-02-28,COMERCIAL,1644,526
992,2019-01-16,COMERCIAL,721,299
994,2019-02-12,COMERCIAL,625,571
996,2019-01-13,COMERCIAL,-1,324
1001,2019-03-14,COMERCIAL,1066,532
1003,2019-01-10,COMERCIAL,565,495
1013,2019-01-15,COMERCIAL,681,297
1052,2019-01-24,COMERCIAL,842,299
1059,2019-02-04,COMERCIAL,1672,526
1073,2019-01-29,COMERCIAL,595,297
1112,2019-01-23,COMERCIAL,1188,299
1125,2019-01-19,COMERCIAL,612,422
1133,2019-01-24,COMERCIAL,611,297
1170,2019-03-16,COMERCIAL,615,300
1172,2019-01-08,COMERCIAL,683,299
1177,2019-02-19,COMERCIAL,622,534
1179,2019-02-13,COMERCIAL,1453,526
1185,2019-01-04,COMERCIAL,643,422
1190,2019-03-16,COMERCIAL,730,547
1230,2019-03-19,COMERCIAL,753,300
1232,2019-01-12,COMERCIAL,1006,299
1234,2019-02-19,COMERCIAL,1223,571
1241,2019-03-27,COMERCIAL,1208,532
1245,2019-01-02,COMERCIAL,726,127
1247,2019-03-12,COMERCIAL,614,115
1250,2019-03-12,COMERCIAL,1021,547
1253,2019-01-08,COMERCIAL,783,297
1287,2019-02-13,COMERCIAL,700,522
1290,2019-03-21,COMERCIAL,711,300
1292,2019-01-19,COMERCIAL,990,299
1299,2019-02-01,COMERCIAL,1600,526
1307,2019-03-25,COMERCIAL,810,115
1310,2019-03-13,COMERCIAL,903,547
1313,2019-01-30,COMERCIAL,605,297
1350,2019-03-25,COMERCIAL,942,300
1352,2019-01-15,COMERCIAL,778,299
1363,2019-01-23,COMERCIAL,587,495
1365,2019-01-04,COMERCIAL,754,127
1367,2019-03-05,COMERCIAL,558,115
1370,2019-03-04,COMERCIAL,819,547
1373,2019-01-21,COMERCIAL,556,297
1386,2019-03-27,COMERCIAL,552,340
1410,2019-03-20,COMERCIAL,725,300
1412,2019-01-04,COMERCIAL,844,299
1419,2019-02-07,COMERCIAL,1885,526
1421,2019-03-02,COMERCIAL,794,532
1427,2019-03-26,COMERCIAL,639,115
1430,2019-03-15,COMERCIAL,1001,547
1437,2019-02-27,COMERCIAL,589,108
1470,2019-03-07,COMERCIAL,734,300
1472,2019-01-25,COMERCIAL,740,299
1474,2019-02-13,COMERCIAL,1364,571
1487,2019-03-13,COMERCIAL,768,115
1490,2019-03-19,COMERCIAL,813,547
1493,2019-01-11,COMERCIAL,610,297
1506,2019-03-18,COMERCIAL,554,340
1530,2019-03-27,COMERCIAL,796,300
1532,2019-01-18,COMERCIAL,813,299
1541,2019-03-20,COMERCIAL,943,532
1543,2019-01-11,COMERCIAL,628,495
1547,2019-03-08,COMERCIAL,555,115
1550,2019-03-14,COMERCIAL,1329,547
1557,2019-02-16,COMERCIAL,803,108
1579,2019-02-25,COMERCIAL,876,432
1592,2019-01-22,COMERCIAL,944,299
1598,2019-02-07,COMERCIAL,844,475
1599,2019-02-18,COMERCIAL,1795,526
1607,2019-03-14,COMERCIAL,550,115
1610,2019-03-28,COMERCIAL,814,547
1613,2019-01-25,COMERCIAL,640,297
1617,2019-02-07,COMERCIAL,557,108
1637,2019-02-23,COMERCIAL,893,447
1667,2019-03-04,COMERCIAL,637,115
1673,2019-01-04,COMERCIAL,741,297
1697,2019-02-22,COMERCIAL,579,447
1710,2019-03-05,COMERCIAL,896,300
1712,2019-01-24,COMERCIAL,2413,901
1719,2019-02-15,COMERCIAL,1685,526
1727,2019-03-18,COMERCIAL,696,115
1733,2019-01-18,COMERCIAL,716,297
1744,2019-03-15,COMERCIAL,677,95
1757,2019-02-14,COMERCIAL,633,447
1770,2019-03-04,COMERCIAL,749,300
1772,2019-01-17,COMERCIAL,1960,901
1781,2019-03-15,COMERCIAL,1284,532
1787,2019-03-20,COMERCIAL,790,115
1797,2019-02-26,COMERCIAL,868,108
1810,2019-03-02,COMERCIAL,1304,370
1817,2019-02-09,COMERCIAL,589,447
1830,2019-03-01,COMERCIAL,548,300
1832,2019-01-30,COMERCIAL,2847,901
1841,2019-03-16,COMERCIAL,796,532
1847,2019-03-11,COMERCIAL,879,115
1850,2019-03-20,COMERCIAL,1061,547
1857,2019-02-06,COMERCIAL,815,108
1890,2019-03-14,COMERCIAL,1086,300
1892,2019-01-13,COMERCIAL,1771,901
1903,2019-01-25,COMERCIAL,641,495
1917,2019-02-21,COMERCIAL,822,108
1924,2019-03-29,COMERCIAL,866,95
1937,2019-02-25,COMERCIAL,694,447
1945,2019-03-16,COMERCIAL,666,151
1952,2019-01-31,COMERCIAL,2058,901
1954,2019-02-14,COMERCIAL,863,571
1967,2019-03-28,COMERCIAL,580,115
1970,2019-03-18,COMERCIAL,1150,547
1977,2019-02-19,COMERCIAL,598,108
1990,2019-03-03,COMERCIAL,1596,370
2004,2019-01-02,COMERCIAL,561,379
2005,2019-03-23,COMERCIAL,570,151
2012,2019-01-29,COMERCIAL,2099,901
2027,2019-03-07,COMERCIAL,674,115
2030,2019-03-09,COMERCIAL,635,547
2035,2019-03-30,COMERCIAL,1017,52
2037,2019-02-20,COMERCIAL,983,108
2050,2019-03-09,COMERCIAL,1542,370
2055,2019-03-20,COMERCIAL,3469,413
2070,2019-03-26,COMERCIAL,1008,300
2072,2019-01-04,COMERCIAL,1052,901
