,FECHA,USO,CONSUMO,ID_CONTADOR
66,2019-01-01,COMERCIAL,736,767
67,2019-03-05,COMERCIAL,1147,584
71,2019-02-24,COMERCIAL,2426,513
97,2019-03-05,COMERCIAL,1131,727
124,2019-02-28,COMERCIAL,710,178
157,2019-03-08,COMERCIAL,1024,727
171,2019-02-12,COMERCIAL,644,562
205,2019-02-24,COMERCIAL,932,496
212,2019-01-01,COMERCIAL,783,545
275,2019-01-15,COMERCIAL,746,721
348,2019-02-05,COMERCIAL,718,602
391,2019-02-07,COMERCIAL,646,592
395,2019-01-02,COMERCIAL,829,722
397,2019-03-07,COMERCIAL,705,727
411,2019-02-27,COMERCIAL,1579,562
457,2019-03-13,COMERCIAL,731,727
471,2019-02-19,COMERCIAL,1034,562
483,2019-01-23,COMERCIAL,2265,556
515,2019-01-02,COMERCIAL,803,721
572,2019-01-03,COMERCIAL,792,545
578,2019-01-07,COMERCIAL,1027,511
632,2019-01-03,COMERCIAL,809,718
637,2019-03-26,COMERCIAL,1342,727
663,2019-01-16,COMERCIAL,2689,556
667,2019-03-19,COMERCIAL,978,584
690,2019-01-16,COMERCIAL,1412,725
697,2019-03-11,COMERCIAL,743,727
698,2019-01-24,COMERCIAL,810,511
717,2019-01-05,COMERCIAL,1116,635
727,2019-03-26,COMERCIAL,1156,584
742,2019-02-26,COMERCIAL,654,645
815,2019-01-28,COMERCIAL,880,721
817,2019-03-14,COMERCIAL,1402,727
824,2019-02-04,COMERCIAL,4822,684
830,2019-01-27,COMERCIAL,1042,143
831,2019-02-25,COMERCIAL,1387,562
877,2019-03-19,COMERCIAL,937,727
878,2019-01-23,COMERCIAL,718,511
890,2019-01-20,COMERCIAL,1915,143
939,2019-02-08,COMERCIAL,767,1015
951,2019-02-17,COMERCIAL,4361,562
963,2019-01-16,COMERCIAL,732,615
967,2019-03-27,COMERCIAL,891,584
997,2019-03-20,COMERCIAL,662,727
999,2019-02-16,COMERCIAL,1141,1015
1023,2019-01-17,COMERCIAL,2625,556
1055,2019-01-09,COMERCIAL,775,721
1058,2019-01-05,COMERCIAL,1507,511
1083,2019-01-07,COMERCIAL,706,615
1117,2019-03-01,COMERCIAL,755,727
1125,2019-02-19,COMERCIAL,706,613
1168,2019-02-04,COMERCIAL,790,800
1172,2019-01-02,COMERCIAL,818,545
1178,2019-01-21,COMERCIAL,909,511
1179,2019-02-15,COMERCIAL,805,1015
1203,2019-01-05,COMERCIAL,747,615
1228,2019-02-27,COMERCIAL,956,660
1239,2019-02-22,COMERCIAL,1172,1015
1244,2019-02-27,COMERCIAL,775,654
1245,2019-02-06,COMERCIAL,748,613
1251,2019-02-13,COMERCIAL,1081,562
1263,2019-01-07,COMERCIAL,4125,556
1282,2019-02-12,COMERCIAL,664,645
1292,2019-01-05,COMERCIAL,873,545
1295,2019-01-10,COMERCIAL,642,722
1297,2019-03-27,COMERCIAL,816,727
1323,2019-01-27,COMERCIAL,4751,556
1331,2019-02-15,COMERCIAL,2008,513
1351,2019-02-02,COMERCIAL,847,592
1355,2019-01-10,COMERCIAL,665,721
1383,2019-01-05,COMERCIAL,6086,556
1412,2019-01-10,COMERCIAL,816,545
1431,2019-02-16,COMERCIAL,3141,562
1443,2019-01-10,COMERCIAL,2832,556
1447,2019-03-22,COMERCIAL,960,584
1470,2019-01-24,COMERCIAL,1649,725
1472,2019-01-10,COMERCIAL,854,718
1477,2019-03-15,COMERCIAL,1176,727
1503,2019-01-18,COMERCIAL,3464,556
1532,2019-01-14,COMERCIAL,644,718
1544,2019-02-14,COMERCIAL,1166,684
1563,2019-01-25,COMERCIAL,2961,556
1567,2019-03-29,COMERCIAL,808,688
1595,2019-01-14,COMERCIAL,900,721
1611,2019-02-23,COMERCIAL,4224,562
1623,2019-01-12,COMERCIAL,6511,556
1633,2019-01-08,COMERCIAL,2578,705
1645,2019-02-02,COMERCIAL,1404,496
1656,2019-02-18,COMERCIAL,738,650
1683,2019-01-15,COMERCIAL,3082,556
1705,2019-02-01,COMERCIAL,1289,496
1712,2019-01-16,COMERCIAL,660,545
1731,2019-02-20,COMERCIAL,1290,562
1743,2019-01-13,COMERCIAL,5846,556
