,FECHA,USO,CONSUMO,ID_CONTADOR
6,2019-06-15,COMERCIAL,1305,586
15,2019-01-08,COMERCIAL,2079,204
37,2019-02-10,COMERCIAL,876,161
47,2019-02-03,COMERCIAL,1518,203
57,2019-01-01,COMERCIAL,582,258
66,2019-06-19,COMERCIAL,741,586
75,2019-01-18,COMERCIAL,2366,204
101,2019-02-14,COMERCIAL,738,205
107,2019-02-06,COMERCIAL,1811,203
111,2019-02-12,COMERCIAL,560,182
126,2019-06-14,COMERCIAL,718,586
135,2019-01-22,COMERCIAL,1405,204
167,2019-02-10,COMERCIAL,3106,203
186,2019-06-10,COMERCIAL,1364,586
195,2019-01-21,COMERCIAL,2009,204
221,2019-02-12,COMERCIAL,12651,207
227,2019-02-20,COMERCIAL,1579,203
246,2019-06-04,COMERCIAL,619,586
255,2019-01-25,COMERCIAL,2306,204
281,2019-02-10,COMERCIAL,18296,207
287,2019-02-12,COMERCIAL,2287,203
291,2019-02-27,COMERCIAL,549,182
306,2019-06-29,COMERCIAL,1512,586
315,2019-01-12,COMERCIAL,3173,204
347,2019-02-04,COMERCIAL,1747,203
366,2019-06-02,COMERCIAL,1276,586
375,2019-01-17,COMERCIAL,2074,204
377,2019-01-29,COMERCIAL,1109,180
401,2019-02-06,COMERCIAL,9922,207
407,2019-02-14,COMERCIAL,2008,203
411,2019-02-19,COMERCIAL,672,182
424,2019-01-28,COMERCIAL,569,154
426,2019-06-01,COMERCIAL,1199,586
435,2019-01-29,COMERCIAL,1499,204
467,2019-02-17,COMERCIAL,2062,203
486,2019-06-03,COMERCIAL,601,586
495,2019-01-30,COMERCIAL,1672,204
527,2019-02-05,COMERCIAL,2086,203
546,2019-06-24,COMERCIAL,1083,586
555,2019-01-26,COMERCIAL,2977,204
557,2019-01-30,COMERCIAL,770,180
587,2019-02-27,COMERCIAL,2337,203
591,2019-02-05,COMERCIAL,577,182
606,2019-06-22,COMERCIAL,1339,586
615,2019-01-02,COMERCIAL,1406,204
641,2019-02-17,COMERCIAL,21826,207
647,2019-02-24,COMERCIAL,2952,203
666,2019-06-18,COMERCIAL,619,586
675,2019-01-05,COMERCIAL,4222,204
701,2019-02-03,COMERCIAL,14000,207
707,2019-02-28,COMERCIAL,2670,203
711,2019-02-02,COMERCIAL,616,182
726,2019-06-09,COMERCIAL,1282,586
735,2019-01-04,COMERCIAL,2074,204
767,2019-02-13,COMERCIAL,2049,203
786,2019-06-21,COMERCIAL,846,586
795,2019-01-23,COMERCIAL,1781,204
821,2019-02-05,COMERCIAL,7089,207
827,2019-02-26,COMERCIAL,2059,203
831,2019-02-04,COMERCIAL,652,182
844,2019-01-11,COMERCIAL,579,154
846,2019-06-27,COMERCIAL,583,586
855,2019-01-19,COMERCIAL,2895,204
870,2019-02-27,COMERCIAL,767,88
887,2019-02-07,COMERCIAL,1357,203
891,2019-02-26,COMERCIAL,557,182
906,2019-06-28,COMERCIAL,755,586
915,2019-01-03,COMERCIAL,1988,204
930,2019-02-14,COMERCIAL,813,88
941,2019-02-07,COMERCIAL,7478,207
947,2019-02-02,COMERCIAL,2312,203
966,2019-06-26,COMERCIAL,781,586
975,2019-01-27,COMERCIAL,3628,204
1007,2019-02-25,COMERCIAL,2310,203
1026,2019-06-30,COMERCIAL,974,586
1035,2019-01-28,COMERCIAL,2536,204
1050,2019-02-09,COMERCIAL,796,88
1061,2019-02-19,COMERCIAL,14854,207
1067,2019-02-21,COMERCIAL,1394,203
1086,2019-06-07,COMERCIAL,974,586
1095,2019-01-15,COMERCIAL,1964,204
1110,2019-02-10,COMERCIAL,799,88
1121,2019-02-18,COMERCIAL,9382,207
1124,2019-02-19,COMERCIAL,681,156
1127,2019-02-01,COMERCIAL,918,203
1131,2019-02-14,COMERCIAL,570,182
1146,2019-06-25,COMERCIAL,779,586
1155,2019-01-06,COMERCIAL,2497,204
1170,2019-02-28,COMERCIAL,677,88
1171,2019-01-02,COMERCIAL,821,70
1184,2019-02-26,COMERCIAL,1127,156
1187,2019-02-11,COMERCIAL,1226,203
1206,2019-06-11,COMERCIAL,621,586
1215,2019-01-16,COMERCIAL,1867,204
1230,2019-02-04,COMERCIAL,675,88
1241,2019-02-14,COMERCIAL,10433,207
1247,2019-02-19,COMERCIAL,2029,203
1266,2019-06-16,COMERCIAL,937,586
1275,2019-01-20,COMERCIAL,2979,204
1290,2019-02-08,COMERCIAL,911,88
1301,2019-02-11,COMERCIAL,7082,207
1304,2019-02-20,COMERCIAL,1438,156
1307,2019-02-23,COMERCIAL,4069,203
1326,2019-06-17,COMERCIAL,733,586
1335,2019-01-31,COMERCIAL,1961,204
1361,2019-02-13,COMERCIAL,10685,207
1364,2019-02-09,COMERCIAL,1160,156
1367,2019-02-16,COMERCIAL,3542,203
1386,2019-06-13,COMERCIAL,596,586
1395,2019-01-07,COMERCIAL,2238,204
1410,2019-02-21,COMERCIAL,557,88
1421,2019-02-27,COMERCIAL,13966,207
1424,2019-02-22,COMERCIAL,1156,156
1427,2019-02-18,COMERCIAL,1176,203
1432,2019-02-15,COMERCIAL,710,251
1446,2019-06-23,COMERCIAL,947,586
1455,2019-01-13,COMERCIAL,2680,204
1484,2019-02-11,COMERCIAL,943,156
1487,2019-02-15,COMERCIAL,3684,203
1506,2019-06-12,COMERCIAL,863,586
1515,2019-01-01,COMERCIAL,4082,204
1530,2019-02-23,COMERCIAL,805,88
1541,2019-02-25,COMERCIAL,7632,207
1544,2019-02-15,COMERCIAL,772,156
1547,2019-02-08,COMERCIAL,2183,203
1566,2019-06-06,COMERCIAL,630,586
1575,2019-01-14,COMERCIAL,2234,204
1604,2019-02-08,COMERCIAL,945,156
1607,2019-02-22,COMERCIAL,2641,203
1626,2019-06-08,COMERCIAL,1591,586
1635,2019-01-24,COMERCIAL,2048,204
1650,2019-02-25,COMERCIAL,903,88
1664,2019-02-13,COMERCIAL,1295,156
1665,2019-06-05,COMERCIAL,2209,186
1686,2019-06-20,COMERCIAL,618,586
1695,2019-01-10,COMERCIAL,2155,204
1716,2019-02-26,COMERCIAL,785,235
1721,2019-02-21,COMERCIAL,14850,207
