,FECHA,USO,CONSUMO,ID_CONTADOR
1,2019-05-30,COMERCIAL,1793,134
2,2020-01-31,COMERCIAL,1268,191
8,2019-10-22,COMERCIAL,860,88
9,2019-05-27,COMERCIAL,-1,159
18,2019-07-10,COMERCIAL,1023,147
19,2019-10-22,COMERCIAL,747,20
23,2019-02-08,COMERCIAL,1888,181
24,2019-07-15,COMERCIAL,1746,177
42,2019-08-30,COMERCIAL,1015,180
57,2019-02-22,COMERCIAL,963,136
59,2019-05-28,COMERCIAL,1193,134
60,2020-02-24,COMERCIAL,7616,191
66,2019-10-16,COMERCIAL,1195,88
68,2019-05-28,COMERCIAL,803,176
71,2019-06-30,COMERCIAL,733,186
75,2019-06-28,COMERCIAL,1985,161
82,2019-07-31,COMERCIAL,2566,177
117,2019-05-29,COMERCIAL,1640,134
118,2020-02-08,COMERCIAL,1365,191
124,2020-01-05,COMERCIAL,843,88
131,2019-10-19,COMERCIAL,3215,80
133,2019-06-07,COMERCIAL,1952,161
140,2019-07-18,COMERCIAL,1170,177
149,2019-11-02,COMERCIAL,2020,81
175,2019-05-31,COMERCIAL,1635,134
176,2020-02-11,COMERCIAL,1313,191
182,2020-01-02,COMERCIAL,772,88
197,2019-07-09,COMERCIAL,2158,177
206,2019-11-05,COMERCIAL,1954,81
239,2020-01-15,COMERCIAL,861,88
244,2019-06-07,COMERCIAL,861,186
247,2019-06-15,COMERCIAL,2150,161
254,2019-07-11,COMERCIAL,1925,177
263,2019-11-06,COMERCIAL,1567,81
292,2019-10-26,COMERCIAL,769,93
296,2020-01-11,COMERCIAL,1109,88
304,2019-06-27,COMERCIAL,1701,161
311,2019-07-16,COMERCIAL,7192,177
353,2020-01-13,COMERCIAL,852,88
361,2019-06-04,COMERCIAL,1545,161
401,2019-02-03,COMERCIAL,817,136
404,2020-03-02,COMERCIAL,1860,191
412,2019-09-12,COMERCIAL,1054,176
425,2019-07-14,COMERCIAL,756,177
436,2019-12-09,COMERCIAL,10866,99
437,2019-12-20,COMERCIAL,769,105
467,2020-01-18,COMERCIAL,952,88
469,2019-09-20,COMERCIAL,719,176
473,2019-10-28,COMERCIAL,2786,80
490,2019-10-29,COMERCIAL,1141,4
493,2019-12-10,COMERCIAL,10615,99
515,2019-02-08,COMERCIAL,2327,136
525,2019-11-06,COMERCIAL,-1,159
530,2019-10-25,COMERCIAL,2396,80
532,2019-06-19,COMERCIAL,1833,161
539,2019-07-24,COMERCIAL,1639,177
550,2019-12-28,COMERCIAL,5053,99
581,2020-01-17,COMERCIAL,865,88
582,2019-11-12,COMERCIAL,-1,159
587,2019-10-29,COMERCIAL,2370,80
589,2019-06-06,COMERCIAL,1539,161
605,2019-11-26,COMERCIAL,1820,81
607,2019-12-14,COMERCIAL,4497,99
632,2020-03-12,COMERCIAL,1597,191
634,2019-10-31,COMERCIAL,799,93
638,2020-01-04,COMERCIAL,1132,88
639,2019-11-29,COMERCIAL,-1,159
640,2019-09-04,COMERCIAL,1135,176
644,2019-10-16,COMERCIAL,1959,80
646,2019-06-05,COMERCIAL,1657,161
662,2019-11-12,COMERCIAL,1606,81
664,2019-12-21,COMERCIAL,4588,99
665,2019-12-21,COMERCIAL,984,105
701,2019-10-23,COMERCIAL,2121,80
710,2019-07-21,COMERCIAL,1706,177
719,2019-11-09,COMERCIAL,2158,81
721,2019-12-24,COMERCIAL,6957,99
745,2019-08-02,COMERCIAL,1818,134
746,2020-03-03,COMERCIAL,1609,191
754,2019-09-27,COMERCIAL,1885,176
758,2019-10-30,COMERCIAL,2336,80
760,2019-06-13,COMERCIAL,1621,161
776,2019-11-19,COMERCIAL,1624,81
778,2019-12-07,COMERCIAL,5663,99
789,2019-08-07,COMERCIAL,917,169
809,2020-01-03,COMERCIAL,822,88
811,2019-09-18,COMERCIAL,1823,176
817,2019-06-18,COMERCIAL,1727,161
833,2019-11-07,COMERCIAL,1791,81
835,2019-12-19,COMERCIAL,12074,99
846,2019-08-22,COMERCIAL,2940,169
872,2019-10-17,COMERCIAL,1963,80
874,2019-06-17,COMERCIAL,1672,161
881,2019-07-04,COMERCIAL,2320,177
890,2019-11-13,COMERCIAL,1783,81
892,2019-12-20,COMERCIAL,6855,99
923,2020-01-16,COMERCIAL,779,88
925,2019-11-22,COMERCIAL,1102,176
929,2019-10-22,COMERCIAL,2273,80
931,2019-06-20,COMERCIAL,1685,161
947,2019-11-23,COMERCIAL,2255,81
949,2019-12-16,COMERCIAL,9209,99
976,2019-12-23,COMERCIAL,1004,93
980,2020-01-25,COMERCIAL,776,88
986,2019-10-31,COMERCIAL,2573,80
988,2019-06-10,COMERCIAL,2153,161
995,2019-07-05,COMERCIAL,1877,177
1004,2019-11-16,COMERCIAL,1708,81
1006,2019-12-01,COMERCIAL,4905,99
1031,2020-03-01,COMERCIAL,1295,191
1033,2019-12-03,COMERCIAL,711,93
1039,2019-11-26,COMERCIAL,927,176
1045,2019-06-03,COMERCIAL,1510,161
1052,2019-07-26,COMERCIAL,1366,177
1063,2019-12-23,COMERCIAL,6322,99
1090,2019-12-27,COMERCIAL,902,93
1100,2019-10-15,COMERCIAL,2027,80
1109,2019-07-17,COMERCIAL,1476,177
1120,2019-12-05,COMERCIAL,9709,99
1145,2020-03-06,COMERCIAL,1298,191
1147,2019-12-10,COMERCIAL,744,93
1157,2019-10-21,COMERCIAL,2802,80
1175,2019-11-28,COMERCIAL,1930,81
1177,2019-12-06,COMERCIAL,4561,99
1204,2019-12-18,COMERCIAL,732,93
1214,2019-10-18,COMERCIAL,2036,80
1223,2019-07-23,COMERCIAL,1371,177
1232,2019-11-20,COMERCIAL,1716,81
1234,2019-12-25,COMERCIAL,4748,99
1237,2019-12-02,COMERCIAL,743,92
1261,2019-12-11,COMERCIAL,884,93
1271,2019-10-26,COMERCIAL,2992,80
1280,2019-07-19,COMERCIAL,1076,177
1289,2019-11-21,COMERCIAL,1778,81
1291,2019-12-26,COMERCIAL,4998,99
1315,2019-08-01,COMERCIAL,1844,134
1316,2020-03-13,COMERCIAL,1078,191
1318,2019-12-17,COMERCIAL,804,93
1322,2020-01-07,COMERCIAL,826,88
1328,2019-10-24,COMERCIAL,1663,80
1337,2019-07-10,COMERCIAL,1183,177
