,FECHA,USO,CONSUMO,ID_CONTADOR
16,2019-02-10,COMERCIAL,885,463
39,2019-02-17,COMERCIAL,891,342
56,2019-01-28,COMERCIAL,2099,447
59,2019-01-06,COMERCIAL,754,583
70,2019-01-13,COMERCIAL,1202,475
91,2019-01-03,COMERCIAL,1287,541
98,2019-01-06,COMERCIAL,1683,268
106,2019-01-06,COMERCIAL,2601,272
117,2019-01-13,COMERCIAL,738,547
118,2019-01-01,COMERCIAL,883,252
196,2019-02-19,COMERCIAL,664,239
197,2019-01-13,COMERCIAL,1160,374
211,2019-01-07,COMERCIAL,1234,541
218,2019-01-20,COMERCIAL,1108,268
231,2019-01-06,COMERCIAL,876,436
239,2019-01-07,COMERCIAL,888,505
259,2019-03-10,COMERCIAL,1108,345
342,2019-01-17,COMERCIAL,2587,393
356,2019-01-09,COMERCIAL,1353,447
359,2019-01-03,COMERCIAL,731,505
391,2019-01-15,COMERCIAL,1189,541
398,2019-01-13,COMERCIAL,1506,268
406,2019-01-10,COMERCIAL,1720,272
411,2019-01-13,COMERCIAL,723,436
418,2019-01-20,COMERCIAL,1193,252
431,2019-01-02,COMERCIAL,664,572
476,2019-01-16,COMERCIAL,1415,447
512,2019-01-07,COMERCIAL,810,453
517,2019-02-03,COMERCIAL,772,473
519,2019-02-06,COMERCIAL,734,342
555,2019-01-01,COMERCIAL,664,467
559,2019-03-03,COMERCIAL,971,345
560,2019-01-25,COMERCIAL,811,593
579,2019-02-10,COMERCIAL,827,342
598,2019-01-28,COMERCIAL,1080,252
610,2019-01-27,COMERCIAL,1730,475
636,2019-01-27,COMERCIAL,942,410
659,2019-01-02,COMERCIAL,705,505
710,2019-01-13,COMERCIAL,820,369
716,2019-01-14,COMERCIAL,1508,447
718,2019-01-22,COMERCIAL,1397,252
758,2019-01-27,COMERCIAL,987,268
761,2019-02-24,COMERCIAL,823,329
763,2019-01-30,COMERCIAL,755,324
896,2019-01-21,COMERCIAL,1433,447
898,2019-01-09,COMERCIAL,752,252
899,2019-01-31,COMERCIAL,834,583
917,2019-01-09,COMERCIAL,993,374
936,2019-01-14,COMERCIAL,3552,337
939,2019-02-19,COMERCIAL,1619,342
976,2019-02-27,COMERCIAL,771,239
999,2019-02-24,COMERCIAL,793,342
1028,2019-01-12,COMERCIAL,874,225
1053,2019-02-24,COMERCIAL,1447,325
1090,2019-01-20,COMERCIAL,1283,475
1136,2019-01-10,COMERCIAL,1405,447
1138,2019-01-13,COMERCIAL,1107,252
1196,2019-01-29,COMERCIAL,1403,447
1216,2019-02-18,COMERCIAL,666,239
1217,2019-01-27,COMERCIAL,1021,374
1259,2019-01-08,COMERCIAL,937,505
1262,2019-01-02,COMERCIAL,907,389
1335,2019-01-17,COMERCIAL,1246,571
1399,2019-03-26,COMERCIAL,845,345
1438,2019-01-03,COMERCIAL,1224,252
1439,2019-01-09,COMERCIAL,683,505
1457,2019-01-30,COMERCIAL,970,374
1459,2019-03-17,COMERCIAL,1151,345
1471,2019-01-21,COMERCIAL,981,541
1496,2019-01-07,COMERCIAL,1174,447
1516,2019-02-14,COMERCIAL,816,239
1518,2019-01-25,COMERCIAL,683,234
1539,2019-02-20,COMERCIAL,1038,342
1556,2019-01-22,COMERCIAL,1450,447
1559,2019-01-29,COMERCIAL,721,505
1575,2019-01-14,COMERCIAL,2593,571
1591,2019-01-24,COMERCIAL,1571,541
1676,2019-01-03,COMERCIAL,1378,447
1679,2019-01-10,COMERCIAL,751,505
1697,2019-01-24,COMERCIAL,926,374
1796,2019-01-04,COMERCIAL,1332,447
1798,2019-01-02,COMERCIAL,909,252
1816,2019-02-13,COMERCIAL,881,239
1836,2019-01-21,COMERCIAL,763,410
1859,2019-01-22,COMERCIAL,751,505
1875,2019-01-23,COMERCIAL,2709,571
1891,2019-01-30,COMERCIAL,1022,541
1892,2019-01-10,COMERCIAL,846,453
1899,2019-02-26,COMERCIAL,1142,342
1919,2019-01-22,COMERCIAL,797,583
1928,2019-01-19,COMERCIAL,668,225
1931,2019-01-24,COMERCIAL,8025,494
1935,2019-01-05,COMERCIAL,962,546
1976,2019-01-17,COMERCIAL,1331,447
1979,2019-01-15,COMERCIAL,873,583
1996,2019-02-12,COMERCIAL,936,239
1999,2019-03-24,COMERCIAL,1608,345
2081,2019-02-14,COMERCIAL,713,329
2091,2019-01-14,COMERCIAL,824,436
2096,2019-01-08,COMERCIAL,1410,447
2120,2019-01-18,COMERCIAL,754,593
2139,2019-02-14,COMERCIAL,1313,342
2149,2019-01-02,COMERCIAL,676,514
2159,2019-01-21,COMERCIAL,849,505
2216,2019-01-25,COMERCIAL,1496,447
2219,2019-01-21,COMERCIAL,689,583
2223,2019-02-02,COMERCIAL,-1,778
2236,2019-02-21,COMERCIAL,685,239
2237,2019-01-22,COMERCIAL,785,374
2319,2019-02-12,COMERCIAL,1286,342
2326,2019-01-17,COMERCIAL,1371,272
2334,2019-01-31,COMERCIAL,733,312
2376,2019-01-23,COMERCIAL,966,410
2445,2019-01-20,COMERCIAL,2004,735
2451,2019-01-31,COMERCIAL,728,359
2454,2019-01-23,COMERCIAL,701,312
2456,2019-01-11,COMERCIAL,1409,447
2459,2019-01-19,COMERCIAL,1041,583
2478,2019-01-25,COMERCIAL,748,156
2505,2019-01-06,COMERCIAL,1408,735
2506,2019-01-05,COMERCIAL,1043,479
2514,2019-01-08,COMERCIAL,785,312
2535,2019-01-30,COMERCIAL,839,571
2571,2019-01-21,COMERCIAL,948,436
2576,2019-01-18,COMERCIAL,1533,447
2619,2019-02-21,COMERCIAL,888,342
2621,2019-02-13,COMERCIAL,709,329
2625,2019-01-17,COMERCIAL,823,735
2639,2019-01-24,COMERCIAL,839,583
2656,2019-02-25,COMERCIAL,808,239
2685,2019-01-04,COMERCIAL,825,735
2686,2019-01-26,COMERCIAL,3957,272
2699,2019-01-23,COMERCIAL,849,505
2745,2019-01-28,COMERCIAL,778,735
2758,2019-01-29,COMERCIAL,778,252
2775,2019-01-16,COMERCIAL,1327,571
2859,2019-02-28,COMERCIAL,978,342
2925,2019-01-05,COMERCIAL,1605,857
2979,2019-02-11,COMERCIAL,1673,342
3059,2019-01-17,COMERCIAL,747,583
3062,2019-01-04,COMERCIAL,696,389
3076,2019-02-20,COMERCIAL,669,239
3079,2019-03-17,COMERCIAL,1396,121
3096,2019-01-28,COMERCIAL,672,410
3105,2019-01-19,COMERCIAL,777,857
3118,2019-01-08,COMERCIAL,1226,252
3124,2019-01-02,COMERCIAL,1461,420
3136,2019-02-07,COMERCIAL,1257,463
3139,2019-03-24,COMERCIAL,1962,121
3153,2019-02-01,COMERCIAL,12346,607
3213,2019-02-18,COMERCIAL,10188,607
3242,2019-01-29,COMERCIAL,667,389
3244,2019-01-16,COMERCIAL,1842,420
3258,2019-01-04,COMERCIAL,686,156
3259,2019-03-03,COMERCIAL,1499,121
3271,2019-01-12,COMERCIAL,803,228
3272,2019-01-11,COMERCIAL,774,453
3273,2019-02-20,COMERCIAL,12149,607
3285,2019-01-30,COMERCIAL,739,735
3298,2019-01-23,COMERCIAL,947,523
3304,2019-01-25,COMERCIAL,1682,420
3308,2019-01-05,COMERCIAL,725,225
3318,2019-01-11,COMERCIAL,712,156
3331,2019-01-05,COMERCIAL,688,228
3333,2019-02-05,COMERCIAL,12681,607
3336,2019-01-22,COMERCIAL,1878,337
3364,2019-01-10,COMERCIAL,1801,420
3379,2019-03-10,COMERCIAL,1984,121
3393,2019-02-02,COMERCIAL,8589,607
3424,2019-01-24,COMERCIAL,1625,420
3453,2019-02-23,COMERCIAL,13048,607
3459,2019-02-25,COMERCIAL,945,342
3479,2019-01-14,COMERCIAL,901,583
3496,2019-02-08,COMERCIAL,1075,239
3513,2019-02-12,COMERCIAL,9693,607
3544,2019-01-05,COMERCIAL,3212,420
3573,2019-02-04,COMERCIAL,9262,607
3578,2019-01-05,COMERCIAL,1256,268
3604,2019-01-11,COMERCIAL,1221,420
3614,2019-01-19,COMERCIAL,733,132
3618,2019-01-30,COMERCIAL,716,156
3633,2019-02-10,COMERCIAL,11967,607
3638,2019-01-03,COMERCIAL,672,268
3651,2019-01-17,COMERCIAL,754,436
3664,2019-01-30,COMERCIAL,1601,420
3678,2019-01-17,COMERCIAL,685,156
3691,2019-01-11,COMERCIAL,685,228
3693,2019-02-21,COMERCIAL,12905,607
3698,2019-01-26,COMERCIAL,1201,268
3699,2019-02-13,COMERCIAL,1041,342
3718,2019-01-07,COMERCIAL,818,252
3724,2019-01-17,COMERCIAL,1393,420
3753,2019-02-06,COMERCIAL,12503,607
3758,2019-01-04,COMERCIAL,1381,268
3761,2019-02-23,COMERCIAL,767,329
3762,2019-01-16,COMERCIAL,1740,393
3765,2019-01-05,COMERCIAL,853,735
3777,2019-01-10,COMERCIAL,885,570
3778,2019-01-04,COMERCIAL,986,252
3784,2019-01-31,COMERCIAL,1586,420
3800,2019-01-16,COMERCIAL,2424,216
3813,2019-02-05,COMERCIAL,782,392
3818,2019-01-11,COMERCIAL,1027,268
3838,2019-01-25,COMERCIAL,675,252
3844,2019-01-26,COMERCIAL,3272,420
3860,2019-01-08,COMERCIAL,2072,216
3876,2019-01-17,COMERCIAL,689,410
3878,2019-01-19,COMERCIAL,1265,268
3899,2019-01-04,COMERCIAL,852,505
3904,2019-01-12,COMERCIAL,3193,420
3914,2019-01-26,COMERCIAL,693,132
3920,2019-01-23,COMERCIAL,2721,216
3938,2019-01-18,COMERCIAL,685,268
3948,2019-02-12,COMERCIAL,801,587
3964,2019-01-22,COMERCIAL,1685,420
3965,2019-03-18,COMERCIAL,822,289
3971,2019-01-06,COMERCIAL,756,572
3976,2019-02-15,COMERCIAL,747,239
3980,2019-01-05,COMERCIAL,2916,216
3993,2019-02-09,COMERCIAL,1231,325
3998,2019-01-31,COMERCIAL,954,268
4019,2019-01-26,COMERCIAL,793,583
4020,2019-01-06,COMERCIAL,1188,414
4022,2019-01-31,COMERCIAL,757,389
4024,2019-01-03,COMERCIAL,1779,420
4059,2019-02-16,COMERCIAL,907,342
4080,2019-01-26,COMERCIAL,705,414
4084,2019-01-23,COMERCIAL,1822,420
4085,2019-03-14,COMERCIAL,788,289
4091,2019-01-04,COMERCIAL,722,572
4100,2019-01-22,COMERCIAL,1978,216
4140,2019-01-22,COMERCIAL,721,414
4144,2019-01-04,COMERCIAL,1666,420
4155,2019-01-03,COMERCIAL,865,571
4160,2019-01-25,COMERCIAL,2535,216
4185,2019-01-03,COMERCIAL,825,735
4187,2019-01-04,COMERCIAL,713,341
4200,2019-01-10,COMERCIAL,692,414
4204,2019-01-09,COMERCIAL,1818,420
4208,2019-01-26,COMERCIAL,685,225
4211,2019-01-03,COMERCIAL,699,572
4239,2019-02-08,COMERCIAL,983,342
4251,2019-01-19,COMERCIAL,744,436
4258,2019-01-19,COMERCIAL,1469,252
4259,2019-01-18,COMERCIAL,757,583
4264,2019-01-19,COMERCIAL,3751,420
4298,2019-01-12,COMERCIAL,919,268
4308,2019-02-26,COMERCIAL,675,587
4324,2019-01-08,COMERCIAL,6107,420
4325,2019-03-15,COMERCIAL,702,289
4330,2019-01-19,COMERCIAL,1189,475
4331,2019-01-18,COMERCIAL,1040,572
4380,2019-01-08,COMERCIAL,699,414
4391,2019-01-18,COMERCIAL,1040,572
4440,2019-01-07,COMERCIAL,966,414
4442,2019-01-19,COMERCIAL,946,389
4455,2019-01-19,COMERCIAL,1005,546
4499,2019-01-11,COMERCIAL,812,583
4511,2019-01-23,COMERCIAL,3342,494
4524,2019-02-21,COMERCIAL,1074,820
4539,2019-02-07,COMERCIAL,930,342
4551,2019-01-22,COMERCIAL,690,436
4556,2019-01-16,COMERCIAL,1369,383
4558,2019-01-18,COMERCIAL,1122,252
4559,2019-01-11,COMERCIAL,741,505
4562,2019-01-11,COMERCIAL,772,389
4584,2019-02-04,COMERCIAL,1177,820
4606,2019-01-05,COMERCIAL,707,451
4620,2019-01-17,COMERCIAL,848,414
4640,2019-01-11,COMERCIAL,2244,216
4659,2019-02-09,COMERCIAL,692,342
4665,2019-01-14,COMERCIAL,938,735
4674,2019-01-11,COMERCIAL,951,312
4680,2019-01-01,COMERCIAL,731,414
4691,2019-01-19,COMERCIAL,740,572
4700,2019-01-12,COMERCIAL,3114,216
4725,2019-01-16,COMERCIAL,878,735
4734,2019-01-03,COMERCIAL,1350,312
4744,2019-01-29,COMERCIAL,1498,420
4755,2019-01-08,COMERCIAL,758,571
4760,2019-01-24,COMERCIAL,2953,216
4785,2019-01-21,COMERCIAL,774,735
4786,2019-01-30,COMERCIAL,722,451
4800,2019-01-27,COMERCIAL,1015,414
4804,2019-01-15,COMERCIAL,918,420
4808,2019-01-11,COMERCIAL,773,225
4820,2019-01-02,COMERCIAL,3592,216
4845,2019-01-31,COMERCIAL,829,735
4849,2019-01-08,COMERCIAL,1807,514
4854,2019-01-15,COMERCIAL,760,312
4880,2019-01-17,COMERCIAL,2366,216
4890,2019-01-02,COMERCIAL,862,173
4899,2019-02-18,COMERCIAL,1010,342
4905,2019-01-23,COMERCIAL,3424,735
4925,2019-03-02,COMERCIAL,720,289
4940,2019-01-19,COMERCIAL,2723,216
4950,2019-01-19,COMERCIAL,708,173
4965,2019-01-29,COMERCIAL,743,735
4976,2019-01-09,COMERCIAL,1451,383
4980,2019-01-05,COMERCIAL,741,414
4981,2019-02-17,COMERCIAL,2113,135
4984,2019-01-18,COMERCIAL,1681,420
4995,2019-01-21,COMERCIAL,1406,571
5010,2019-01-18,COMERCIAL,834,173
5015,2019-02-21,COMERCIAL,765,577
5025,2019-01-11,COMERCIAL,958,735
5034,2019-01-14,COMERCIAL,716,312
5036,2019-01-11,COMERCIAL,1510,383
5041,2019-02-10,COMERCIAL,1746,135
5042,2019-01-03,COMERCIAL,1893,151
5059,2019-03-31,COMERCIAL,1795,121
5060,2019-01-18,COMERCIAL,2345,216
5070,2019-01-03,COMERCIAL,892,173
5075,2019-02-14,COMERCIAL,693,577
5085,2019-01-18,COMERCIAL,1012,735
5091,2019-01-24,COMERCIAL,687,359
5096,2019-01-08,COMERCIAL,1447,383
5098,2019-01-21,COMERCIAL,897,252
5101,2019-02-28,COMERCIAL,1368,135
5102,2019-01-26,COMERCIAL,2041,151
5104,2019-01-14,COMERCIAL,1123,58
5120,2019-01-21,COMERCIAL,2548,216
5130,2019-01-17,COMERCIAL,843,173
5145,2019-01-02,COMERCIAL,901,735
5146,2019-01-09,COMERCIAL,669,451
5154,2019-01-17,COMERCIAL,829,312
5156,2019-01-03,COMERCIAL,1488,383
5158,2019-01-05,COMERCIAL,1121,252
5161,2019-02-19,COMERCIAL,1371,135
5162,2019-01-25,COMERCIAL,2304,151
5164,2019-01-25,COMERCIAL,760,58
5175,2019-01-26,COMERCIAL,850,546
5179,2019-03-31,COMERCIAL,1077,345
5195,2019-02-25,COMERCIAL,749,577
5205,2019-01-27,COMERCIAL,1264,735
5211,2019-01-12,COMERCIAL,740,436
5214,2019-01-02,COMERCIAL,950,312
5216,2019-01-07,COMERCIAL,1688,383
5221,2019-02-21,COMERCIAL,1566,135
5222,2019-01-07,COMERCIAL,1633,151
5224,2019-01-08,COMERCIAL,814,58
5239,2019-03-02,COMERCIAL,1704,121
5240,2019-01-04,COMERCIAL,2584,216
5255,2019-02-15,COMERCIAL,763,577
5265,2019-01-24,COMERCIAL,1812,735
5266,2019-01-18,COMERCIAL,875,102
5269,2019-01-12,COMERCIAL,6243,514
5274,2019-01-18,COMERCIAL,693,312
5276,2019-01-02,COMERCIAL,2008,383
5281,2019-02-22,COMERCIAL,1793,135
5282,2019-01-15,COMERCIAL,1736,151
5284,2019-01-27,COMERCIAL,1681,58
5291,2019-01-09,COMERCIAL,689,572
5299,2019-03-14,COMERCIAL,1127,121
5300,2019-01-09,COMERCIAL,2252,216
5310,2019-01-28,COMERCIAL,852,173
5315,2019-02-10,COMERCIAL,875,577
5319,2019-02-22,COMERCIAL,948,342
5325,2019-01-26,COMERCIAL,1630,735
5326,2019-01-21,COMERCIAL,1008,102
5334,2019-01-24,COMERCIAL,757,312
5341,2019-02-18,COMERCIAL,1438,135
5342,2019-01-14,COMERCIAL,1506,151
5355,2019-01-12,COMERCIAL,731,546
5359,2019-03-29,COMERCIAL,1454,121
5375,2019-02-12,COMERCIAL,743,577
5385,2019-01-25,COMERCIAL,1566,735
5401,2019-02-03,COMERCIAL,1867,135
5402,2019-01-30,COMERCIAL,1738,151
5408,2019-01-18,COMERCIAL,725,225
5419,2019-03-30,COMERCIAL,1631,121
5420,2019-01-31,COMERCIAL,2306,216
5430,2019-01-30,COMERCIAL,922,173
5445,2019-01-22,COMERCIAL,751,735
5446,2019-01-15,COMERCIAL,867,102
5456,2019-01-31,COMERCIAL,1429,383
5461,2019-02-07,COMERCIAL,1427,135
5466,2019-01-07,COMERCIAL,805,280
5479,2019-03-28,COMERCIAL,912,121
5480,2019-01-07,COMERCIAL,2000,216
5490,2019-01-11,COMERCIAL,758,173
5505,2019-01-08,COMERCIAL,666,735
5506,2019-01-25,COMERCIAL,897,102
5516,2019-01-28,COMERCIAL,1593,383
5518,2019-01-03,COMERCIAL,2188,123
5521,2019-02-05,COMERCIAL,919,135
5539,2019-03-21,COMERCIAL,1235,121
5550,2019-01-15,COMERCIAL,681,173
5555,2019-02-05,COMERCIAL,699,577
5565,2019-01-10,COMERCIAL,699,735
5566,2019-01-17,COMERCIAL,792,102
5576,2019-01-21,COMERCIAL,1638,383
5578,2019-01-28,COMERCIAL,2205,123
5580,2019-01-31,COMERCIAL,4992,298
5581,2019-02-27,COMERCIAL,1275,135
5582,2019-01-04,COMERCIAL,1940,151
5599,2019-03-01,COMERCIAL,1199,121
5600,2019-01-28,COMERCIAL,2653,216
5610,2019-01-25,COMERCIAL,867,173
5625,2019-01-15,COMERCIAL,686,735
5626,2019-01-23,COMERCIAL,862,102
5631,2019-01-16,COMERCIAL,676,436
5636,2019-01-29,COMERCIAL,1202,383
5638,2019-01-20,COMERCIAL,2073,123
5641,2019-02-16,COMERCIAL,2102,135
5642,2019-01-02,COMERCIAL,1677,151
5659,2019-03-16,COMERCIAL,1528,121
5670,2019-01-22,COMERCIAL,880,173
5675,2019-02-03,COMERCIAL,745,577
5685,2019-01-13,COMERCIAL,1219,735
5686,2019-01-29,COMERCIAL,899,102
5696,2019-01-18,COMERCIAL,1337,383
5698,2019-01-31,COMERCIAL,2171,123
5701,2019-02-13,COMERCIAL,1267,135
5702,2019-01-17,COMERCIAL,1624,151
5714,2019-01-28,COMERCIAL,720,529
5719,2019-03-09,COMERCIAL,1745,121
5720,2019-01-26,COMERCIAL,2282,216
5730,2019-01-08,COMERCIAL,778,173
5735,2019-02-27,COMERCIAL,790,577
5743,2019-01-27,COMERCIAL,5679,483
5746,2019-01-07,COMERCIAL,859,102
5747,2019-01-17,COMERCIAL,734,341
5752,2019-02-05,COMERCIAL,-1,108
5756,2019-01-17,COMERCIAL,1271,383
5758,2019-01-30,COMERCIAL,2162,123
5761,2019-02-26,COMERCIAL,1336,135
5779,2019-03-26,COMERCIAL,1358,121
5780,2019-01-15,COMERCIAL,2043,216
5781,2019-03-10,COMERCIAL,-1,349
5790,2019-01-07,COMERCIAL,672,173
5795,2019-02-24,COMERCIAL,1867,577
5805,2019-01-07,COMERCIAL,969,735
5808,2019-02-15,COMERCIAL,962,351
5812,2019-02-20,COMERCIAL,-1,108
5814,2019-01-04,COMERCIAL,1033,312
5816,2019-01-25,COMERCIAL,1599,383
5818,2019-01-19,COMERCIAL,2227,123
5821,2019-02-15,COMERCIAL,1998,135
5822,2019-01-23,COMERCIAL,1660,151
5830,2019-01-12,COMERCIAL,965,475
5835,2019-01-24,COMERCIAL,3244,571
5839,2019-03-13,COMERCIAL,1292,121
5840,2019-01-14,COMERCIAL,1983,216
5850,2019-01-10,COMERCIAL,845,173
5865,2019-01-12,COMERCIAL,994,735
5866,2019-01-02,COMERCIAL,990,102
5868,2019-02-03,COMERCIAL,823,351
