,FECHA,USO,CONSUMO,ID_CONTADOR
6,2020-11-19,COMERCIAL,1204,1016
52,2020-12-03,COMERCIAL,971,1011
66,2020-11-20,COMERCIAL,1118,1016
82,2020-11-28,COMERCIAL,771,1357
104,2020-11-13,COMERCIAL,655,46
112,2020-12-23,COMERCIAL,803,1011
121,2020-11-28,COMERCIAL,867,1555
126,2020-11-12,COMERCIAL,1324,1016
137,2020-12-06,COMERCIAL,915,256
153,2020-11-20,COMERCIAL,1213,1648
172,2020-12-18,COMERCIAL,1218,1011
210,2020-11-15,COMERCIAL,854,9
232,2020-12-08,COMERCIAL,943,1011
246,2020-11-15,COMERCIAL,727,1016
292,2020-12-13,COMERCIAL,1330,1011
306,2020-11-13,COMERCIAL,936,1016
352,2020-12-15,COMERCIAL,816,1011
374,2020-11-20,COMERCIAL,754,1624
388,2020-11-19,COMERCIAL,819,1382
391,2020-11-13,COMERCIAL,1180,1197
393,2020-11-15,COMERCIAL,1076,1648
412,2020-12-12,COMERCIAL,901,1011
417,2020-11-27,COMERCIAL,1132,1507
449,2020-11-26,COMERCIAL,722,1479
472,2020-12-04,COMERCIAL,850,1011
477,2020-11-19,COMERCIAL,882,1507
483,2020-12-11,COMERCIAL,860,467
532,2020-12-06,COMERCIAL,845,1011
554,2020-11-19,COMERCIAL,718,1624
555,2020-12-03,COMERCIAL,1016,445
565,2020-11-27,COMERCIAL,6947,1227
592,2020-12-07,COMERCIAL,752,1011
625,2020-11-26,COMERCIAL,2144,1227
629,2020-11-25,COMERCIAL,760,1479
749,2020-11-27,COMERCIAL,1116,1479
772,2020-12-05,COMERCIAL,1022,1011
779,2020-12-03,COMERCIAL,830,920
781,2020-11-29,COMERCIAL,-1,1428
783,2020-12-24,COMERCIAL,1438,467
815,2020-11-13,COMERCIAL,763,1508
841,2020-11-13,COMERCIAL,747,1555
854,2020-11-18,COMERCIAL,730,1624
952,2020-12-10,COMERCIAL,813,1011
1012,2020-12-02,COMERCIAL,814,1011
1072,2020-12-19,COMERCIAL,1095,1011
1118,2020-12-10,COMERCIAL,729,131
1124,2020-11-20,COMERCIAL,765,1258
1132,2020-12-14,COMERCIAL,741,1011
1141,2020-11-17,COMERCIAL,664,1555
