,FECHA,USO,CONSUMO,ID_CONTADOR
14,2020-11-10,COMERCIAL,-1,48
48,2020-11-17,COMERCIAL,703,2
61,2020-09-19,COMERCIAL,757,47
74,2020-11-16,COMERCIAL,-1,48
134,2020-11-13,COMERCIAL,-1,48
168,2020-11-14,COMERCIAL,1124,2
190,2020-11-20,COMERCIAL,4926,56
194,2020-11-08,COMERCIAL,-1,48
195,2019-01-10,COMERCIAL,-2,52
200,2021-03-28,COMERCIAL,664,14
228,2020-11-13,COMERCIAL,1574,2
240,2021-05-04,COMERCIAL,1486,56
254,2020-11-05,COMERCIAL,-1,48
288,2020-11-12,COMERCIAL,828,2
301,2020-09-26,COMERCIAL,646,47
358,2019-03-29,COMERCIAL,699,3
360,2021-05-06,COMERCIAL,2174,56
420,2021-05-01,COMERCIAL,785,56
478,2019-03-13,COMERCIAL,636,3
480,2021-04-16,COMERCIAL,939,56
481,2020-10-01,COMERCIAL,865,47
534,2021-07-05,COMERCIAL,1041,28
538,2019-03-15,COMERCIAL,620,3
540,2021-04-15,COMERCIAL,906,56
541,2020-09-22,COMERCIAL,923,47
598,2019-03-08,COMERCIAL,1531,3
660,2021-04-09,COMERCIAL,1176,56
720,2021-04-13,COMERCIAL,3090,56
734,2020-10-08,COMERCIAL,-1,48
793,2020-06-01,COMERCIAL,695,20
840,2021-03-27,COMERCIAL,1082,56
867,2021-09-19,COMERCIAL,624,14
898,2019-03-06,COMERCIAL,682,3
900,2021-03-31,COMERCIAL,1094,56
915,2019-01-30,COMERCIAL,-4,52
958,2019-03-21,COMERCIAL,808,3
960,2021-03-28,COMERCIAL,1079,56
974,2020-10-09,COMERCIAL,-1,48
1018,2019-03-27,COMERCIAL,1199,3
1020,2021-03-30,COMERCIAL,845,56
1028,2020-09-13,COMERCIAL,-1,40
1080,2021-05-10,COMERCIAL,1908,56
1094,2020-10-05,COMERCIAL,-1,48
1095,2019-01-28,COMERCIAL,-4,52
1107,2021-08-06,COMERCIAL,726,14
1140,2021-05-08,COMERCIAL,1511,56
1160,2021-04-25,COMERCIAL,852,14
