,FECHA,USO,CONSUMO,ID_CONTADOR
20,2019-02-24,COMERCIAL,631,351
30,2019-01-06,COMERCIAL,686,525
44,2019-01-06,COMERCIAL,3107,631
80,2019-02-06,COMERCIAL,1048,351
86,2019-03-21,COMERCIAL,858,344
100,2019-02-03,COMERCIAL,2643,901
104,2019-01-01,COMERCIAL,810,631
112,2019-01-15,COMERCIAL,722,890
122,2019-02-19,COMERCIAL,687,412
142,2019-01-27,COMERCIAL,740,907
164,2019-01-20,COMERCIAL,2373,631
210,2019-01-20,COMERCIAL,714,525
211,2019-02-03,COMERCIAL,710,316
234,2019-02-05,COMERCIAL,778,818
242,2019-02-04,COMERCIAL,884,412
275,2019-01-01,COMERCIAL,793,692
296,2019-02-05,COMERCIAL,868,621
298,2019-01-01,COMERCIAL,1288,568
299,2019-01-01,COMERCIAL,1627,512
330,2019-01-02,COMERCIAL,959,525
362,2019-02-26,COMERCIAL,690,412
370,2019-02-17,COMERCIAL,711,921
380,2019-02-03,COMERCIAL,611,351
386,2019-03-09,COMERCIAL,673,682
391,2019-02-10,COMERCIAL,654,316
392,2019-03-21,COMERCIAL,1023,395
400,2019-02-24,COMERCIAL,1938,901
404,2019-01-13,COMERCIAL,2846,631
420,2019-01-02,COMERCIAL,664,846
442,2019-01-20,COMERCIAL,901,907
474,2019-02-27,COMERCIAL,613,818
500,2019-02-10,COMERCIAL,860,351
504,2019-02-27,COMERCIAL,668,635
508,2019-01-06,COMERCIAL,646,444
524,2019-01-09,COMERCIAL,1836,631
529,2019-01-09,COMERCIAL,886,424
534,2019-02-04,COMERCIAL,994,818
576,2019-02-06,COMERCIAL,1086,779
599,2019-01-20,COMERCIAL,3088,512
620,2019-02-27,COMERCIAL,1163,351
630,2019-01-13,COMERCIAL,712,525
639,2019-02-27,COMERCIAL,1271,773
640,2019-02-21,COMERCIAL,955,901
662,2019-02-03,COMERCIAL,886,811
687,2019-01-30,COMERCIAL,1351,927
721,2019-02-12,COMERCIAL,820,379
740,2019-02-27,COMERCIAL,1114,474
778,2019-01-14,COMERCIAL,1318,401
790,2019-02-11,COMERCIAL,764,758
810,2019-01-15,COMERCIAL,920,525
820,2019-02-17,COMERCIAL,1298,901
825,2019-02-04,COMERCIAL,671,324
