,FECHA,USO,CONSUMO,ID_CONTADOR
6,2019-02-06,COMERCIAL,2066,194
34,2019-01-14,COMERCIAL,769,235
41,2019-11-25,COMERCIAL,2255,344
55,2019-02-04,COMERCIAL,1400,177
59,2019-01-07,COMERCIAL,2417,122
65,2019-02-11,COMERCIAL,1504,127
66,2019-02-21,COMERCIAL,2331,194
110,2019-02-20,COMERCIAL,637,225
115,2019-02-06,COMERCIAL,1211,177
117,2019-03-27,COMERCIAL,765,197
119,2019-01-03,COMERCIAL,1318,122
125,2019-02-18,COMERCIAL,769,127
126,2019-02-12,COMERCIAL,1939,194
151,2019-02-04,COMERCIAL,1075,233
154,2019-01-09,COMERCIAL,801,235
161,2019-11-29,COMERCIAL,2209,344
165,2019-01-02,COMERCIAL,901,230
175,2019-02-12,COMERCIAL,1326,177
179,2019-01-31,COMERCIAL,2100,122
186,2019-02-20,COMERCIAL,2155,194
187,2019-01-15,COMERCIAL,601,246
207,2019-02-12,COMERCIAL,1393,231
211,2019-02-27,COMERCIAL,1790,121
216,2019-01-07,COMERCIAL,1181,236
223,2019-01-03,COMERCIAL,2492,128
235,2019-02-11,COMERCIAL,1387,177
239,2019-01-08,COMERCIAL,2035,122
246,2019-02-07,COMERCIAL,2312,194
249,2019-02-12,COMERCIAL,3082,251
263,2019-01-13,COMERCIAL,2526,182
274,2019-01-15,COMERCIAL,867,235
285,2019-01-09,COMERCIAL,1010,230
290,2019-02-27,COMERCIAL,592,225
295,2019-02-05,COMERCIAL,1229,177
299,2019-01-09,COMERCIAL,2332,122
305,2019-02-07,COMERCIAL,693,127
306,2019-02-26,COMERCIAL,2169,194
307,2019-01-09,COMERCIAL,805,246
313,2019-01-22,COMERCIAL,615,119
327,2019-02-19,COMERCIAL,1437,231
331,2019-02-27,COMERCIAL,1054,233
345,2019-01-07,COMERCIAL,938,230
349,2019-01-22,COMERCIAL,1131,129
359,2019-01-10,COMERCIAL,1949,122
365,2019-02-19,COMERCIAL,673,127
366,2019-02-28,COMERCIAL,2270,194
368,2019-01-10,COMERCIAL,1458,136
369,2019-02-19,COMERCIAL,2603,251
391,2019-02-11,COMERCIAL,1100,233
394,2019-01-07,COMERCIAL,738,235
409,2019-01-22,COMERCIAL,598,145
410,2019-02-02,COMERCIAL,1053,198
415,2019-02-07,COMERCIAL,1465,177
419,2019-01-21,COMERCIAL,2650,122
425,2019-02-28,COMERCIAL,624,127
426,2019-02-27,COMERCIAL,2416,194
436,2019-03-14,COMERCIAL,1387,209
450,2019-03-07,COMERCIAL,601,112
451,2019-02-19,COMERCIAL,1050,233
465,2019-01-03,COMERCIAL,864,230
475,2019-02-01,COMERCIAL,1265,177
485,2019-02-26,COMERCIAL,4845,127
507,2019-02-05,COMERCIAL,1710,231
508,2019-08-06,COMERCIAL,-1,201
514,2019-01-16,COMERCIAL,899,235
535,2019-02-08,COMERCIAL,1482,177
539,2019-01-24,COMERCIAL,2170,122
546,2019-02-18,COMERCIAL,1969,194
549,2019-02-06,COMERCIAL,1864,251
574,2019-01-22,COMERCIAL,904,235
585,2019-01-17,COMERCIAL,1084,230
599,2019-01-14,COMERCIAL,2269,122
605,2019-02-20,COMERCIAL,1068,127
606,2019-02-14,COMERCIAL,2705,194
631,2019-02-06,COMERCIAL,994,233
659,2019-01-16,COMERCIAL,1839,122
666,2019-02-13,COMERCIAL,2038,194
676,2019-03-04,COMERCIAL,1041,209
687,2019-02-06,COMERCIAL,1477,231
691,2019-02-06,COMERCIAL,834,121
703,2019-01-02,COMERCIAL,2418,128
705,2019-01-22,COMERCIAL,967,230
717,2019-03-18,COMERCIAL,675,197
719,2019-01-04,COMERCIAL,988,122
726,2019-02-25,COMERCIAL,1962,194
731,2019-02-27,COMERCIAL,865,150
754,2019-01-03,COMERCIAL,609,235
769,2019-01-15,COMERCIAL,931,129
770,2019-02-06,COMERCIAL,591,225
779,2019-01-26,COMERCIAL,12820,122
785,2019-02-13,COMERCIAL,807,127
786,2019-02-02,COMERCIAL,933,194
811,2019-02-18,COMERCIAL,1077,233
814,2019-01-02,COMERCIAL,690,235
825,2019-01-10,COMERCIAL,951,230
839,2019-01-18,COMERCIAL,1387,122
845,2019-02-22,COMERCIAL,852,127
846,2019-02-23,COMERCIAL,659,194
849,2019-02-04,COMERCIAL,1410,251
867,2019-02-11,COMERCIAL,1568,231
873,2019-02-28,COMERCIAL,891,65
885,2019-01-15,COMERCIAL,1084,230
889,2019-01-07,COMERCIAL,913,129
899,2019-01-11,COMERCIAL,1698,122
906,2019-02-04,COMERCIAL,2161,194
913,2019-01-17,COMERCIAL,683,119
930,2019-03-04,COMERCIAL,707,112
931,2019-02-05,COMERCIAL,966,121
934,2019-01-10,COMERCIAL,781,235
966,2019-02-09,COMERCIAL,741,194
967,2019-01-10,COMERCIAL,626,246
973,2019-01-07,COMERCIAL,599,119
987,2019-02-13,COMERCIAL,1341,231
994,2019-01-29,COMERCIAL,874,235
1005,2019-01-28,COMERCIAL,1080,230
1009,2019-01-28,COMERCIAL,1147,145
1015,2019-02-21,COMERCIAL,1146,177
1026,2019-02-16,COMERCIAL,752,194
1029,2019-02-28,COMERCIAL,3954,251
1065,2019-01-04,COMERCIAL,626,230
1075,2019-02-19,COMERCIAL,7409,177
1086,2019-02-01,COMERCIAL,2295,194
1089,2019-02-20,COMERCIAL,1694,251
1093,2019-01-08,COMERCIAL,583,119
1111,2019-02-20,COMERCIAL,1354,121
1129,2019-01-30,COMERCIAL,1260,145
1135,2019-02-15,COMERCIAL,1589,177
1141,2019-01-07,COMERCIAL,717,47
1146,2019-02-15,COMERCIAL,2125,194
1156,2019-03-02,COMERCIAL,716,172
1157,2019-02-12,COMERCIAL,1049,69
1165,2019-02-25,COMERCIAL,899,214
1166,2019-01-22,COMERCIAL,684,158
1167,2019-02-27,COMERCIAL,1370,231
1174,2019-01-30,COMERCIAL,751,235
1189,2019-01-31,COMERCIAL,1147,145
1195,2019-02-25,COMERCIAL,1063,177
1199,2019-01-25,COMERCIAL,3337,122
1206,2019-02-22,COMERCIAL,2267,194
1213,2019-01-21,COMERCIAL,707,119
1216,2019-03-13,COMERCIAL,602,249
1231,2019-02-07,COMERCIAL,1078,121
1232,2019-02-04,COMERCIAL,1214,61
1234,2019-01-28,COMERCIAL,910,235
1245,2019-01-21,COMERCIAL,1079,230
1249,2019-01-23,COMERCIAL,1042,129
1250,2019-02-18,COMERCIAL,877,62
1255,2019-02-22,COMERCIAL,1324,177
1256,2020-05-01,COMERCIAL,957,40
1259,2019-01-29,COMERCIAL,3112,122
1292,2019-02-08,COMERCIAL,1301,61
1301,2019-11-21,COMERCIAL,2254,344
1310,2019-02-19,COMERCIAL,994,62
1319,2019-01-17,COMERCIAL,1939,122
1326,2019-02-28,COMERCIAL,876,63
1327,2019-01-17,COMERCIAL,938,246
1352,2019-02-01,COMERCIAL,4419,61
1361,2019-11-26,COMERCIAL,2466,344
1365,2019-01-08,COMERCIAL,1054,230
1369,2019-01-29,COMERCIAL,1337,145
1370,2019-02-20,COMERCIAL,944,62
1375,2019-02-27,COMERCIAL,1421,177
1379,2019-01-02,COMERCIAL,1496,122
1393,2019-01-29,COMERCIAL,589,119
1396,2019-03-18,COMERCIAL,1406,209
1407,2019-02-26,COMERCIAL,1361,231
1411,2019-02-28,COMERCIAL,1061,121
1412,2019-02-06,COMERCIAL,1788,61
1414,2019-01-17,COMERCIAL,901,235
1421,2019-11-30,COMERCIAL,2193,344
1423,2019-01-10,COMERCIAL,2897,128
1431,2019-01-04,COMERCIAL,794,183
1435,2019-02-20,COMERCIAL,1303,177
1441,2019-01-16,COMERCIAL,1521,167
1446,2019-02-20,COMERCIAL,995,63
1449,2019-02-18,COMERCIAL,3250,251
1456,2019-03-18,COMERCIAL,626,249
1470,2019-03-11,COMERCIAL,800,112
1471,2019-02-28,COMERCIAL,981,233
1472,2019-02-27,COMERCIAL,1118,61
1481,2019-11-28,COMERCIAL,2301,344
1485,2019-01-31,COMERCIAL,1258,230
