,FECHA,USO,CONSUMO,ID_CONTADOR
26,2019-10-22,COMERCIAL,1255,21
39,2021-11-11,COMERCIAL,641,86
74,2019-10-24,COMERCIAL,1199,21
122,2019-10-01,COMERCIAL,1088,21
129,2021-06-30,COMERCIAL,1495,13
167,2021-10-01,COMERCIAL,653,22
170,2019-10-30,COMERCIAL,1130,21
214,2021-10-22,COMERCIAL,717,25
215,2021-10-02,COMERCIAL,628,22
218,2019-10-11,COMERCIAL,1104,21
225,2021-07-01,COMERCIAL,6520,13
237,2021-12-01,COMERCIAL,988,44
257,2019-10-16,COMERCIAL,659,20
262,2021-10-23,COMERCIAL,685,25
285,2021-12-02,COMERCIAL,706,44
310,2021-10-28,COMERCIAL,845,25
362,2019-10-31,COMERCIAL,1117,21
410,2019-10-08,COMERCIAL,1762,21
458,2019-10-25,COMERCIAL,1029,21
502,2021-10-14,COMERCIAL,817,25
506,2019-10-14,COMERCIAL,1083,21
548,2021-07-20,COMERCIAL,582,15
554,2019-10-02,COMERCIAL,1115,21
596,2021-07-15,COMERCIAL,880,15
598,2021-10-09,COMERCIAL,573,25
602,2019-10-07,COMERCIAL,1154,21
621,2021-12-07,COMERCIAL,922,47
644,2021-07-16,COMERCIAL,706,15
645,2021-11-29,COMERCIAL,1486,89
646,2021-10-13,COMERCIAL,896,25
647,2021-11-12,COMERCIAL,690,22
650,2019-10-17,COMERCIAL,1190,21
663,2021-11-22,COMERCIAL,610,86
678,2021-11-15,COMERCIAL,3193,37
692,2021-07-17,COMERCIAL,687,15
694,2021-11-19,COMERCIAL,614,25
695,2021-11-13,COMERCIAL,752,22
698,2019-10-21,COMERCIAL,1321,21
711,2021-11-26,COMERCIAL,931,71
740,2021-07-18,COMERCIAL,572,15
743,2021-12-09,COMERCIAL,739,22
765,2021-12-04,COMERCIAL,775,47
788,2021-07-19,COMERCIAL,645,15
791,2021-12-10,COMERCIAL,639,22
813,2021-12-02,COMERCIAL,705,47
836,2021-07-21,COMERCIAL,597,15
838,2021-11-17,COMERCIAL,722,25
839,2021-12-11,COMERCIAL,698,22
889,2019-10-18,COMERCIAL,883,21
902,2021-11-22,COMERCIAL,1119,71
907,2021-11-22,COMERCIAL,626,44
933,2021-12-14,COMERCIAL,642,22
983,2019-10-04,COMERCIAL,1214,21
995,2021-11-29,COMERCIAL,726,71
1025,2021-09-24,COMERCIAL,883,22
1027,2019-10-03,COMERCIAL,1148,21
1044,2021-11-23,COMERCIAL,1365,44
1068,2021-12-01,COMERCIAL,699,25
1069,2021-09-25,COMERCIAL,652,22
1074,2021-11-15,COMERCIAL,640,26
1097,2021-11-12,COMERCIAL,1918,37
1111,2021-11-30,COMERCIAL,5858,89
1132,2021-11-24,COMERCIAL,1173,44
1141,2021-11-13,COMERCIAL,8658,37
1149,2021-11-23,COMERCIAL,578,1
1156,2021-12-03,COMERCIAL,867,25
1157,2021-10-29,COMERCIAL,1128,22
1159,2019-10-28,COMERCIAL,1290,21
1176,2021-11-25,COMERCIAL,629,44
1184,2021-11-14,COMERCIAL,8859,37
1200,2021-10-30,COMERCIAL,786,22
1202,2019-10-15,COMERCIAL,1338,21
1220,2021-11-29,COMERCIAL,982,61
1234,2021-11-24,COMERCIAL,640,1
1242,2021-10-22,COMERCIAL,672,22
1244,2019-10-29,COMERCIAL,1102,21
1283,2021-10-23,COMERCIAL,646,22
1285,2019-10-09,COMERCIAL,1228,21
1295,2021-11-11,COMERCIAL,2249,71
1326,2019-10-10,COMERCIAL,1112,21
1355,2021-11-26,COMERCIAL,759,1
1365,2019-10-16,COMERCIAL,1157,21
1379,2021-11-29,COMERCIAL,821,44
1399,2021-12-01,COMERCIAL,581,83
1403,2019-11-20,COMERCIAL,1026,21
1417,2021-11-30,COMERCIAL,958,44
1472,2021-12-04,COMERCIAL,620,55
1476,2021-10-08,COMERCIAL,745,22
1477,2019-12-11,COMERCIAL,1277,21
1487,2021-11-12,COMERCIAL,2722,71
1511,2021-11-05,COMERCIAL,671,25
1512,2021-10-09,COMERCIAL,752,22
1513,2019-12-02,COMERCIAL,1270,21
1546,2021-12-01,COMERCIAL,3369,89
1549,2019-12-09,COMERCIAL,1440,21
1562,2021-11-22,COMERCIAL,914,47
1574,2021-11-26,COMERCIAL,883,45
1582,2021-09-23,COMERCIAL,602,25
1584,2019-12-12,COMERCIAL,1335,21
1597,2021-11-23,COMERCIAL,970,47
1609,2021-11-30,COMERCIAL,2604,45
1617,2021-09-24,COMERCIAL,648,25
1619,2019-12-04,COMERCIAL,1378,21
1632,2021-11-24,COMERCIAL,1342,47
1654,2019-12-17,COMERCIAL,1378,21
1664,2021-12-13,COMERCIAL,683,86
1702,2021-11-26,COMERCIAL,1047,47
1724,2019-12-05,COMERCIAL,1218,21
1756,2021-11-15,COMERCIAL,700,89
1769,2021-12-13,COMERCIAL,670,71
1793,2021-11-19,COMERCIAL,778,22
1807,2021-11-29,COMERCIAL,2075,47
1821,2021-11-29,COMERCIAL,588,1
1826,2021-11-19,COMERCIAL,613,89
1828,2021-11-20,COMERCIAL,651,22
1839,2021-12-14,COMERCIAL,1123,71
1861,2021-11-18,COMERCIAL,617,89
1863,2021-11-05,COMERCIAL,646,22
1888,2021-11-29,COMERCIAL,2423,45
1895,2021-11-17,COMERCIAL,615,89
1910,2021-11-11,COMERCIAL,632,44
1922,2021-11-25,COMERCIAL,1268,45
1928,2021-07-13,COMERCIAL,1004,15
1934,2021-11-22,COMERCIAL,-1,53
1956,2021-11-22,COMERCIAL,1586,45
1962,2021-07-14,COMERCIAL,919,15
1990,2021-11-23,COMERCIAL,2228,45
2024,2021-11-24,COMERCIAL,1843,45
2030,2021-07-26,COMERCIAL,583,15
2033,2021-11-06,COMERCIAL,659,22
2046,2021-11-13,COMERCIAL,800,47
2058,2021-11-27,COMERCIAL,1565,45
2067,2021-10-15,COMERCIAL,761,22
2077,2021-11-15,COMERCIAL,587,86
2092,2021-11-28,COMERCIAL,3183,45
2101,2021-10-16,COMERCIAL,834,22
2111,2021-11-16,COMERCIAL,616,86
2114,2021-11-12,COMERCIAL,951,47
2162,2021-08-02,COMERCIAL,1087,31
2180,2021-12-09,COMERCIAL,583,44
2198,2021-07-12,COMERCIAL,818,15
2202,2019-12-10,COMERCIAL,1504,21
2209,2021-11-18,COMERCIAL,801,86
2233,2019-12-03,COMERCIAL,1544,21
2243,2021-12-13,COMERCIAL,985,44
2264,2019-12-16,COMERCIAL,1504,21
2274,2021-12-14,COMERCIAL,856,44
2285,2021-12-09,COMERCIAL,773,45
2293,2021-12-09,COMERCIAL,687,25
2295,2019-12-18,COMERCIAL,1335,21
2317,2021-11-12,COMERCIAL,846,1
2323,2021-12-10,COMERCIAL,686,25
2325,2019-12-19,COMERCIAL,1534,21
2327,2021-11-15,COMERCIAL,-1,53
2354,2021-11-26,COMERCIAL,890,22
2361,2021-11-15,COMERCIAL,880,71
2384,2021-11-27,COMERCIAL,756,22
2385,2020-02-10,COMERCIAL,960,21
2405,2021-12-14,COMERCIAL,716,45
2415,2020-02-24,COMERCIAL,1214,21
2421,2021-11-18,COMERCIAL,2489,71
2435,2021-12-13,COMERCIAL,687,45
2443,2021-10-29,COMERCIAL,656,25
2445,2020-02-14,COMERCIAL,1016,21
2451,2021-11-17,COMERCIAL,592,71
2465,2021-12-10,COMERCIAL,698,45
2467,2021-12-07,COMERCIAL,606,1
2481,2021-12-03,COMERCIAL,575,71
2502,2021-12-09,COMERCIAL,569,83
2503,2021-10-19,COMERCIAL,899,25
2505,2020-02-12,COMERCIAL,1025,21
2525,2021-12-12,COMERCIAL,657,45
2535,2020-02-17,COMERCIAL,1229,21
2564,2021-12-03,COMERCIAL,671,22
2565,2020-02-26,COMERCIAL,1292,21
2592,2021-10-16,COMERCIAL,588,25
2594,2020-02-25,COMERCIAL,1322,21
2622,2020-02-11,COMERCIAL,1092,21
2631,2021-12-13,COMERCIAL,735,47
2677,2020-02-18,COMERCIAL,1307,21
2704,2020-02-07,COMERCIAL,954,21
2740,2021-11-15,COMERCIAL,689,44
2785,2020-02-13,COMERCIAL,1107,21
2791,2021-12-02,COMERCIAL,772,86
2812,2020-02-19,COMERCIAL,1030,21
2821,2021-11-16,COMERCIAL,1068,44
2838,2021-11-11,COMERCIAL,665,25
2839,2020-02-27,COMERCIAL,1447,21
2872,2021-12-02,COMERCIAL,996,71
2875,2021-11-17,COMERCIAL,899,44
2899,2021-12-03,COMERCIAL,634,86
2902,2021-11-18,COMERCIAL,855,44
2920,2020-02-05,COMERCIAL,1285,21
