,FECHA,USO,CONSUMO,ID_CONTADOR
34,2021-06-16,COMERCIAL,778,81
43,2021-06-19,COMERCIAL,824,325
44,2021-02-05,COMERCIAL,5621,23
94,2021-06-17,COMERCIAL,732,81
104,2021-02-16,COMERCIAL,3990,23
121,2021-06-20,COMERCIAL,896,15
164,2021-03-22,COMERCIAL,816,23
203,2021-06-17,COMERCIAL,869,934
224,2021-03-21,COMERCIAL,1747,23
241,2021-06-21,COMERCIAL,757,15
284,2021-03-17,COMERCIAL,1517,23
291,2021-06-11,COMERCIAL,2475,663
344,2021-04-18,COMERCIAL,2042,23
355,2021-06-30,COMERCIAL,1001,925
357,2021-06-21,COMERCIAL,749,406
361,2021-06-22,COMERCIAL,1115,15
382,2021-06-18,COMERCIAL,841,561
404,2021-04-13,COMERCIAL,3882,23
405,2021-06-26,COMERCIAL,1058,654
411,2021-06-10,COMERCIAL,2623,663
481,2021-06-23,COMERCIAL,964,15
533,2021-06-27,COMERCIAL,1013,63
541,2021-06-18,COMERCIAL,918,386
585,2021-06-27,COMERCIAL,945,654
591,2021-06-14,COMERCIAL,3036,663
669,2021-06-20,COMERCIAL,2118,864
781,2021-06-20,COMERCIAL,2084,420
811,2021-06-30,COMERCIAL,1100,192
907,2021-06-29,COMERCIAL,1206,121
922,2021-06-22,COMERCIAL,980,561
931,2021-06-30,COMERCIAL,844,97
945,2021-06-25,COMERCIAL,926,654
973,2021-06-29,COMERCIAL,829,860
996,2021-06-24,COMERCIAL,8303,998
998,2021-06-28,COMERCIAL,793,78
1006,2021-06-10,COMERCIAL,4409,779
1033,2021-06-26,COMERCIAL,1679,298
1039,2021-07-30,COMERCIAL,859,617
1051,2021-06-29,COMERCIAL,738,853
1058,2021-06-29,COMERCIAL,826,78
1067,2021-06-17,COMERCIAL,680,1105
1081,2021-06-22,COMERCIAL,844,386
1087,2021-06-30,COMERCIAL,1013,121
1111,2021-06-30,COMERCIAL,673,853
1182,2021-06-30,COMERCIAL,7451,221
1193,2021-06-28,COMERCIAL,1592,63
1244,2021-06-29,COMERCIAL,999,624
1247,2021-06-19,COMERCIAL,866,22
1251,2021-06-30,COMERCIAL,671,191
1261,2021-06-23,COMERCIAL,726,169
1302,2021-06-29,COMERCIAL,1210,887
1317,2021-06-30,COMERCIAL,689,406
1352,2021-06-30,COMERCIAL,1386,49
1362,2021-06-28,COMERCIAL,956,887
1381,2021-06-28,COMERCIAL,752,15
1396,2021-06-28,COMERCIAL,-239,832
1431,2021-06-29,COMERCIAL,1074,663
1440,2021-06-28,COMERCIAL,1032,701
