,FECHA,USO,CONSUMO,ID_CONTADOR
7,2021-09-11,COMERCIAL,2066,22
10,2020-09-11,COMERCIAL,2395,22
12,2020-09-13,COMERCIAL,4829,16
19,2020-09-14,COMERCIAL,719,9
27,2020-09-10,COMERCIAL,1022,8
36,2020-10-23,COMERCIAL,1386,13
37,2019-12-07,COMERCIAL,724,12
63,2019-12-26,COMERCIAL,1307,22
67,2021-09-08,COMERCIAL,700,22
79,2020-03-04,COMERCIAL,888,9
96,2020-10-17,COMERCIAL,1670,13
123,2019-12-29,COMERCIAL,1904,22
127,2021-10-09,COMERCIAL,1529,22
139,2020-03-12,COMERCIAL,761,9
145,2020-09-12,COMERCIAL,1490,9
150,2020-09-01,COMERCIAL,1230,13
154,2021-06-22,COMERCIAL,702,13
157,2019-02-02,COMERCIAL,976,12
183,2019-12-24,COMERCIAL,741,22
186,2021-11-08,COMERCIAL,5528,18
187,2021-10-08,COMERCIAL,1173,22
210,2020-09-04,COMERCIAL,1174,13
228,2020-09-04,COMERCIAL,838,18
243,2019-12-19,COMERCIAL,846,22
248,2020-09-25,COMERCIAL,1058,12
259,2020-03-02,COMERCIAL,1053,9
270,2020-09-05,COMERCIAL,999,13
274,2021-06-17,COMERCIAL,1438,13
276,2020-10-24,COMERCIAL,1777,13
288,2020-09-05,COMERCIAL,725,18
303,2019-12-21,COMERCIAL,2740,22
306,2021-11-13,COMERCIAL,720,18
308,2020-09-27,COMERCIAL,887,12
320,2021-06-22,COMERCIAL,693,28
337,2019-02-16,COMERCIAL,833,12
367,2021-10-12,COMERCIAL,1760,22
371,2020-09-14,COMERCIAL,4420,16
394,2021-06-19,COMERCIAL,1524,13
397,2019-02-23,COMERCIAL,802,12
423,2019-12-28,COMERCIAL,2123,22
427,2021-10-10,COMERCIAL,1684,22
431,2020-09-13,COMERCIAL,695,13
439,2020-03-11,COMERCIAL,772,9
450,2020-08-08,COMERCIAL,1638,13
483,2019-12-27,COMERCIAL,1310,22
486,2021-11-10,COMERCIAL,715,18
488,2020-09-20,COMERCIAL,837,12
499,2020-03-13,COMERCIAL,893,9
543,2019-12-20,COMERCIAL,755,22
547,2021-09-03,COMERCIAL,1570,22
574,2021-07-16,COMERCIAL,1063,13
604,2021-05-15,COMERCIAL,710,18
619,2020-03-06,COMERCIAL,894,9
634,2021-07-02,COMERCIAL,843,13
636,2020-10-22,COMERCIAL,988,13
663,2020-07-18,COMERCIAL,1141,22
667,2021-09-04,COMERCIAL,1870,22
701,2021-12-13,COMERCIAL,2782,12
708,2020-08-24,COMERCIAL,1003,18
723,2020-07-17,COMERCIAL,1242,22
727,2021-09-02,COMERCIAL,1010,22
743,2020-06-20,COMERCIAL,3867,35
761,2021-12-12,COMERCIAL,2481,12
768,2020-08-26,COMERCIAL,1754,18
783,2020-07-16,COMERCIAL,1050,22
784,2021-05-11,COMERCIAL,812,18
803,2020-06-22,COMERCIAL,1205,35
814,2021-07-17,COMERCIAL,1416,13
821,2021-12-11,COMERCIAL,4342,12
828,2020-08-07,COMERCIAL,941,18
843,2020-07-19,COMERCIAL,1430,22
847,2021-09-05,COMERCIAL,1841,22
863,2020-06-21,COMERCIAL,3704,35
