,FECHA,USO,CONSUMO,ID_CONTADOR
11,2019-02-06,COMERCIAL,1163,521
50,2019-01-12,COMERCIAL,1352,400
96,2019-02-03,COMERCIAL,731,430
132,2019-01-01,COMERCIAL,1776,507
149,2019-01-09,COMERCIAL,902,558
197,2019-02-17,COMERCIAL,1745,500
208,2019-02-13,COMERCIAL,621,486
235,2019-02-16,COMERCIAL,858,160
260,2019-03-14,COMERCIAL,712,171
264,2019-03-03,COMERCIAL,1462,426
268,2019-02-09,COMERCIAL,813,486
271,2019-01-14,COMERCIAL,1463,398
281,2019-01-10,COMERCIAL,743,401
290,2019-01-07,COMERCIAL,1409,400
295,2019-02-13,COMERCIAL,646,160
317,2019-02-15,COMERCIAL,848,500
355,2019-02-26,COMERCIAL,682,160
386,2019-01-30,COMERCIAL,1020,384
388,2019-02-21,COMERCIAL,797,486
391,2019-01-09,COMERCIAL,1521,398
401,2019-01-14,COMERCIAL,647,401
410,2019-01-10,COMERCIAL,1238,400
415,2019-02-10,COMERCIAL,732,160
440,2019-03-12,COMERCIAL,1120,171
448,2019-02-02,COMERCIAL,649,486
450,2019-03-02,COMERCIAL,814,605
475,2019-02-07,COMERCIAL,808,160
500,2019-03-26,COMERCIAL,901,171
504,2019-03-04,COMERCIAL,1049,426
564,2019-03-18,COMERCIAL,2452,426
587,2019-06-17,COMERCIAL,801,647
595,2019-02-27,COMERCIAL,622,160
617,2019-02-08,COMERCIAL,828,500
644,2019-01-15,COMERCIAL,882,408
647,2019-06-09,COMERCIAL,1311,647
655,2019-02-14,COMERCIAL,661,160
677,2019-02-11,COMERCIAL,637,500
691,2019-01-21,COMERCIAL,2985,398
710,2019-01-04,COMERCIAL,2074,400
715,2019-02-28,COMERCIAL,746,160
737,2019-02-10,COMERCIAL,622,500
759,2019-03-12,COMERCIAL,976,413
763,2019-01-17,COMERCIAL,801,180
770,2019-01-21,COMERCIAL,3492,400
775,2019-02-15,COMERCIAL,639,160
797,2019-02-09,COMERCIAL,788,500
804,2019-03-25,COMERCIAL,857,426
824,2019-01-22,COMERCIAL,705,408
830,2019-01-24,COMERCIAL,3353,400
835,2019-02-20,COMERCIAL,618,160
860,2019-03-08,COMERCIAL,6446,171
871,2019-01-31,COMERCIAL,787,398
879,2019-03-02,COMERCIAL,1336,560
890,2019-01-14,COMERCIAL,1119,400
895,2019-02-08,COMERCIAL,634,160
917,2019-02-18,COMERCIAL,1049,500
920,2019-03-07,COMERCIAL,1145,171
928,2019-02-10,COMERCIAL,650,410
950,2019-01-25,COMERCIAL,2407,400
955,2019-02-19,COMERCIAL,621,160
971,2019-02-07,COMERCIAL,881,521
991,2019-01-04,COMERCIAL,1531,398
992,2019-01-07,COMERCIAL,1150,390
1010,2019-01-22,COMERCIAL,2170,400
1015,2019-02-21,COMERCIAL,800,160
1050,2019-03-23,COMERCIAL,698,605
1052,2019-01-09,COMERCIAL,1292,390
1056,2019-02-19,COMERCIAL,643,562
1070,2019-01-29,COMERCIAL,2069,400
1075,2019-02-23,COMERCIAL,879,160
1083,2019-02-26,COMERCIAL,1299,467
1104,2019-03-31,COMERCIAL,1598,426
1112,2019-01-30,COMERCIAL,769,390
1130,2019-01-16,COMERCIAL,2000,400
1135,2019-02-06,COMERCIAL,721,160
1164,2019-03-13,COMERCIAL,1145,426
1172,2019-01-03,COMERCIAL,740,390
1181,2019-01-12,COMERCIAL,846,393
1190,2019-01-30,COMERCIAL,1683,400
1195,2019-02-02,COMERCIAL,741,160
1203,2019-02-27,COMERCIAL,1178,467
1220,2019-03-09,COMERCIAL,670,171
1224,2019-03-02,COMERCIAL,2021,426
1232,2019-01-21,COMERCIAL,673,390
1247,2019-06-29,COMERCIAL,1164,647
1250,2019-01-17,COMERCIAL,2101,400
1251,2019-03-16,COMERCIAL,710,458
1263,2019-02-06,COMERCIAL,1163,467
1271,2019-02-22,COMERCIAL,820,521
1280,2019-03-19,COMERCIAL,7165,455
1284,2019-03-16,COMERCIAL,2045,426
1285,2019-01-19,COMERCIAL,831,564
1292,2019-01-29,COMERCIAL,640,390
1307,2019-06-26,COMERCIAL,678,647
1310,2019-01-31,COMERCIAL,1493,400
1311,2019-03-11,COMERCIAL,1162,458
1315,2019-02-12,COMERCIAL,646,160
1340,2019-03-10,COMERCIAL,6923,455
1344,2019-03-09,COMERCIAL,1764,426
1345,2019-01-18,COMERCIAL,747,564
1352,2019-01-17,COMERCIAL,1020,390
1356,2019-02-02,COMERCIAL,713,562
1367,2019-06-21,COMERCIAL,891,647
1370,2019-01-23,COMERCIAL,2170,400
1371,2019-03-25,COMERCIAL,1024,458
1375,2019-02-03,COMERCIAL,819,160
1383,2019-02-19,COMERCIAL,1222,467
1400,2019-03-11,COMERCIAL,7192,455
1404,2019-03-30,COMERCIAL,1635,426
1412,2019-01-22,COMERCIAL,1140,390
1427,2019-06-14,COMERCIAL,1216,647
1430,2019-01-19,COMERCIAL,1408,400
1431,2019-03-13,COMERCIAL,870,458
1443,2019-02-07,COMERCIAL,1113,467
1460,2019-03-22,COMERCIAL,7261,455
1464,2019-03-14,COMERCIAL,1309,426
1465,2019-01-05,COMERCIAL,991,564
1472,2019-01-02,COMERCIAL,786,390
1487,2019-06-07,COMERCIAL,1145,647
1491,2019-03-08,COMERCIAL,937,458
1495,2019-02-17,COMERCIAL,844,160
1503,2019-02-28,COMERCIAL,930,467
1520,2019-03-15,COMERCIAL,7214,455
1524,2019-03-27,COMERCIAL,1618,426
1532,2019-01-31,COMERCIAL,1031,390
1544,2019-01-14,COMERCIAL,610,408
1547,2019-06-22,COMERCIAL,1089,647
1550,2019-01-09,COMERCIAL,923,400
1555,2019-02-24,COMERCIAL,909,160
1563,2019-02-24,COMERCIAL,1360,467
1580,2019-03-25,COMERCIAL,7274,455
1584,2019-03-29,COMERCIAL,1634,426
1592,2019-01-10,COMERCIAL,1418,390
1594,2019-01-25,COMERCIAL,2855,179
1607,2019-06-28,COMERCIAL,776,647
1610,2019-01-18,COMERCIAL,873,400
1611,2019-03-04,COMERCIAL,1720,458
1615,2019-02-22,COMERCIAL,657,160
1617,2019-04-05,COMERCIAL,634,592
1623,2019-02-13,COMERCIAL,1227,467
1629,2019-01-01,COMERCIAL,662,506
1631,2019-02-05,COMERCIAL,823,521
1640,2019-03-30,COMERCIAL,7155,455
1644,2019-03-20,COMERCIAL,1531,426
1650,2019-03-14,COMERCIAL,712,605
1652,2019-01-16,COMERCIAL,1035,390
1654,2019-01-17,COMERCIAL,2979,179
1667,2019-06-11,COMERCIAL,661,647
1670,2019-01-15,COMERCIAL,1440,400
1671,2019-03-15,COMERCIAL,1772,458
1689,2019-01-23,COMERCIAL,772,506
1691,2019-02-20,COMERCIAL,807,521
1700,2019-03-29,COMERCIAL,7425,455
1704,2019-03-15,COMERCIAL,1798,426
1710,2019-03-08,COMERCIAL,665,605
1712,2019-01-24,COMERCIAL,1078,390
1714,2019-01-22,COMERCIAL,2764,179
1721,2019-01-04,COMERCIAL,702,393
1727,2019-06-30,COMERCIAL,1158,647
1730,2019-01-03,COMERCIAL,627,400
1731,2019-03-21,COMERCIAL,1197,458
1749,2019-01-12,COMERCIAL,1266,506
1751,2019-02-08,COMERCIAL,984,521
1760,2019-03-13,COMERCIAL,7162,455
1764,2019-03-01,COMERCIAL,1172,426
1765,2019-01-12,COMERCIAL,833,564
1770,2019-03-26,COMERCIAL,907,605
1772,2019-01-23,COMERCIAL,1054,390
1774,2019-01-09,COMERCIAL,3121,179
1781,2019-01-05,COMERCIAL,889,393
1790,2019-01-11,COMERCIAL,900,400
1791,2019-03-02,COMERCIAL,809,458
1795,2019-02-01,COMERCIAL,845,160
1809,2019-01-25,COMERCIAL,717,506
1811,2019-02-19,COMERCIAL,893,521
1820,2019-03-08,COMERCIAL,7202,455
1824,2019-03-21,COMERCIAL,1067,426
1830,2019-03-27,COMERCIAL,760,605
1832,2019-01-08,COMERCIAL,1078,390
1834,2019-01-11,COMERCIAL,3253,179
1836,2019-02-01,COMERCIAL,676,562
1843,2019-01-11,COMERCIAL,1178,180
1844,2019-01-31,COMERCIAL,764,408
1847,2019-06-12,COMERCIAL,784,647
1851,2019-03-12,COMERCIAL,970,458
1855,2019-02-09,COMERCIAL,872,160
1867,2019-02-03,COMERCIAL,698,590
1880,2019-03-14,COMERCIAL,7152,455
1884,2019-03-17,COMERCIAL,1598,426
1888,2019-02-14,COMERCIAL,840,410
1894,2019-01-31,COMERCIAL,2900,179
1903,2019-01-04,COMERCIAL,740,180
1907,2019-06-15,COMERCIAL,1616,647
1910,2019-01-05,COMERCIAL,1545,400
1911,2019-03-05,COMERCIAL,951,458
1940,2019-03-27,COMERCIAL,7175,455
1950,2019-03-13,COMERCIAL,1158,605
1954,2019-01-13,COMERCIAL,4459,179
1963,2019-01-16,COMERCIAL,1420,180
1967,2019-06-16,COMERCIAL,1402,647
1970,2019-01-08,COMERCIAL,853,400
1971,2019-03-01,COMERCIAL,707,458
1989,2019-01-07,COMERCIAL,812,506
2000,2019-03-12,COMERCIAL,7181,455
2010,2019-03-25,COMERCIAL,650,605
2012,2019-01-15,COMERCIAL,938,390
2014,2019-01-10,COMERCIAL,2784,179
2016,2019-02-23,COMERCIAL,657,562
2023,2019-01-03,COMERCIAL,1428,180
2049,2019-01-10,COMERCIAL,655,506
2060,2019-03-07,COMERCIAL,7197,455
2064,2019-03-11,COMERCIAL,1231,426
2066,2019-01-31,COMERCIAL,702,384
2072,2019-01-04,COMERCIAL,900,390
2074,2019-01-19,COMERCIAL,3550,179
2081,2019-01-11,COMERCIAL,714,393
2083,2019-01-07,COMERCIAL,1319,180
2087,2019-06-25,COMERCIAL,651,647
2091,2019-03-28,COMERCIAL,684,458
2111,2019-02-18,COMERCIAL,794,521
2120,2019-03-05,COMERCIAL,7180,455
2132,2019-01-11,COMERCIAL,952,390
2134,2019-01-24,COMERCIAL,2929,179
2141,2019-01-08,COMERCIAL,622,401
2143,2019-01-09,COMERCIAL,1108,180
2147,2019-06-08,COMERCIAL,892,647
2150,2019-01-02,COMERCIAL,1304,400
2151,2019-03-14,COMERCIAL,930,458
2171,2019-02-03,COMERCIAL,704,521
2175,2019-01-11,COMERCIAL,617,499
2180,2019-03-02,COMERCIAL,6916,455
2192,2019-01-26,COMERCIAL,699,390
2194,2019-01-12,COMERCIAL,3701,179
2203,2019-01-14,COMERCIAL,1398,180
2207,2019-06-23,COMERCIAL,1023,647
2229,2019-01-24,COMERCIAL,822,506
2231,2019-02-13,COMERCIAL,768,521
2240,2019-03-04,COMERCIAL,7202,455
2244,2019-03-23,COMERCIAL,2637,426
2245,2019-01-26,COMERCIAL,887,564
2248,2019-02-20,COMERCIAL,4159,397
2254,2019-01-29,COMERCIAL,2954,179
2263,2019-01-06,COMERCIAL,1389,180
2267,2019-06-24,COMERCIAL,684,647
2289,2019-01-27,COMERCIAL,933,506
2291,2019-02-10,COMERCIAL,698,521
2300,2019-03-03,COMERCIAL,6923,455
2304,2019-03-06,COMERCIAL,1012,426
2311,2019-01-28,COMERCIAL,1665,398
2312,2019-01-18,COMERCIAL,1168,390
2314,2019-01-23,COMERCIAL,3013,179
2318,2019-09-22,COMERCIAL,1363,715
2323,2019-01-15,COMERCIAL,1373,180
2327,2019-06-19,COMERCIAL,957,647
2330,2019-01-28,COMERCIAL,951,400
2349,2019-01-22,COMERCIAL,949,506
2360,2019-03-17,COMERCIAL,6898,455
2364,2019-03-10,COMERCIAL,1600,426
2368,2019-02-16,COMERCIAL,829,486
2374,2019-01-27,COMERCIAL,3311,179
2378,2019-09-29,COMERCIAL,1260,715
2383,2019-01-01,COMERCIAL,1365,180
2387,2019-06-20,COMERCIAL,1157,647
2390,2019-01-26,COMERCIAL,2068,400
2391,2019-03-20,COMERCIAL,731,458
2409,2019-01-17,COMERCIAL,637,506
2420,2019-03-01,COMERCIAL,7111,455
2428,2019-02-23,COMERCIAL,731,486
2434,2019-01-15,COMERCIAL,2650,179
2438,2019-09-18,COMERCIAL,1354,715
2443,2019-01-05,COMERCIAL,1302,180
2447,2019-06-10,COMERCIAL,1185,647
2471,2019-02-17,COMERCIAL,628,521
2480,2019-03-20,COMERCIAL,7220,455
2494,2019-01-08,COMERCIAL,2709,179
2498,2019-09-21,COMERCIAL,1621,715
2503,2019-01-08,COMERCIAL,1247,180
2507,2019-06-18,COMERCIAL,742,647
2511,2019-03-07,COMERCIAL,782,458
2529,2019-01-09,COMERCIAL,685,506
2531,2019-02-26,COMERCIAL,695,521
2540,2019-03-28,COMERCIAL,7173,455
2554,2019-01-18,COMERCIAL,3252,179
2556,2019-02-16,COMERCIAL,636,562
2558,2019-09-19,COMERCIAL,1396,715
2563,2019-01-13,COMERCIAL,1400,180
2591,2019-02-14,COMERCIAL,643,521
2595,2019-01-07,COMERCIAL,2020,499
2605,2019-01-13,COMERCIAL,1293,564
2608,2019-02-22,COMERCIAL,610,486
2614,2019-01-26,COMERCIAL,3461,179
2618,2019-09-26,COMERCIAL,2134,715
2623,2019-01-02,COMERCIAL,1930,180
2633,2019-04-07,COMERCIAL,683,163
2649,2019-01-31,COMERCIAL,1121,506
2660,2019-03-25,COMERCIAL,1441,171
2664,2019-03-08,COMERCIAL,1355,426
2665,2019-01-27,COMERCIAL,736,564
2668,2019-02-12,COMERCIAL,612,486
2674,2019-01-16,COMERCIAL,3050,179
2678,2019-09-24,COMERCIAL,1483,715
2683,2019-01-10,COMERCIAL,956,180
2709,2019-01-29,COMERCIAL,615,506
2720,2019-03-24,COMERCIAL,1506,171
2725,2019-01-01,COMERCIAL,1391,564
2728,2019-02-14,COMERCIAL,769,486
2734,2019-01-20,COMERCIAL,3332,179
2738,2019-09-20,COMERCIAL,1551,715
2743,2019-01-12,COMERCIAL,1167,180
2771,2019-02-24,COMERCIAL,1152,521
2788,2019-02-06,COMERCIAL,767,486
2794,2019-01-30,COMERCIAL,2966,179
2796,2019-02-08,COMERCIAL,740,562
2798,2019-09-25,COMERCIAL,1934,715
2829,2019-01-05,COMERCIAL,729,506
2831,2019-02-04,COMERCIAL,982,521
2844,2019-03-22,COMERCIAL,1547,426
2848,2019-02-25,COMERCIAL,782,486
2851,2019-01-27,COMERCIAL,3485,398
2858,2019-09-27,COMERCIAL,2038,715
2883,2019-02-12,COMERCIAL,1540,467
2889,2019-01-26,COMERCIAL,685,506
2891,2019-02-25,COMERCIAL,762,521
2904,2019-03-28,COMERCIAL,1376,426
2908,2019-02-07,COMERCIAL,801,486
2911,2019-01-06,COMERCIAL,2040,398
2912,2019-01-25,COMERCIAL,1110,390
2918,2019-09-28,COMERCIAL,2152,715
2921,2019-01-02,COMERCIAL,649,156
2924,2019-01-03,COMERCIAL,686,408
2943,2019-02-14,COMERCIAL,1031,467
2951,2019-02-21,COMERCIAL,656,521
2960,2019-03-06,COMERCIAL,6060,455
2964,2019-03-07,COMERCIAL,1067,426
2971,2019-01-01,COMERCIAL,4203,398
2976,2019-02-22,COMERCIAL,620,562
2984,2019-01-26,COMERCIAL,1406,408
3003,2019-02-22,COMERCIAL,1645,467
3020,2019-03-09,COMERCIAL,5776,455
3025,2019-05-26,COMERCIAL,706,564
3031,2019-01-12,COMERCIAL,2780,398
