,FECHA,USO,CONSUMO,ID_CONTADOR
0,2019-01-02,COMERCIAL,113,66
1,2020-02-13,COMERCIAL,25,1
2,2019-03-09,COMERCIAL,308,49
4,2019-01-30,COMERCIAL,103,32
5,2020-08-31,COMERCIAL,219,12
6,2019-03-11,COMERCIAL,26,80
7,2019-02-07,COMERCIAL,16,6
8,2019-02-10,COMERCIAL,268,57
9,2019-02-01,COMERCIAL,147,9
10,2021-10-27,COMERCIAL,42,91
11,2019-03-09,COMERCIAL,17,48
13,2019-01-17,COMERCIAL,254,52
14,2019-02-10,COMERCIAL,10,31
15,2019-01-21,COMERCIAL,95,14
16,2019-02-12,COMERCIAL,98,50
17,2019-02-03,COMERCIAL,616,83
18,2019-01-06,COMERCIAL,19,42
19,2020-02-03,COMERCIAL,65,3
20,2019-03-12,COMERCIAL,11,22
21,2019-03-03,COMERCIAL,275,54
22,2019-01-29,COMERCIAL,2,15
23,2019-03-20,COMERCIAL,2,8
24,2019-01-01,COMERCIAL,71,38
25,2019-02-17,COMERCIAL,255,35
26,2019-01-28,COMERCIAL,86,36
27,2019-03-17,COMERCIAL,515,44
28,2019-01-24,COMERCIAL,34,78
29,2019-03-04,COMERCIAL,182,27
30,2019-01-01,COMERCIAL,9,51
31,2019-03-04,COMERCIAL,95,45
32,2019-02-04,COMERCIAL,8,41
33,2019-02-20,COMERCIAL,84,30
34,2019-01-06,COMERCIAL,8,34
35,2020-09-01,COMERCIAL,35,2
36,2019-02-23,COMERCIAL,32,10
37,2019-03-11,COMERCIAL,49,74
38,2019-03-09,COMERCIAL,372,60
39,2019-01-09,COMERCIAL,293,25
40,2019-03-05,COMERCIAL,49,55
41,2019-03-31,COMERCIAL,1,69
42,2019-09-30,COMERCIAL,3,77
44,2019-01-06,COMERCIAL,3,29
45,2019-03-22,COMERCIAL,171,79
46,2019-01-03,COMERCIAL,147,66
47,2020-02-12,COMERCIAL,33,1
48,2019-03-03,COMERCIAL,13,49
49,2019-02-15,COMERCIAL,5,68
50,2019-01-03,COMERCIAL,97,32
51,2020-08-30,COMERCIAL,116,12
52,2019-03-14,COMERCIAL,40,80
53,2019-02-18,COMERCIAL,1,6
54,2019-02-03,COMERCIAL,12,57
55,2019-02-16,COMERCIAL,4,9
56,2021-11-09,COMERCIAL,327,91
57,2019-03-05,COMERCIAL,109,48
59,2019-01-06,COMERCIAL,118,52
60,2019-02-03,COMERCIAL,85,53
61,2019-01-24,COMERCIAL,408,14
62,2019-02-13,COMERCIAL,90,50
63,2019-02-23,COMERCIAL,461,83
64,2019-01-27,COMERCIAL,74,42
65,2020-02-22,COMERCIAL,30,3
66,2019-03-11,COMERCIAL,6,22
67,2019-03-24,COMERCIAL,255,54
68,2019-01-17,COMERCIAL,47,15
69,2019-03-07,COMERCIAL,6,8
70,2019-01-20,COMERCIAL,62,38
71,2019-02-06,COMERCIAL,161,35
72,2019-01-02,COMERCIAL,77,36
73,2019-03-14,COMERCIAL,178,44
75,2019-03-13,COMERCIAL,519,27
76,2019-01-01,COMERCIAL,20,37
77,2019-03-18,COMERCIAL,69,45
78,2019-02-12,COMERCIAL,29,41
79,2019-02-27,COMERCIAL,88,30
80,2019-01-20,COMERCIAL,17,34
81,2020-02-04,COMERCIAL,101,2
82,2019-02-16,COMERCIAL,21,10
83,2019-03-20,COMERCIAL,15,74
84,2019-03-05,COMERCIAL,315,59
85,2019-01-22,COMERCIAL,243,25
86,2019-03-08,COMERCIAL,33,55
87,2019-03-27,COMERCIAL,27,69
88,2020-03-03,COMERCIAL,41,19
89,2019-03-05,COMERCIAL,461,39
90,2019-01-13,COMERCIAL,22,29
91,2019-03-03,COMERCIAL,145,79
92,2019-01-13,COMERCIAL,87,66
93,2020-02-21,COMERCIAL,28,1
94,2019-03-05,COMERCIAL,251,49
95,2019-02-16,COMERCIAL,6,68
96,2019-01-08,COMERCIAL,136,32
98,2019-03-18,COMERCIAL,18,80
99,2019-02-20,COMERCIAL,8,6
100,2019-02-24,COMERCIAL,83,57
101,2019-02-22,COMERCIAL,5,9
102,2021-11-10,COMERCIAL,66,91
103,2019-03-04,COMERCIAL,79,48
104,2019-01-14,COMERCIAL,13,28
105,2019-01-01,COMERCIAL,183,52
106,2019-02-02,COMERCIAL,151,53
107,2019-01-01,COMERCIAL,215,14
108,2019-02-08,COMERCIAL,136,50
109,2019-02-12,COMERCIAL,459,83
110,2019-01-13,COMERCIAL,32,42
111,2020-02-19,COMERCIAL,78,3
112,2019-03-20,COMERCIAL,13,22
113,2019-03-12,COMERCIAL,414,54
114,2019-01-23,COMERCIAL,3,15
115,2019-03-05,COMERCIAL,3,8
116,2019-01-27,COMERCIAL,91,38
117,2019-02-24,COMERCIAL,104,35
118,2019-01-24,COMERCIAL,55,36
119,2019-03-24,COMERCIAL,532,44
120,2019-01-23,COMERCIAL,43,78
121,2019-03-16,COMERCIAL,495,27
122,2019-01-20,COMERCIAL,307,40
123,2019-03-29,COMERCIAL,421,45
124,2019-02-10,COMERCIAL,8,41
125,2019-02-18,COMERCIAL,71,30
126,2019-01-13,COMERCIAL,9,34
127,2020-02-13,COMERCIAL,87,2
128,2019-02-13,COMERCIAL,73,10
129,2019-03-13,COMERCIAL,23,74
130,2019-03-05,COMERCIAL,279,60
131,2019-01-14,COMERCIAL,143,25
132,2019-03-03,COMERCIAL,5,55
133,2019-03-29,COMERCIAL,53,69
134,2020-03-04,COMERCIAL,31,19
135,2019-03-17,COMERCIAL,584,39
136,2019-01-27,COMERCIAL,9,29
137,2019-03-16,COMERCIAL,306,79
138,2019-01-17,COMERCIAL,71,66
139,2020-02-20,COMERCIAL,33,1
140,2019-03-07,COMERCIAL,148,49
141,2019-02-09,COMERCIAL,17,68
142,2019-01-24,COMERCIAL,133,32
144,2019-03-24,COMERCIAL,39,80
145,2019-02-21,COMERCIAL,8,6
146,2019-02-12,COMERCIAL,73,57
147,2019-02-09,COMERCIAL,6,9
148,2021-11-12,COMERCIAL,1,91
149,2019-03-02,COMERCIAL,35,48
151,2019-01-20,COMERCIAL,165,52
152,2019-02-02,COMERCIAL,33,31
153,2019-01-13,COMERCIAL,618,14
154,2019-02-16,COMERCIAL,65,50
156,2019-01-20,COMERCIAL,30,42
157,2020-02-02,COMERCIAL,25,3
158,2019-03-18,COMERCIAL,5,22
159,2019-03-04,COMERCIAL,206,54
160,2019-01-30,COMERCIAL,4,15
161,2019-03-01,COMERCIAL,15,8
162,2019-01-28,COMERCIAL,76,38
163,2019-02-13,COMERCIAL,192,35
164,2019-01-14,COMERCIAL,167,36
165,2019-03-30,COMERCIAL,333,44
168,2019-01-13,COMERCIAL,358,40
170,2019-02-06,COMERCIAL,16,41
171,2019-02-11,COMERCIAL,49,30
172,2019-01-03,COMERCIAL,51,34
173,2020-02-03,COMERCIAL,94,2
174,2019-02-26,COMERCIAL,61,10
175,2019-03-12,COMERCIAL,36,74
176,2019-03-03,COMERCIAL,569,59
177,2019-01-03,COMERCIAL,191,25
178,2019-03-10,COMERCIAL,16,55
179,2019-03-14,COMERCIAL,35,69
180,2020-03-14,COMERCIAL,8,19
181,2019-03-10,COMERCIAL,496,39
182,2019-01-09,COMERCIAL,119,29
183,2019-03-24,COMERCIAL,384,79
184,2019-01-20,COMERCIAL,45,66
185,2020-02-17,COMERCIAL,15,1
186,2019-03-08,COMERCIAL,260,49
187,2019-02-22,COMERCIAL,6,68
188,2019-01-02,COMERCIAL,111,32
190,2019-03-19,COMERCIAL,28,80
191,2019-02-15,COMERCIAL,1,6
192,2019-02-17,COMERCIAL,21,57
193,2019-02-02,COMERCIAL,5,9
194,2021-11-08,COMERCIAL,383,91
195,2019-03-12,COMERCIAL,60,48
197,2019-01-13,COMERCIAL,189,52
198,2019-02-04,COMERCIAL,134,53
199,2019-01-02,COMERCIAL,38,14
200,2019-02-26,COMERCIAL,128,50
201,2019-02-13,COMERCIAL,425,83
202,2019-01-02,COMERCIAL,55,42
203,2020-02-05,COMERCIAL,93,3
204,2019-03-26,COMERCIAL,13,22
205,2019-03-14,COMERCIAL,249,54
206,2019-01-24,COMERCIAL,6,15
207,2019-03-27,COMERCIAL,3,8
208,2019-01-13,COMERCIAL,62,38
209,2019-02-11,COMERCIAL,288,35
210,2019-01-15,COMERCIAL,90,36
211,2019-03-29,COMERCIAL,400,44
213,2019-03-05,COMERCIAL,472,27
214,2019-01-13,COMERCIAL,21,51
215,2019-03-10,COMERCIAL,598,45
216,2019-02-24,COMERCIAL,12,41
217,2019-02-12,COMERCIAL,37,30
218,2019-01-03,COMERCIAL,51,47
219,2020-02-07,COMERCIAL,69,2
220,2019-02-20,COMERCIAL,53,10
221,2019-03-14,COMERCIAL,6,74
222,2019-03-17,COMERCIAL,594,59
223,2019-01-10,COMERCIAL,131,25
224,2019-03-02,COMERCIAL,38,55
225,2019-03-23,COMERCIAL,18,69
226,2020-03-09,COMERCIAL,49,19
228,2019-01-20,COMERCIAL,17,29
229,2019-03-02,COMERCIAL,128,79
230,2019-01-09,COMERCIAL,102,66
231,2020-02-19,COMERCIAL,19,1
232,2019-03-20,COMERCIAL,54,49
233,2019-04-20,COMERCIAL,8,68
234,2019-01-17,COMERCIAL,171,32
236,2019-03-21,COMERCIAL,19,80
237,2019-02-10,COMERCIAL,18,6
238,2019-02-19,COMERCIAL,62,57
239,2019-02-08,COMERCIAL,8,9
240,2021-12-10,COMERCIAL,71,91
241,2019-03-07,COMERCIAL,117,48
243,2019-01-07,COMERCIAL,27,52
244,2019-02-04,COMERCIAL,50,31
246,2019-02-23,COMERCIAL,80,50
247,2019-02-15,COMERCIAL,614,83
248,2019-01-28,COMERCIAL,71,42
249,2020-02-10,COMERCIAL,63,3
250,2019-03-25,COMERCIAL,2,22
251,2019-03-19,COMERCIAL,266,54
252,2019-01-25,COMERCIAL,170,15
253,2019-03-28,COMERCIAL,9,8
254,2019-01-03,COMERCIAL,89,38
255,2019-02-27,COMERCIAL,207,35
256,2019-01-21,COMERCIAL,97,36
257,2019-03-04,COMERCIAL,1,44
259,2019-03-03,COMERCIAL,187,27
260,2019-01-02,COMERCIAL,343,40
261,2019-03-27,COMERCIAL,248,45
262,2019-02-07,COMERCIAL,29,41
263,2019-02-19,COMERCIAL,91,30
264,2019-01-27,COMERCIAL,60,47
265,2020-02-25,COMERCIAL,168,2
266,2019-02-02,COMERCIAL,41,10
267,2019-03-23,COMERCIAL,6,74
268,2019-03-17,COMERCIAL,42,60
269,2019-01-17,COMERCIAL,133,25
270,2019-03-04,COMERCIAL,45,55
271,2019-03-05,COMERCIAL,36,69
272,2020-03-10,COMERCIAL,31,19
273,2019-03-08,COMERCIAL,501,39
274,2019-01-12,COMERCIAL,98,29
275,2019-03-06,COMERCIAL,190,79
276,2019-01-18,COMERCIAL,78,66
277,2020-02-14,COMERCIAL,21,1
278,2019-03-02,COMERCIAL,317,49
279,2019-04-26,COMERCIAL,8,68
280,2019-01-29,COMERCIAL,116,32
281,2020-08-13,COMERCIAL,3,12
282,2019-03-29,COMERCIAL,28,80
283,2019-02-01,COMERCIAL,7,6
284,2019-02-06,COMERCIAL,36,57
285,2019-02-23,COMERCIAL,40,9
286,2021-12-11,COMERCIAL,58,91
287,2019-03-08,COMERCIAL,238,48
289,2019-01-09,COMERCIAL,419,52
290,2019-02-06,COMERCIAL,123,53
291,2019-01-07,COMERCIAL,60,14
292,2019-02-01,COMERCIAL,95,50
293,2019-02-18,COMERCIAL,310,83
294,2019-01-24,COMERCIAL,72,42
295,2020-02-06,COMERCIAL,34,3
296,2019-03-27,COMERCIAL,6,22
297,2019-03-18,COMERCIAL,317,54
298,2019-01-22,COMERCIAL,471,15
299,2019-03-25,COMERCIAL,6,8
300,2019-01-23,COMERCIAL,98,38
301,2019-02-20,COMERCIAL,175,35
302,2019-01-22,COMERCIAL,77,36
303,2019-03-20,COMERCIAL,1,44
304,2019-01-20,COMERCIAL,2,78
305,2019-03-14,COMERCIAL,294,27
306,2019-01-28,COMERCIAL,443,40
307,2019-03-05,COMERCIAL,274,45
308,2019-02-19,COMERCIAL,28,41
309,2019-02-28,COMERCIAL,63,30
310,2019-01-27,COMERCIAL,9,34
311,2020-02-17,COMERCIAL,112,2
312,2019-02-19,COMERCIAL,52,10
