,FECHA,USO,CONSUMO,ID_CONTADOR
0,2019-02-19,COMERCIAL,10,70
1,2019-02-10,COMERCIAL,36,23
2,2019-01-02,COMERCIAL,23,101
3,2019-03-09,COMERCIAL,298,54
4,2019-01-22,COMERCIAL,52,38
5,2019-01-06,COMERCIAL,77,48
6,2019-01-22,COMERCIAL,414,95
7,2019-02-27,COMERCIAL,79,98
8,2019-10-01,COMERCIAL,3,78
9,2019-02-01,COMERCIAL,24,63
10,2019-03-06,COMERCIAL,444,36
11,2019-01-09,COMERCIAL,136,31
12,2019-02-12,COMERCIAL,680,29
13,2019-03-10,COMERCIAL,128,4
14,2019-02-07,COMERCIAL,24,6
15,2019-01-01,COMERCIAL,6,39
16,2019-08-01,COMERCIAL,105,77
17,2019-02-27,COMERCIAL,17,60
18,2019-02-17,COMERCIAL,262,67
19,2019-06-18,COMERCIAL,12,72
20,2019-03-30,COMERCIAL,48,35
22,2020-01-08,COMERCIAL,6,45
23,2020-07-21,COMERCIAL,2,41
24,2019-01-01,COMERCIAL,36,17
25,2019-02-24,COMERCIAL,2,47
26,2019-03-11,COMERCIAL,61,93
27,2019-01-06,COMERCIAL,30,58
28,2019-01-28,COMERCIAL,315,52
29,2019-02-06,COMERCIAL,198,28
30,2019-02-03,COMERCIAL,9,51
31,2019-01-06,COMERCIAL,119,32
32,2019-02-03,COMERCIAL,19,42
33,2019-02-01,COMERCIAL,454,3
34,2019-02-06,COMERCIAL,13,18
35,2019-01-23,COMERCIAL,264,40
36,2020-04-06,COMERCIAL,65,16
37,2019-02-06,COMERCIAL,161,62
38,2019-02-14,COMERCIAL,16,19
39,2019-01-19,COMERCIAL,26,92
40,2020-10-24,COMERCIAL,13,102
41,2019-02-06,COMERCIAL,111,46
42,2019-01-31,COMERCIAL,100,66
43,2019-01-01,COMERCIAL,20,30
44,2019-01-17,COMERCIAL,15,25
45,2019-02-05,COMERCIAL,500,5
46,2020-05-09,COMERCIAL,102,13
47,2019-03-14,COMERCIAL,149,2
48,2019-03-21,COMERCIAL,489,24
49,2019-02-11,COMERCIAL,11,70
50,2019-02-17,COMERCIAL,24,23
51,2019-01-03,COMERCIAL,7,101
53,2019-01-08,COMERCIAL,56,38
54,2019-01-22,COMERCIAL,81,48
55,2019-01-29,COMERCIAL,277,95
56,2019-02-21,COMERCIAL,33,98
57,2019-10-27,COMERCIAL,21,78
58,2019-02-02,COMERCIAL,23,63
59,2019-03-07,COMERCIAL,508,36
60,2019-01-28,COMERCIAL,145,31
61,2019-02-06,COMERCIAL,671,29
62,2019-03-09,COMERCIAL,78,4
63,2019-02-08,COMERCIAL,39,6
64,2019-01-30,COMERCIAL,23,34
65,2019-08-02,COMERCIAL,53,77
66,2019-02-27,COMERCIAL,430,75
67,2019-02-06,COMERCIAL,205,67
68,2019-06-25,COMERCIAL,11,72
69,2019-03-01,COMERCIAL,98,35
70,2019-03-01,COMERCIAL,37,100
71,2020-12-30,COMERCIAL,7,45
72,2020-07-22,COMERCIAL,2,41
73,2019-01-09,COMERCIAL,93,17
74,2019-02-06,COMERCIAL,322,43
75,2019-05-23,COMERCIAL,46,93
76,2019-01-01,COMERCIAL,85,58
77,2019-01-28,COMERCIAL,25,64
78,2019-02-17,COMERCIAL,157,28
79,2019-02-12,COMERCIAL,133,57
80,2019-01-01,COMERCIAL,205,32
81,2019-02-01,COMERCIAL,154,42
82,2019-02-05,COMERCIAL,341,3
83,2019-02-06,COMERCIAL,280,59
84,2019-01-02,COMERCIAL,135,40
85,2020-04-23,COMERCIAL,27,16
86,2019-02-24,COMERCIAL,46,62
87,2019-02-19,COMERCIAL,21,19
88,2019-01-06,COMERCIAL,5,92
89,2020-10-31,COMERCIAL,17,102
90,2019-02-06,COMERCIAL,35,49
91,2019-01-30,COMERCIAL,62,66
92,2019-01-14,COMERCIAL,7,30
93,2019-01-14,COMERCIAL,10,25
94,2019-02-15,COMERCIAL,275,5
95,2020-05-07,COMERCIAL,76,13
96,2019-03-04,COMERCIAL,122,2
97,2019-03-11,COMERCIAL,65,26
98,2019-02-07,COMERCIAL,32,70
99,2019-02-08,COMERCIAL,14,23
100,2019-01-09,COMERCIAL,22,101
101,2019-03-10,COMERCIAL,90,54
102,2019-01-09,COMERCIAL,40,38
103,2019-01-15,COMERCIAL,101,48
104,2019-01-28,COMERCIAL,319,95
105,2019-02-17,COMERCIAL,67,98
106,2019-10-02,COMERCIAL,19,78
107,2019-02-23,COMERCIAL,24,63
109,2019-01-15,COMERCIAL,232,31
110,2019-02-19,COMERCIAL,693,29
111,2019-03-26,COMERCIAL,124,4
112,2019-02-09,COMERCIAL,18,6
113,2019-01-28,COMERCIAL,55,34
114,2019-08-30,COMERCIAL,40,77
115,2019-02-06,COMERCIAL,22,60
116,2019-02-06,COMERCIAL,246,22
117,2019-06-06,COMERCIAL,11,72
118,2019-03-02,COMERCIAL,100,35
