,FECHA,USO,CONSUMO,ID_CONTADOR
0,2019-05-28,COMERCIAL,10,153
3,2019-07-04,COMERCIAL,27,157
4,2019-10-23,COMERCIAL,440,93
5,2019-06-29,COMERCIAL,23,167
6,2019-07-03,COMERCIAL,139,166
7,2019-07-19,COMERCIAL,171,150
10,2019-05-29,COMERCIAL,408,176
11,2019-10-08,COMERCIAL,139,6
12,2019-12-18,COMERCIAL,8,110
13,2019-06-01,COMERCIAL,593,186
14,2020-06-05,COMERCIAL,22,68
15,2019-10-20,COMERCIAL,62,80
16,2019-11-10,COMERCIAL,2,27
17,2019-06-21,COMERCIAL,659,161
20,2019-06-30,COMERCIAL,55,178
21,2019-08-23,COMERCIAL,9,174
22,2020-04-26,COMERCIAL,1,61
25,2019-11-27,COMERCIAL,87,94
26,2020-11-26,COMERCIAL,27,64
27,2019-12-11,COMERCIAL,5,151
28,2020-02-26,COMERCIAL,164,41
29,2019-03-12,COMERCIAL,18,10
30,2019-07-26,COMERCIAL,315,149
31,2019-10-23,COMERCIAL,41,97
32,2019-06-04,COMERCIAL,11,155
33,2019-11-03,COMERCIAL,95,81
34,2019-10-11,COMERCIAL,49,34
35,2019-10-25,COMERCIAL,7,100
36,2019-12-25,COMERCIAL,349,105
37,2019-10-23,COMERCIAL,172,21
38,2019-10-22,COMERCIAL,524,92
39,2019-10-24,COMERCIAL,6,86
40,2019-05-27,COMERCIAL,14,158
41,2019-11-30,COMERCIAL,35,29
43,2019-09-18,COMERCIAL,118,188
44,2019-10-23,COMERCIAL,289,90
45,2019-07-11,COMERCIAL,328,163
46,2019-10-19,COMERCIAL,3,28
47,2019-05-30,COMERCIAL,93,148
48,2019-06-15,COMERCIAL,165,18
49,2019-10-23,COMERCIAL,85,91
50,2020-01-25,COMERCIAL,114,114
51,2019-12-28,COMERCIAL,9,183
52,2019-06-25,COMERCIAL,63,135
53,2019-11-14,COMERCIAL,84,35
54,2019-07-09,COMERCIAL,368,182
55,2019-03-08,COMERCIAL,130,8
56,2019-10-17,COMERCIAL,34,106
58,2019-05-30,COMERCIAL,265,153
61,2019-07-15,COMERCIAL,30,164
62,2019-10-16,COMERCIAL,627,93
63,2019-06-19,COMERCIAL,34,160
64,2019-07-07,COMERCIAL,85,166
65,2019-07-15,COMERCIAL,86,150
67,2019-05-29,COMERCIAL,9,159
69,2019-10-31,COMERCIAL,275,6
70,2019-12-10,COMERCIAL,2,110
72,2021-08-13,COMERCIAL,61,68
73,2019-10-28,COMERCIAL,6,84
74,2019-11-01,COMERCIAL,1,27
76,2019-07-04,COMERCIAL,210,147
77,2020-01-09,COMERCIAL,53,190
78,2019-06-10,COMERCIAL,72,178
79,2019-10-29,COMERCIAL,71,89
80,2020-04-27,COMERCIAL,52,61
81,2019-02-14,COMERCIAL,556,181
83,2019-11-04,COMERCIAL,67,94
84,2020-11-17,COMERCIAL,45,64
85,2019-12-17,COMERCIAL,41,151
86,2020-02-18,COMERCIAL,167,41
87,2019-03-29,COMERCIAL,19,10
88,2019-07-19,COMERCIAL,176,149
89,2019-10-22,COMERCIAL,29,97
90,2019-06-05,COMERCIAL,1,155
91,2019-11-04,COMERCIAL,495,81
92,2019-10-10,COMERCIAL,93,34
93,2019-12-15,COMERCIAL,9,100
94,2019-12-29,COMERCIAL,458,105
95,2019-10-31,COMERCIAL,260,21
96,2019-10-11,COMERCIAL,286,12
97,2019-10-22,COMERCIAL,6,86
98,2019-05-28,COMERCIAL,27,158
99,2019-11-21,COMERCIAL,35,29
100,2019-08-06,COMERCIAL,442,180
101,2019-12-23,COMERCIAL,50,83
102,2019-10-24,COMERCIAL,336,90
103,2019-07-14,COMERCIAL,247,163
104,2019-12-27,COMERCIAL,35,28
105,2019-05-26,COMERCIAL,73,148
106,2019-06-25,COMERCIAL,64,18
107,2019-10-16,COMERCIAL,88,91
108,2019-10-31,COMERCIAL,34,25
109,2019-12-19,COMERCIAL,26,183
110,2019-06-03,COMERCIAL,23,135
111,2019-12-13,COMERCIAL,75,77
112,2019-07-29,COMERCIAL,424,182
113,2019-03-18,COMERCIAL,102,8
114,2019-10-21,COMERCIAL,55,106
115,2019-02-28,COMERCIAL,443,136
116,2019-07-08,COMERCIAL,4,153
119,2019-07-16,COMERCIAL,15,157
120,2019-10-29,COMERCIAL,477,93
121,2019-06-17,COMERCIAL,9,160
122,2019-07-01,COMERCIAL,21,166
123,2019-07-24,COMERCIAL,76,150
125,2019-05-30,COMERCIAL,11,159
126,2019-05-25,COMERCIAL,383,176
127,2019-10-28,COMERCIAL,256,6
128,2019-12-28,COMERCIAL,70,110
129,2019-06-28,COMERCIAL,376,186
130,2021-11-06,COMERCIAL,23,68
132,2019-11-03,COMERCIAL,2,27
134,2019-07-09,COMERCIAL,590,147
135,2020-01-15,COMERCIAL,41,190
136,2019-06-17,COMERCIAL,98,178
137,2019-10-30,COMERCIAL,10,174
138,2020-04-13,COMERCIAL,1,61
139,2019-02-09,COMERCIAL,297,181
141,2019-11-12,COMERCIAL,91,94
142,2020-11-25,COMERCIAL,6,64
143,2020-01-18,COMERCIAL,1,82
144,2020-02-03,COMERCIAL,153,41
145,2019-03-11,COMERCIAL,34,10
146,2019-07-30,COMERCIAL,107,149
147,2019-10-16,COMERCIAL,24,97
148,2019-06-15,COMERCIAL,4,155
150,2019-10-09,COMERCIAL,90,34
151,2019-12-22,COMERCIAL,10,100
152,2019-12-16,COMERCIAL,467,105
153,2019-10-26,COMERCIAL,134,21
154,2019-10-12,COMERCIAL,627,12
155,2019-10-23,COMERCIAL,11,86
156,2019-05-31,COMERCIAL,11,158
157,2019-11-04,COMERCIAL,43,29
158,2019-08-28,COMERCIAL,345,180
159,2019-12-23,COMERCIAL,2,78
160,2019-10-21,COMERCIAL,337,90
161,2019-07-09,COMERCIAL,244,163
162,2019-12-09,COMERCIAL,3,28
163,2019-05-25,COMERCIAL,75,148
164,2019-06-18,COMERCIAL,93,18
165,2019-10-21,COMERCIAL,42,91
166,2019-10-24,COMERCIAL,30,25
167,2019-12-17,COMERCIAL,41,183
168,2019-06-20,COMERCIAL,31,135
169,2019-12-09,COMERCIAL,39,35
170,2019-07-16,COMERCIAL,185,182
171,2019-03-12,COMERCIAL,127,8
172,2019-10-16,COMERCIAL,174,106
173,2019-02-12,COMERCIAL,440,136
174,2019-10-09,COMERCIAL,17,153
177,2019-07-27,COMERCIAL,1,162
178,2019-10-21,COMERCIAL,631,93
179,2019-06-26,COMERCIAL,30,185
180,2019-07-17,COMERCIAL,97,166
181,2019-07-26,COMERCIAL,47,150
183,2019-05-26,COMERCIAL,48,159
184,2019-05-23,COMERCIAL,83,176
185,2019-10-17,COMERCIAL,243,6
186,2019-12-11,COMERCIAL,3,110
187,2019-06-21,COMERCIAL,378,186
188,2019-10-17,COMERCIAL,18,84
189,2019-11-06,COMERCIAL,67,27
190,2019-06-02,COMERCIAL,135,161
191,2019-07-11,COMERCIAL,171,147
192,2020-01-26,COMERCIAL,10,190
193,2019-06-19,COMERCIAL,90,178
194,2019-11-04,COMERCIAL,294,89
195,2020-04-21,COMERCIAL,33,61
196,2019-02-18,COMERCIAL,229,181
198,2019-11-07,COMERCIAL,68,94
199,2020-11-28,COMERCIAL,5,64
200,2020-01-17,COMERCIAL,23,151
201,2020-02-24,COMERCIAL,210,41
202,2019-03-27,COMERCIAL,27,10
203,2019-07-24,COMERCIAL,94,149
204,2019-10-24,COMERCIAL,11,97
205,2019-08-02,COMERCIAL,1,155
207,2019-10-08,COMERCIAL,77,34
208,2019-12-02,COMERCIAL,3,100
209,2019-12-09,COMERCIAL,519,105
210,2019-10-16,COMERCIAL,219,21
211,2019-10-26,COMERCIAL,585,12
212,2019-10-17,COMERCIAL,9,86
213,2019-05-29,COMERCIAL,7,158
214,2019-11-15,COMERCIAL,26,29
215,2019-08-04,COMERCIAL,398,180
216,2019-12-23,COMERCIAL,4,108
217,2019-10-19,COMERCIAL,389,90
218,2019-07-01,COMERCIAL,325,163
219,2019-12-07,COMERCIAL,181,28
220,2019-05-29,COMERCIAL,76,148
221,2019-06-26,COMERCIAL,55,18
222,2019-10-17,COMERCIAL,15,91
223,2019-10-28,COMERCIAL,46,25
224,2019-12-09,COMERCIAL,34,183
225,2019-06-17,COMERCIAL,26,135
226,2019-12-13,COMERCIAL,24,35
227,2019-07-15,COMERCIAL,407,182
228,2019-03-05,COMERCIAL,114,8
229,2019-10-23,COMERCIAL,68,106
230,2019-02-19,COMERCIAL,433,136
231,2019-10-02,COMERCIAL,11,153
232,2019-05-27,COMERCIAL,302,134
233,2020-03-28,COMERCIAL,164,191
234,2019-07-09,COMERCIAL,94,162
235,2019-10-24,COMERCIAL,404,93
236,2019-06-28,COMERCIAL,68,185
237,2019-07-19,COMERCIAL,114,166
238,2019-07-12,COMERCIAL,26,150
240,2019-08-26,COMERCIAL,1,159
241,2019-08-06,COMERCIAL,63,170
242,2019-10-24,COMERCIAL,192,6
243,2019-12-07,COMERCIAL,13,110
245,2019-10-30,COMERCIAL,7,84
246,2019-11-27,COMERCIAL,104,27
248,2019-07-06,COMERCIAL,330,147
249,2020-01-31,COMERCIAL,34,190
250,2019-06-01,COMERCIAL,53,178
251,2019-11-02,COMERCIAL,239,89
252,2020-04-08,COMERCIAL,44,61
253,2019-02-03,COMERCIAL,1,181
