,FECHA,USO,CONSUMO,ID_CONTADOR
0,2020-09-11,COMERCIAL,1,17
1,2020-09-24,COMERCIAL,173,47
2,2021-07-27,COMERCIAL,102,8
3,2019-02-07,COMERCIAL,32,50
4,2019-01-25,COMERCIAL,44,57
5,2021-01-02,COMERCIAL,441,28
6,2020-02-24,COMERCIAL,17,25
7,2021-10-26,COMERCIAL,169,16
8,2021-12-12,COMERCIAL,1,26
9,2021-11-13,COMERCIAL,39,34
10,2020-09-10,COMERCIAL,18,52
11,2020-09-14,COMERCIAL,32,14
12,2019-03-22,COMERCIAL,1,40
13,2020-04-05,COMERCIAL,22,20
15,2019-01-02,COMERCIAL,3,52
16,2021-02-21,COMERCIAL,2,11
17,2021-07-16,COMERCIAL,55,52
18,2020-09-02,COMERCIAL,48,30
19,2021-11-19,COMERCIAL,297,8
20,2021-04-22,COMERCIAL,482,14
21,2020-09-15,COMERCIAL,6,52
22,2021-09-28,COMERCIAL,8,55
23,2021-11-05,COMERCIAL,1,19
24,2021-06-16,COMERCIAL,305,14
25,2020-09-07,COMERCIAL,86,15
26,2021-12-11,COMERCIAL,9,55
27,2021-08-30,COMERCIAL,222,14
28,2020-03-05,COMERCIAL,402,14
29,2020-08-28,COMERCIAL,25,43
30,2021-07-14,COMERCIAL,259,23
31,2020-07-23,COMERCIAL,125,8
32,2021-09-10,COMERCIAL,1,39
33,2020-09-15,COMERCIAL,9,25
34,2020-11-06,COMERCIAL,1,12
35,2021-02-27,COMERCIAL,8,43
36,2021-01-29,COMERCIAL,248,24
37,2021-07-03,COMERCIAL,14,55
38,2021-05-31,COMERCIAL,49,17
39,2019-01-31,COMERCIAL,423,56
40,2020-07-28,COMERCIAL,288,16
41,2020-09-30,COMERCIAL,24,21
42,2021-04-11,COMERCIAL,13,17
43,2021-09-09,COMERCIAL,52,30
44,2021-11-24,COMERCIAL,33,35
45,2020-10-28,COMERCIAL,490,22
46,2020-04-01,COMERCIAL,7,15
47,2020-10-01,COMERCIAL,13,58
49,2020-02-10,COMERCIAL,11,35
50,2021-11-09,COMERCIAL,67,5
51,2020-09-11,COMERCIAL,3,21
52,2021-05-30,COMERCIAL,182,37
53,2021-09-28,COMERCIAL,10,21
54,2021-07-20,COMERCIAL,382,28
55,2021-09-28,COMERCIAL,22,0
56,2020-03-27,COMERCIAL,14,40
57,2019-01-17,COMERCIAL,9,54
58,2019-03-16,COMERCIAL,290,3
59,2020-10-21,COMERCIAL,113,24
60,2020-09-29,COMERCIAL,11,42
62,2021-07-26,COMERCIAL,190,8
63,2019-02-06,COMERCIAL,18,50
64,2019-01-28,COMERCIAL,68,57
65,2021-01-16,COMERCIAL,426,28
66,2020-02-05,COMERCIAL,16,25
67,2021-10-24,COMERCIAL,69,16
68,2021-12-13,COMERCIAL,1,26
69,2021-11-12,COMERCIAL,60,34
70,2020-09-10,COMERCIAL,22,29
71,2020-12-12,COMERCIAL,11,53
72,2019-03-25,COMERCIAL,20,40
73,2020-04-21,COMERCIAL,122,20
75,2019-01-01,COMERCIAL,9,52
76,2021-01-19,COMERCIAL,6,11
77,2021-07-15,COMERCIAL,23,52
78,2020-09-03,COMERCIAL,77,30
79,2021-11-18,COMERCIAL,334,8
80,2021-03-26,COMERCIAL,264,14
81,2019-11-21,COMERCIAL,2,44
82,2021-09-21,COMERCIAL,32,55
83,2021-11-03,COMERCIAL,10,19
84,2021-06-14,COMERCIAL,349,14
85,2020-09-04,COMERCIAL,116,15
86,2021-12-10,COMERCIAL,29,55
87,2021-08-31,COMERCIAL,326,14
88,2020-03-08,COMERCIAL,314,14
89,2020-08-31,COMERCIAL,23,43
90,2021-07-27,COMERCIAL,318,23
91,2020-07-30,COMERCIAL,363,8
92,2021-09-09,COMERCIAL,2,39
93,2020-03-09,COMERCIAL,440,23
94,2021-01-21,COMERCIAL,392,27
95,2021-02-28,COMERCIAL,6,43
96,2021-01-28,COMERCIAL,228,24
97,2021-07-06,COMERCIAL,29,55
98,2021-05-30,COMERCIAL,63,17
99,2019-01-27,COMERCIAL,318,56
100,2020-07-26,COMERCIAL,281,16
101,2020-09-20,COMERCIAL,33,21
102,2021-04-12,COMERCIAL,174,17
103,2021-09-08,COMERCIAL,45,30
104,2021-10-15,COMERCIAL,133,35
105,2020-10-12,COMERCIAL,295,22
106,2020-04-16,COMERCIAL,99,15
107,2020-09-14,COMERCIAL,30,58
108,2020-11-15,COMERCIAL,588,2
109,2019-01-29,COMERCIAL,48,35
110,2021-11-10,COMERCIAL,5,5
111,2020-09-15,COMERCIAL,6,21
112,2021-05-31,COMERCIAL,26,37
113,2021-09-13,COMERCIAL,7,21
114,2021-07-19,COMERCIAL,337,28
115,2021-09-15,COMERCIAL,42,0
116,2020-03-19,COMERCIAL,27,40
117,2019-01-22,COMERCIAL,8,54
118,2019-03-11,COMERCIAL,525,3
119,2020-10-19,COMERCIAL,3,24
120,2020-09-13,COMERCIAL,519,22
121,2020-09-28,COMERCIAL,248,47
122,2021-07-25,COMERCIAL,7,8
123,2019-06-21,COMERCIAL,7,50
124,2019-01-30,COMERCIAL,46,57
125,2021-01-19,COMERCIAL,456,28
126,2020-02-04,COMERCIAL,7,25
127,2021-10-23,COMERCIAL,97,16
128,2021-11-29,COMERCIAL,2,26
129,2021-11-11,COMERCIAL,32,34
130,2020-09-13,COMERCIAL,549,27
131,2020-12-17,COMERCIAL,19,53
132,2019-03-17,COMERCIAL,7,40
133,2020-04-19,COMERCIAL,45,20
135,2019-01-13,COMERCIAL,142,52
136,2021-05-29,COMERCIAL,1,11
137,2021-07-14,COMERCIAL,4,52
138,2020-09-08,COMERCIAL,48,30
139,2021-11-16,COMERCIAL,339,8
140,2021-03-27,COMERCIAL,332,14
141,2020-09-14,COMERCIAL,246,50
142,2021-09-20,COMERCIAL,19,55
143,2021-11-02,COMERCIAL,15,19
144,2021-06-12,COMERCIAL,314,14
145,2020-09-01,COMERCIAL,57,15
146,2021-12-09,COMERCIAL,3,55
147,2021-08-29,COMERCIAL,524,14
148,2020-03-07,COMERCIAL,532,14
149,2020-08-23,COMERCIAL,10,43
150,2021-07-13,COMERCIAL,384,23
151,2020-07-21,COMERCIAL,468,8
152,2021-09-15,COMERCIAL,1,39
153,2020-03-04,COMERCIAL,361,23
154,2020-12-20,COMERCIAL,453,27
155,2021-02-26,COMERCIAL,36,43
156,2020-11-15,COMERCIAL,170,14
157,2021-07-05,COMERCIAL,6,55
158,2021-07-22,COMERCIAL,45,17
159,2019-01-28,COMERCIAL,41,56
160,2020-07-27,COMERCIAL,96,16
161,2020-09-19,COMERCIAL,1,21
162,2021-04-15,COMERCIAL,99,17
163,2021-09-10,COMERCIAL,94,30
164,2021-09-29,COMERCIAL,50,35
165,2020-10-14,COMERCIAL,199,22
166,2020-04-04,COMERCIAL,6,15
167,2020-09-28,COMERCIAL,30,58
169,2019-01-24,COMERCIAL,27,35
170,2020-03-05,COMERCIAL,288,22
171,2020-09-10,COMERCIAL,18,21
172,2021-06-14,COMERCIAL,28,37
173,2021-09-10,COMERCIAL,9,21
174,2021-07-18,COMERCIAL,304,28
175,2021-09-14,COMERCIAL,27,0
176,2020-03-20,COMERCIAL,3,40
177,2019-01-24,COMERCIAL,28,54
178,2019-03-17,COMERCIAL,350,3
179,2020-10-11,COMERCIAL,2,24
180,2021-05-02,COMERCIAL,615,56
181,2020-09-23,COMERCIAL,316,47
182,2021-07-23,COMERCIAL,432,8
183,2019-06-17,COMERCIAL,22,50
184,2019-01-17,COMERCIAL,122,57
185,2021-01-20,COMERCIAL,446,28
186,2020-02-28,COMERCIAL,4,25
187,2021-10-22,COMERCIAL,99,16
188,2021-11-28,COMERCIAL,3,26
189,2021-10-14,COMERCIAL,72,34
191,2020-12-11,COMERCIAL,7,53
192,2019-03-18,COMERCIAL,20,40
193,2020-04-01,COMERCIAL,82,20
196,2021-05-12,COMERCIAL,12,11
197,2021-07-13,COMERCIAL,37,52
198,2020-09-01,COMERCIAL,58,30
199,2021-11-17,COMERCIAL,316,8
201,2019-11-14,COMERCIAL,2,44
202,2021-09-17,COMERCIAL,13,55
203,2021-11-25,COMERCIAL,15,19
204,2021-06-29,COMERCIAL,367,14
205,2020-09-09,COMERCIAL,66,15
206,2021-12-14,COMERCIAL,10,55
207,2021-09-04,COMERCIAL,164,14
208,2020-03-15,COMERCIAL,35,14
209,2020-08-25,COMERCIAL,14,43
210,2021-07-08,COMERCIAL,244,23
211,2020-07-28,COMERCIAL,489,8
212,2021-09-27,COMERCIAL,3,39
213,2020-03-20,COMERCIAL,10,23
214,2020-12-13,COMERCIAL,503,27
215,2021-02-25,COMERCIAL,20,43
216,2020-11-21,COMERCIAL,269,14
217,2021-07-01,COMERCIAL,23,55
218,2021-07-19,COMERCIAL,65,17
219,2019-01-18,COMERCIAL,40,56
220,2020-07-24,COMERCIAL,124,16
221,2020-09-25,COMERCIAL,4,21
222,2021-04-14,COMERCIAL,2,17
223,2021-09-14,COMERCIAL,62,30
224,2021-09-30,COMERCIAL,37,35
225,2021-01-22,COMERCIAL,327,22
226,2020-04-17,COMERCIAL,56,15
227,2020-09-30,COMERCIAL,16,58
229,2019-01-22,COMERCIAL,48,35
230,2020-03-27,COMERCIAL,433,22
231,2021-03-27,COMERCIAL,5,6
232,2021-06-07,COMERCIAL,34,37
233,2021-09-09,COMERCIAL,1,21
234,2021-07-17,COMERCIAL,305,28
235,2021-09-13,COMERCIAL,12,0
236,2020-03-30,COMERCIAL,14,40
237,2019-01-31,COMERCIAL,5,54
238,2019-03-30,COMERCIAL,302,3
239,2020-10-09,COMERCIAL,213,24
241,2020-09-16,COMERCIAL,513,47
242,2021-07-22,COMERCIAL,397,8
243,2019-06-30,COMERCIAL,8,50
244,2019-01-16,COMERCIAL,33,57
245,2021-01-18,COMERCIAL,460,28
246,2020-02-06,COMERCIAL,24,25
247,2021-10-28,COMERCIAL,14,16
248,2021-11-30,COMERCIAL,1,26
249,2021-10-22,COMERCIAL,267,34
250,2020-09-15,COMERCIAL,375,47
251,2020-12-29,COMERCIAL,9,53
252,2019-03-07,COMERCIAL,35,40
253,2020-04-07,COMERCIAL,20,20
255,2019-01-16,COMERCIAL,199,52
256,2021-05-13,COMERCIAL,4,11
257,2021-07-12,COMERCIAL,21,52
258,2020-09-07,COMERCIAL,28,30
259,2021-11-15,COMERCIAL,330,8
260,2021-05-08,COMERCIAL,507,14
261,2019-06-24,COMERCIAL,2,44
262,2021-09-16,COMERCIAL,3,55
263,2021-11-24,COMERCIAL,22,19
264,2021-06-11,COMERCIAL,321,14
265,2020-09-08,COMERCIAL,76,15
266,2021-12-04,COMERCIAL,30,55
267,2021-09-07,COMERCIAL,347,14
268,2020-03-11,COMERCIAL,261,14
269,2020-08-27,COMERCIAL,14,43
