,FECHA,USO,CONSUMO,ID_CONTADOR
0,2021-09-01,COMERCIAL,2,19
1,2021-06-09,COMERCIAL,93,18
2,2021-06-18,COMERCIAL,205,79
3,2021-11-22,COMERCIAL,31,0
4,2021-11-19,COMERCIAL,44,66
5,2021-06-09,COMERCIAL,153,7
6,2021-11-22,COMERCIAL,96,37
7,2021-06-30,COMERCIAL,2,9
8,2021-11-12,COMERCIAL,159,78
9,2021-06-17,COMERCIAL,132,29
10,2021-11-19,COMERCIAL,34,69
11,2021-06-20,COMERCIAL,1,6
12,2021-07-28,COMERCIAL,271,30
13,2021-06-29,COMERCIAL,187,4
14,2021-03-03,COMERCIAL,19,8
15,2021-09-24,COMERCIAL,49,14
16,2021-06-09,COMERCIAL,61,31
17,2019-10-22,COMERCIAL,376,20
18,2021-06-16,COMERCIAL,106,17
19,2021-11-20,COMERCIAL,354,55
20,2021-06-17,COMERCIAL,418,15
21,2021-11-12,COMERCIAL,565,89
22,2021-10-24,COMERCIAL,14,25
23,2021-09-29,COMERCIAL,344,22
24,2021-11-11,COMERCIAL,165,42
25,2021-11-22,COMERCIAL,59,76
27,2021-06-08,COMERCIAL,57,12
28,2021-09-23,COMERCIAL,12,23
29,2021-10-22,COMERCIAL,415,26
30,2021-11-11,COMERCIAL,50,65
31,2021-06-08,COMERCIAL,130,3
32,2021-11-15,COMERCIAL,20,41
33,2021-06-29,COMERCIAL,125,13
34,2021-11-12,COMERCIAL,3,43
35,2021-11-15,COMERCIAL,159,70
36,2021-11-11,COMERCIAL,125,63
37,2021-09-24,COMERCIAL,21,24
38,2021-11-22,COMERCIAL,7,74
40,2021-11-22,COMERCIAL,70,35
41,2021-11-15,COMERCIAL,7,91
42,2021-06-16,COMERCIAL,149,5
43,2021-06-22,COMERCIAL,71,11
44,2021-11-23,COMERCIAL,25,81
45,2021-12-03,COMERCIAL,320,44
46,2021-11-16,COMERCIAL,219,72
47,2021-06-19,COMERCIAL,73,10
48,2021-10-10,COMERCIAL,2,19
49,2021-06-08,COMERCIAL,126,18
50,2021-06-19,COMERCIAL,444,79
51,2021-11-23,COMERCIAL,26,0
52,2021-11-19,COMERCIAL,71,62
53,2021-06-10,COMERCIAL,106,7
54,2021-11-23,COMERCIAL,166,37
55,2021-06-26,COMERCIAL,2,9
56,2021-11-13,COMERCIAL,240,78
57,2021-06-22,COMERCIAL,33,29
58,2021-11-15,COMERCIAL,58,69
59,2021-06-22,COMERCIAL,4,6
60,2021-07-23,COMERCIAL,182,30
