,FECHA,USO,CONSUMO,ID_CONTADOR
0,2021-06-27,COMERCIAL,1,153
1,2021-06-18,COMERCIAL,50,955
2,2021-06-16,COMERCIAL,17,678
3,2021-06-16,COMERCIAL,30,901
4,2021-06-16,COMERCIAL,36,928
5,2021-06-16,COMERCIAL,22,28
6,2021-06-28,COMERCIAL,8,476
7,2021-06-29,COMERCIAL,8,777
8,2021-06-09,COMERCIAL,9,817
9,2021-06-21,COMERCIAL,50,57
10,2020-02-09,COMERCIAL,32,468
11,2021-06-17,COMERCIAL,8,548
12,2021-06-16,COMERCIAL,91,787
13,2021-06-30,COMERCIAL,648,860
14,2021-06-29,COMERCIAL,175,760
15,2021-06-17,COMERCIAL,352,981
16,2021-06-29,COMERCIAL,169,784
17,2021-06-14,COMERCIAL,94,898
18,2021-06-18,COMERCIAL,4,834
19,2021-07-30,COMERCIAL,310,1079
20,2021-06-14,COMERCIAL,36,995
21,2021-06-17,COMERCIAL,3,1011
22,2021-06-20,COMERCIAL,1,683
23,2021-06-21,COMERCIAL,26,1081
24,2021-06-16,COMERCIAL,112,94
25,2021-06-17,COMERCIAL,35,948
26,2021-06-16,COMERCIAL,306,656
27,2021-06-09,COMERCIAL,77,933
28,2021-06-10,COMERCIAL,21,694
29,2021-06-22,COMERCIAL,79,979
30,2021-06-30,COMERCIAL,19,967
31,2021-06-28,COMERCIAL,66,639
32,2021-06-16,COMERCIAL,10,1005
33,2021-06-17,COMERCIAL,153,840
35,2021-06-16,COMERCIAL,1,137
36,2021-06-09,COMERCIAL,6,270
37,2021-06-25,COMERCIAL,3,695
38,2021-06-28,COMERCIAL,283,93
39,2021-06-28,COMERCIAL,92,880
40,2021-06-16,COMERCIAL,59,56
41,2021-06-22,COMERCIAL,7,703
42,2021-06-30,COMERCIAL,200,765
45,2021-06-25,COMERCIAL,10,568
46,2021-06-16,COMERCIAL,1,13
47,2021-06-16,COMERCIAL,11,50
48,2021-06-17,COMERCIAL,15,667
49,2021-06-16,COMERCIAL,75,399
50,2021-06-17,COMERCIAL,134,874
51,2021-06-16,COMERCIAL,269,191
52,2021-06-17,COMERCIAL,34,133
53,2021-06-29,COMERCIAL,43,929
54,2021-06-16,COMERCIAL,100,850
55,2021-06-29,COMERCIAL,206,96
56,2021-06-25,COMERCIAL,99,769
57,2021-06-21,COMERCIAL,136,872
58,2021-06-09,COMERCIAL,15,433
59,2021-06-29,COMERCIAL,60,771
60,2021-06-30,COMERCIAL,21,153
61,2021-06-19,COMERCIAL,253,143
62,2021-06-16,COMERCIAL,49,524
63,2021-06-16,COMERCIAL,42,138
64,2021-06-17,COMERCIAL,21,928
65,2021-06-16,COMERCIAL,10,882
66,2021-06-29,COMERCIAL,47,476
67,2021-06-26,COMERCIAL,3,943
68,2021-06-09,COMERCIAL,32,177
69,2021-06-22,COMERCIAL,55,57
70,2020-02-29,COMERCIAL,26,468
71,2021-06-17,COMERCIAL,63,844
72,2021-06-16,COMERCIAL,19,80
73,2021-06-28,COMERCIAL,74,923
74,2021-06-28,COMERCIAL,102,448
75,2021-06-17,COMERCIAL,33,496
76,2021-06-29,COMERCIAL,53,972
77,2021-06-15,COMERCIAL,123,898
78,2021-06-18,COMERCIAL,25,810
79,2021-07-31,COMERCIAL,298,1079
