,FECHA,USO,CONSUMO,ID_CONTADOR
0,2021-10-02,COMERCIAL,4,8
1,2021-11-25,COMERCIAL,116,28
2,2021-02-26,COMERCIAL,15,21
3,2020-09-12,COMERCIAL,1,11
4,2021-02-05,COMERCIAL,69,23
5,2020-10-09,COMERCIAL,68,29
6,2021-12-03,COMERCIAL,1,15
8,2020-09-16,COMERCIAL,397,12
9,2020-09-15,COMERCIAL,24,8
11,2020-02-28,COMERCIAL,1,1
13,2020-09-27,COMERCIAL,287,19
14,2020-09-13,COMERCIAL,17,31
15,2020-09-10,COMERCIAL,467,27
16,2020-07-31,COMERCIAL,28,35
17,2021-01-28,COMERCIAL,154,11
18,2020-08-22,COMERCIAL,323,19
20,2021-07-14,COMERCIAL,52,28
21,2021-04-18,COMERCIAL,1,1
22,2019-04-04,COMERCIAL,1,14
23,2020-03-10,COMERCIAL,24,35
24,2021-01-28,COMERCIAL,16,32
25,2020-09-10,COMERCIAL,90,31
26,2021-10-11,COMERCIAL,74,31
28,2021-12-13,COMERCIAL,435,18
29,2020-03-05,COMERCIAL,109,33
30,2020-09-02,COMERCIAL,304,13
31,2020-04-15,COMERCIAL,274,15
32,2021-01-04,COMERCIAL,19,29
33,2020-09-12,COMERCIAL,223,27
34,2021-07-23,COMERCIAL,5,13
35,2021-01-05,COMERCIAL,138,21
38,2020-09-08,COMERCIAL,3,11
39,2020-09-07,COMERCIAL,32,35
40,2020-09-14,COMERCIAL,52,12
41,2020-08-02,COMERCIAL,284,7
42,2020-10-28,COMERCIAL,90,38
43,2021-08-02,COMERCIAL,9,24
44,2020-09-15,COMERCIAL,347,9
45,2021-01-28,COMERCIAL,258,25
46,2021-07-20,COMERCIAL,10,20
47,2020-12-29,COMERCIAL,44,34
48,2020-09-08,COMERCIAL,262,18
49,2021-01-07,COMERCIAL,293,19
50,2020-09-30,COMERCIAL,1,1
51,2020-07-31,COMERCIAL,53,11
52,2020-07-17,COMERCIAL,31,24
53,2021-09-06,COMERCIAL,169,26
54,2021-11-12,COMERCIAL,40,17
55,2019-07-22,COMERCIAL,106,8
56,2021-12-08,COMERCIAL,44,26
57,2020-11-18,COMERCIAL,187,22
58,2021-11-12,COMERCIAL,14,8
59,2020-10-01,COMERCIAL,7,21
60,2021-10-06,COMERCIAL,12,8
61,2021-11-24,COMERCIAL,17,28
62,2021-03-03,COMERCIAL,7,21
64,2021-02-02,COMERCIAL,15,23
65,2020-10-11,COMERCIAL,12,29
66,2021-12-10,COMERCIAL,516,18
68,2020-09-24,COMERCIAL,415,12
69,2020-09-15,COMERCIAL,23,18
70,2021-01-14,COMERCIAL,26,26
71,2020-01-21,COMERCIAL,1,1
72,2020-12-12,COMERCIAL,472,18
73,2020-09-22,COMERCIAL,282,19
74,2019-11-27,COMERCIAL,27,17
75,2020-09-21,COMERCIAL,20,20
76,2020-08-03,COMERCIAL,39,35
77,2021-01-29,COMERCIAL,116,11
78,2020-08-20,COMERCIAL,272,19
80,2021-07-12,COMERCIAL,58,28
81,2021-03-28,COMERCIAL,1,1
82,2019-04-17,COMERCIAL,1,14
83,2020-03-04,COMERCIAL,41,35
