FECHA,SUM_CONSUMO
2019-1,17070075
2019-2,17121876
2019-3,20112694
2019-4,20180899
2019-5,22448593
2019-6,21608247
2019-7,24824213
2019-8,20028102
2019-9,24035646
2019-10,28815702
2019-11,28501115
2019-12,28957654
2020-1,32437227
2020-2,37468820
2020-3,29504210
2020-4,11440030
2020-5,27027303
2020-6,32554212
2020-7,34572225
2020-8,31942278
2020-9,38261960
2020-10,42397231
2020-11,41690333
2020-12,42413157
2021-1,41807253
2021-2,40688460
2021-3,45527698
2021-4,42692453
2021-5,44200498
2021-6,44909523
2021-7,45857483
2021-8,36921860
2021-9,45064280
2021-10,47440297
2021-11,48637937
2021-12,20914022
