FECHA,SUM_CONSUMO
2019-1,216762
2019-2,191636
2019-3,217649
2019-4,196615
2019-5,223313
2019-6,203216
2019-7,217182
2019-8,184085
2019-9,215285
2019-10,238225
2019-11,231264
2019-12,209526
2020-1,215770
2020-2,220960
2020-3,141384
2020-4,72864
2020-5,139093
2020-6,222838
2020-7,207939
2020-8,241170
2020-9,241714
2020-10,227182
2020-11,194905
2020-12,236833
2021-1,198628
2021-2,187554
2021-3,234360
2021-4,228137
2021-5,240249
2021-6,233358
2021-7,243081
2021-8,179785
2021-9,219649
2021-10,235356
2021-11,227182
2021-12,100429
