FECHA,SUM_CONSUMO
2019-1,2508728
2019-2,2315868
2019-3,2571567
2019-4,2515661
2019-5,2701945
2019-6,2518210
2019-7,2695595
2019-8,2266625
2019-9,2619026
2019-10,2926189
2019-11,2793302
2019-12,2604743
2020-1,2788947
2020-2,4827854
2020-3,3542899
2020-4,2003227
2020-5,3483239
2020-6,4400818
2020-7,4394502
2020-8,4304788
2020-9,4853014
2020-10,5022267
2020-11,4657819
2020-12,4786190
2021-1,4467289
2021-2,4369399
2021-3,4953959
2021-4,4703314
2021-5,4913347
2021-6,4827329
2021-7,5111932
2021-8,4216139
2021-9,4862189
2021-10,4995431
2021-11,4879639
2021-12,2105210
