FECHA,SUM_CONSUMO
2019-1,266101
2019-2,262437
2019-3,289649
2019-4,255843
2019-5,275813
2019-6,253100
2019-7,270843
2019-8,192034
2019-9,287197
2019-10,305950
2019-11,267036
2019-12,257418
2020-1,296998
2020-2,289016
2020-3,291363
2020-4,242535
2020-5,296324
2020-6,308819
2020-7,316719
2020-8,247886
2020-9,310623
2020-10,308482
2020-11,308373
2020-12,328502
2021-1,329444
2021-2,319169
2021-3,357505
2021-4,331984
2021-5,345342
2021-6,343772
2021-7,353366
2021-8,287839
2021-9,332243
2021-10,347774
2021-11,323563
2021-12,137229
