FECHA,SUM_CONSUMO
2019-1,924600
2019-2,893978
2019-3,1031217
2019-4,1053311
2019-5,1221761
2019-6,1505881
2019-7,1627785
2019-8,1199981
2019-9,1589562
2019-10,1735164
2019-11,1693470
2019-12,1653747
2020-1,1820620
2020-2,2181948
2020-3,1735489
2020-4,1105450
2020-5,1694309
2020-6,2047215
2020-7,2122429
2020-8,1574926
2020-9,1946873
2020-10,2159845
2020-11,2195008
2020-12,2342681
2021-1,2256009
2021-2,2182337
2021-3,2490940
2021-4,2294740
2021-5,2368571
2021-6,2334030
2021-7,2438153
2021-8,1866202
2021-9,2442086
2021-10,2622608
2021-11,2753477
2021-12,1165269
