FECHA,SUM_CONSUMO
2019-1,2155903
2019-2,1959098
2019-3,2193447
2019-4,2079226
2019-5,2256903
2019-6,2029799
2019-7,2156420
2019-8,1677776
2019-9,2111649
2019-10,2313239
2019-11,2185293
2019-12,2153370
2020-1,2241449
2020-2,2993784
2020-3,2189804
2020-4,854137
2020-5,2239400
2020-6,2636783
2020-7,2810956
2020-8,2523406
2020-9,2933331
2020-10,3074374
2020-11,2944584
2020-12,3141031
2021-1,3060918
2021-2,3041152
2021-3,3390095
2021-4,3151873
2021-5,3266032
2021-6,3116919
2021-7,3284130
2021-8,2472578
2021-9,3060606
2021-10,3082478
2021-11,3140949
2021-12,1308322
