FECHA,SUM_CONSUMO
2019-1,14623522
2019-2,13441261
2019-3,15604990
2019-4,15468075
2019-5,16907376
2019-6,15908669
2019-7,17405102
2019-8,13997135
2019-9,16355288
2019-10,18653969
2019-11,18435906
2019-12,18605559
2020-1,19393736
2020-2,20579092
2020-3,16553258
2020-4,9792345
2020-5,16021829
2020-6,19505767
2020-7,18956190
2020-8,18808670
2020-9,20944144
2020-10,22125890
2020-11,21114583
2020-12,22303945
2021-1,21418925
2021-2,20798404
2021-3,23450605
2021-4,22306568
2021-5,22818913
2021-6,22249160
2021-7,23020477
2021-8,18718442
2021-9,21628919
2021-10,22093685
2021-11,21824311
2021-12,9621558
