FECHA,SUM_CONSUMO
2019-1,413607
2019-2,374956
2019-3,412841
2019-4,463783
2019-5,711982
2019-6,747370
2019-7,813253
2019-8,625818
2019-9,798711
2019-10,1024194
2019-11,1104476
2019-12,1169828
2020-1,1214333
2020-2,1337778
2020-3,1092918
2020-4,754384
2020-5,1157388
2020-6,1356435
2020-7,1406734
2020-8,1180166
2020-9,1392576
2020-10,1562743
2020-11,1497506
2020-12,1530239
2021-1,1549526
2021-2,1497938
2021-3,1694740
2021-4,1539661
2021-5,1547685
2021-6,1520531
2021-7,1515818
2021-8,1119521
2021-9,1388174
2021-10,1490838
2021-11,1514488
2021-12,656549
