FECHA,SUM_CONSUMO
2019-1,16247
2019-2,17342
2019-3,20593
2019-4,17133
2019-5,44504
2019-6,102862
2019-7,101244
2019-8,64869
2019-9,91431
2019-10,213452
2019-11,253576
2019-12,303012
2020-1,329539
2020-2,411696
2020-3,353716
2020-4,226958
2020-5,338598
2020-6,367593
2020-7,402658
2020-8,337972
2020-9,411991
2020-10,447955
2020-11,423690
2020-12,455696
2021-1,448129
2021-2,418020
2021-3,481118
2021-4,454617
2021-5,478267
2021-6,453020
2021-7,470577
2021-8,348520
2021-9,451850
2021-10,481830
2021-11,510895
2021-12,224115
