FECHA,SUM_CONSUMO
2019-1,688671
2019-2,600193
2019-3,677718
2019-4,656701
2019-5,741336
2019-6,661214
2019-7,721034
2019-8,536256
2019-9,691324
2019-10,791661
2019-11,762509
2019-12,678585
2020-1,771514
2020-2,788872
2020-3,661264
2020-4,158594
2020-5,653388
2020-6,723278
2020-7,746810
2020-8,620500
2020-9,756263
2020-10,806175
2020-11,803393
2020-12,839430
2021-1,801912
2021-2,812422
2021-3,889958
2021-4,789354
2021-5,799774
2021-6,767229
2021-7,812078
2021-8,657625
2021-9,821624
2021-10,835821
2021-11,824840
2021-12,351331
