FECHA,SUM_CONSUMO
2019-1,2120452
2019-2,1921565
2019-3,2138945
2019-4,2077668
2019-5,2263568
2019-6,2025368
2019-7,2224442
2019-8,1699232
2019-9,2066126
2019-10,2346975
2019-11,2236272
2019-12,2195034
2020-1,2318217
2020-2,2479523
2020-3,1875072
2020-4,1080998
2020-5,1761748
2020-6,2329420
2020-7,2444022
2020-8,2223179
2020-9,2562916
2020-10,2647593
2020-11,2488718
2020-12,2733907
2021-1,2592583
2021-2,2552824
2021-3,2877107
2021-4,2780715
2021-5,2813282
2021-6,2747429
2021-7,2750695
2021-8,2227689
2021-9,2669929
2021-10,2785965
2021-11,2839361
2021-12,1264953
