FECHA,SUM_CONSUMO
2019-1,68222
2019-2,66320
2019-3,78306
2019-4,70130
2019-5,78475
2019-6,82086
2019-7,68559
2019-8,55800
2019-9,81038
2019-10,77204
2019-11,64912
2019-12,58654
2020-1,65457
2020-2,129744
2020-3,111343
2020-4,73079
2020-5,80957
2020-6,105083
2020-7,121826
2020-8,115602
2020-9,137042
2020-10,143040
2020-11,133133
2020-12,145786
2021-1,133419
2021-2,133246
2021-3,141502
2021-4,144586
2021-5,153061
2021-6,145972
2021-7,143757
2021-8,105851
2021-9,140972
2021-10,147034
2021-11,149213
2021-12,65538
