FECHA,SUM_CONSUMO
2019-1,3126882
2019-2,2948585
2019-3,3239361
2019-4,3121222
2019-5,3438139
2019-6,3128236
2019-7,3399663
2019-8,2315115
2019-9,3073773
2019-10,3358897
2019-11,3215782
2019-12,3129834
2020-1,3375831
2020-2,3471324
2020-3,2826507
2020-4,1159636
2020-5,2800396
2020-6,3408064
2020-7,3419176
2020-8,2810027
2020-9,3533939
2020-10,3579607
2020-11,3470144
2020-12,3709243
2021-1,3490470
2021-2,3461283
2021-3,3954238
2021-4,3621446
2021-5,3700939
2021-6,3635657
2021-7,3651335
2021-8,2603997
2021-9,3525447
2021-10,3538809
2021-11,3595207
2021-12,1548973
