FECHA,SUM_CONSUMO
2019-1,419427
2019-2,386766
2019-3,419565
2019-4,399961
2019-5,438495
2019-6,408842
2019-7,477953
2019-8,361499
2019-9,442378
2019-10,490006
2019-11,551759
2019-12,682104
2020-1,789126
2020-2,893598
2020-3,704268
2020-4,322974
2020-5,623581
2020-6,695432
2020-7,764700
2020-8,573113
2020-9,770041
2020-10,844212
2020-11,816558
2020-12,785392
2021-1,795067
2021-2,841854
2021-3,961826
2021-4,886248
2021-5,951332
2021-6,952958
2021-7,962666
2021-8,710613
2021-9,994141
2021-10,1031338
2021-11,1147309
2021-12,457359
