FECHA,SUM_CONSUMO
2019-1,543641
2019-2,560389
2019-3,621396
2019-4,588389
2019-5,668354
2019-6,689051
2019-7,792420
2019-8,579732
2019-9,791169
2019-10,953476
2019-11,1029371
2019-12,1096670
2020-1,1212780
2020-2,1550441
2020-3,1159448
2020-4,699254
2020-5,1214106
2020-6,1343932
2020-7,1242660
2020-8,1232334
2020-9,1541149
2020-10,1700494
2020-11,2227639
2020-12,3146902
2021-1,3595828
2021-2,3496897
2021-3,3926177
2021-4,3691514
2021-5,3585606
2021-6,3454584
2021-7,3480333
2021-8,2691373
2021-9,3318357
2021-10,3492462
2021-11,3652669
2021-12,1585824
