,FECHA,USO,CONSUMO,ID_CONTADOR
5,2019-01-13,DOMÈSTIC,1141,948
33,2019-01-06,DOMÈSTIC,893,1343
220,2019-01-06,DOMÈSTIC,11017,1337
339,2019-01-13,DOMÈSTIC,976,766
408,2019-01-13,DOMÈSTIC,931,1393
475,2019-01-01,DOMÈSTIC,3770,960
491,2019-01-01,DOMÈSTIC,1101,1362
753,2019-01-27,DOMÈSTIC,8734,1327
826,2019-01-27,DOMÈSTIC,2458,1385
909,2019-02-27,DOMÈSTIC,2304,1442
911,2019-01-05,DOMÈSTIC,1176,1362
1053,2019-01-13,DOMÈSTIC,3494,1327
1073,2019-02-17,DOMÈSTIC,936,815
1344,2019-01-10,DOMÈSTIC,2112,1216
1374,2019-01-15,DOMÈSTIC,3325,1323
1384,2019-01-03,DOMÈSTIC,895,1273
1458,2019-02-12,DOMÈSTIC,11824,740
1493,2019-02-20,DOMÈSTIC,922,815
1678,2019-03-27,DOMÈSTIC,1240,803
1732,2019-01-15,DOMÈSTIC,923,858
1755,2019-01-08,DOMÈSTIC,1071,1370
1853,2019-02-13,DOMÈSTIC,3161,1104
1869,2019-02-07,DOMÈSTIC,3670,1442
2202,2019-01-24,DOMÈSTIC,923,826
2266,2019-01-15,DOMÈSTIC,911,1296
2273,2019-02-18,DOMÈSTIC,913,815
2433,2019-01-14,DOMÈSTIC,5371,1327
2568,2019-01-16,DOMÈSTIC,1281,604
2576,2019-02-18,DOMÈSTIC,1045,1184
2621,2019-03-23,DOMÈSTIC,3651,801
2633,2019-02-08,DOMÈSTIC,2122,1104
2682,2019-01-10,DOMÈSTIC,973,826
2767,2019-01-18,DOMÈSTIC,967,1395
2856,2019-03-24,DOMÈSTIC,2671,943
3207,2019-01-14,DOMÈSTIC,929,964
3321,2019-02-01,DOMÈSTIC,1242,1303
3401,2019-03-10,DOMÈSTIC,2618,923
3403,2019-01-23,DOMÈSTIC,1994,1115
3415,2019-01-10,DOMÈSTIC,1074,960
3513,2019-01-31,DOMÈSTIC,2515,1327
3514,2019-01-28,DOMÈSTIC,1029,1314
3625,2019-02-16,DOMÈSTIC,1011,251
3641,2019-03-24,DOMÈSTIC,1036,923
3993,2019-01-12,DOMÈSTIC,3257,1327
4007,2019-01-25,DOMÈSTIC,2286,1026
4082,2019-02-05,DOMÈSTIC,891,1266
4122,2019-01-19,DOMÈSTIC,2425,826
4165,2019-02-11,DOMÈSTIC,1397,346
4174,2019-01-21,DOMÈSTIC,953,1314
4279,2019-02-28,DOMÈSTIC,1031,1290
4301,2019-03-24,DOMÈSTIC,2209,899
4465,2019-02-14,DOMÈSTIC,1023,346
4509,2019-02-23,DOMÈSTIC,946,261
4579,2019-02-26,DOMÈSTIC,1059,1290
4585,2019-02-04,DOMÈSTIC,1103,346
4738,2019-03-31,DOMÈSTIC,1653,1416
4774,2019-01-04,DOMÈSTIC,1167,1314
4833,2019-01-07,DOMÈSTIC,5123,1327
4998,2019-02-10,DOMÈSTIC,5403,1555
5321,2019-03-01,DOMÈSTIC,933,899
5349,2019-02-19,DOMÈSTIC,1534,294
5358,2019-02-28,DOMÈSTIC,3222,1555
5440,2019-01-28,DOMÈSTIC,910,1582
5443,2019-01-19,DOMÈSTIC,1696,914
5478,2019-02-27,DOMÈSTIC,923,1555
5503,2019-01-31,DOMÈSTIC,1333,914
5563,2019-01-11,DOMÈSTIC,1242,914
5578,2019-03-11,DOMÈSTIC,949,360
5595,2019-01-06,DOMÈSTIC,918,173
5598,2019-02-23,DOMÈSTIC,1317,1555
5658,2019-02-17,DOMÈSTIC,1040,1555
5662,2019-01-22,DOMÈSTIC,940,782
5707,2019-01-22,DOMÈSTIC,948,1570
5725,2019-02-16,DOMÈSTIC,910,1563
5743,2019-01-12,DOMÈSTIC,954,914
5803,2019-01-02,DOMÈSTIC,1042,914
5818,2019-03-29,DOMÈSTIC,1096,360
5863,2019-01-05,DOMÈSTIC,1410,914
5938,2019-03-18,DOMÈSTIC,907,360
5964,2019-01-03,DOMÈSTIC,940,1556
5992,2019-01-24,DOMÈSTIC,2639,1367
6072,2019-02-09,DOMÈSTIC,1504,312
6118,2019-03-05,DOMÈSTIC,1002,360
6144,2019-01-12,DOMÈSTIC,962,1556
6187,2019-01-04,DOMÈSTIC,904,1581
6298,2019-03-23,DOMÈSTIC,912,360
6307,2019-01-26,DOMÈSTIC,961,1581
6324,2019-01-29,DOMÈSTIC,974,1556
6325,2019-02-21,DOMÈSTIC,4639,1560
6418,2019-03-26,DOMÈSTIC,1059,360
6456,2019-03-16,DOMÈSTIC,1044,1148
6579,2019-01-10,DOMÈSTIC,904,334
6718,2019-03-03,DOMÈSTIC,935,360
6805,2019-02-24,DOMÈSTIC,1016,1560
6851,2019-01-12,DOMÈSTIC,3541,295
6898,2019-03-10,DOMÈSTIC,1243,360
7031,2019-01-11,DOMÈSTIC,1909,295
7138,2019-03-24,DOMÈSTIC,1011,360
7162,2019-01-03,DOMÈSTIC,887,1417
7165,2019-02-07,DOMÈSTIC,2693,1560
7232,2019-03-17,DOMÈSTIC,1292,361
7330,2019-01-01,DOMÈSTIC,1784,166
7343,2019-02-07,DOMÈSTIC,1478,1571
7375,2019-01-24,DOMÈSTIC,1371,960
7410,2019-01-02,DOMÈSTIC,974,199
7421,2019-03-23,DOMÈSTIC,1007,1346
7483,2019-01-17,DOMÈSTIC,1448,914
7530,2019-01-29,DOMÈSTIC,955,199
7543,2019-01-24,DOMÈSTIC,1040,914
7547,2019-01-06,DOMÈSTIC,2912,304
7590,2019-01-12,DOMÈSTIC,932,199
7663,2019-01-23,DOMÈSTIC,1205,914
7710,2019-01-03,DOMÈSTIC,1041,199
7718,2019-01-15,DOMÈSTIC,3164,281
7738,2019-03-04,DOMÈSTIC,1562,806
7770,2019-01-10,DOMÈSTIC,920,199
7773,2019-01-04,DOMÈSTIC,1019,933
7778,2019-01-10,DOMÈSTIC,1459,281
7783,2019-01-10,DOMÈSTIC,1367,914
7815,2019-01-28,DOMÈSTIC,1117,253
7841,2019-03-17,DOMÈSTIC,1264,1052
7843,2019-01-07,DOMÈSTIC,1385,914
7844,2019-01-17,DOMÈSTIC,1005,915
