,FECHA,USO,CONSUMO,ID_CONTADOR
109,2021-01-20,DOMÈSTIC,831,780
113,2021-01-31,DOMÈSTIC,823,202
178,2021-01-27,DOMÈSTIC,2549,2044
234,2021-01-24,DOMÈSTIC,1312,3004
498,2021-01-27,DOMÈSTIC,1686,6280
530,2021-01-30,DOMÈSTIC,737,1212
537,2021-01-31,DOMÈSTIC,735,7594
590,2021-01-30,DOMÈSTIC,849,2693
608,2021-01-25,DOMÈSTIC,1004,6326
672,2021-01-31,DOMÈSTIC,796,3586
729,2021-01-22,DOMÈSTIC,727,3595
855,2021-01-27,DOMÈSTIC,1724,6560
859,2021-01-24,DOMÈSTIC,885,7219
950,2021-01-31,DOMÈSTIC,1022,2693
960,2021-01-23,DOMÈSTIC,888,4125
1010,2021-01-31,DOMÈSTIC,741,1212
1055,2021-01-29,DOMÈSTIC,1017,2652
1163,2021-01-22,DOMÈSTIC,1048,5022
1209,2021-01-27,DOMÈSTIC,1114,3595
1235,2021-01-31,DOMÈSTIC,807,603
1329,2021-01-23,DOMÈSTIC,774,3595
1349,2021-01-31,DOMÈSTIC,889,7373
1415,2021-01-31,DOMÈSTIC,738,3376
1418,2021-02-12,DOMÈSTIC,742,5667
1469,2021-01-29,DOMÈSTIC,781,7373
1499,2021-02-02,DOMÈSTIC,798,2446
1535,2021-01-31,DOMÈSTIC,923,2652
1562,2021-02-23,DOMÈSTIC,756,6011
1609,2021-01-25,DOMÈSTIC,783,780
1631,2021-01-30,DOMÈSTIC,905,2190
1633,2021-01-30,DOMÈSTIC,802,6817
1634,2021-01-31,DOMÈSTIC,801,1259
1729,2021-01-22,DOMÈSTIC,1121,780
1757,2021-01-22,DOMÈSTIC,718,6870
1859,2021-02-02,DOMÈSTIC,706,4071
1932,2021-01-30,DOMÈSTIC,985,3586
1934,2021-01-30,DOMÈSTIC,875,1535
1988,2021-01-30,DOMÈSTIC,739,12315
2048,2021-01-31,DOMÈSTIC,931,12315
2053,2021-01-31,DOMÈSTIC,927,3980
2093,2021-01-30,DOMÈSTIC,1252,2213
2220,2021-01-29,DOMÈSTIC,984,4125
2321,2021-01-23,DOMÈSTIC,778,6988
2340,2021-01-31,DOMÈSTIC,890,4129
2357,2021-01-27,DOMÈSTIC,977,6870
2377,2021-01-31,DOMÈSTIC,809,2298
2471,2021-01-26,DOMÈSTIC,722,6646
2472,2021-01-23,DOMÈSTIC,919,3586
2536,2021-02-02,DOMÈSTIC,714,7466
2601,2021-02-03,DOMÈSTIC,713,5025
2629,2021-01-31,DOMÈSTIC,989,780
2642,2021-02-14,DOMÈSTIC,836,6788
2694,2021-01-31,DOMÈSTIC,845,6459
2815,2021-01-28,DOMÈSTIC,1148,6516
2849,2021-01-26,DOMÈSTIC,897,7373
2896,2021-02-07,DOMÈSTIC,1069,7466
3021,2021-02-02,DOMÈSTIC,737,5025
3110,2021-01-27,DOMÈSTIC,762,1212
3120,2021-01-25,DOMÈSTIC,835,4125
3155,2021-01-30,DOMÈSTIC,1001,2733
3173,2021-01-24,DOMÈSTIC,1191,2213
3180,2021-01-27,DOMÈSTIC,822,6800
3181,2021-01-30,DOMÈSTIC,903,6139
3240,2021-01-21,DOMÈSTIC,987,4125
3241,2021-01-29,DOMÈSTIC,865,2011
3242,2021-02-21,DOMÈSTIC,729,6788
3249,2021-02-21,DOMÈSTIC,735,3999
3328,2021-01-31,DOMÈSTIC,759,4819
3380,2021-02-15,DOMÈSTIC,825,9929
3397,2021-01-23,DOMÈSTIC,842,2298
3432,2021-01-27,DOMÈSTIC,1630,6045
3506,2021-02-03,DOMÈSTIC,719,3526
3509,2021-01-24,DOMÈSTIC,734,7373
3534,2021-01-31,DOMÈSTIC,710,3004
3552,2021-01-26,DOMÈSTIC,2340,6045
3576,2021-02-23,DOMÈSTIC,752,8016
3601,2021-01-30,DOMÈSTIC,758,2011
3612,2021-01-24,DOMÈSTIC,1668,6045
3620,2021-02-17,DOMÈSTIC,868,8877
3639,2021-01-30,DOMÈSTIC,703,6396
3645,2021-02-04,DOMÈSTIC,746,3628
3672,2021-01-23,DOMÈSTIC,2470,6045
3689,2021-01-23,DOMÈSTIC,1068,7373
3732,2021-01-20,DOMÈSTIC,1899,6045
3765,2021-02-01,DOMÈSTIC,757,3628
