,FECHA,USO,CONSUMO,ID_CONTADOR
24,2021-01-28,DOMÈSTIC,934,8898
31,2021-01-29,DOMÈSTIC,1923,9956
32,2021-01-28,DOMÈSTIC,724,2100
55,2020-06-06,DOMÈSTIC,-3,8138
73,2021-01-31,DOMÈSTIC,944,7306
117,2021-01-24,DOMÈSTIC,878,6492
212,2021-01-23,DOMÈSTIC,686,2100
237,2021-01-27,DOMÈSTIC,864,6492
346,2021-01-25,DOMÈSTIC,1209,7204
462,2021-01-28,DOMÈSTIC,1143,1653
466,2021-01-23,DOMÈSTIC,682,1929
477,2021-01-27,DOMÈSTIC,745,2171
480,2021-01-31,DOMÈSTIC,724,6839
559,2021-01-30,DOMÈSTIC,1035,5269
586,2021-01-26,DOMÈSTIC,2354,1929
657,2021-01-24,DOMÈSTIC,1087,2171
660,2021-01-28,DOMÈSTIC,998,7028
681,2021-01-26,DOMÈSTIC,785,4035
697,2021-01-29,DOMÈSTIC,931,9233
706,2021-01-27,DOMÈSTIC,1512,1929
768,2021-01-28,DOMÈSTIC,760,9126
799,2021-01-23,DOMÈSTIC,1917,5269
817,2021-01-26,DOMÈSTIC,733,5494
820,2021-01-30,DOMÈSTIC,787,9384
834,2021-01-25,DOMÈSTIC,2272,9806
859,2021-01-25,DOMÈSTIC,1200,5269
885,2021-01-30,DOMÈSTIC,723,6596
949,2021-01-31,DOMÈSTIC,907,3155
1039,2021-01-27,DOMÈSTIC,853,5269
1071,2021-01-29,DOMÈSTIC,702,2561
1196,2021-01-21,DOMÈSTIC,693,10408
1275,2021-01-30,DOMÈSTIC,761,1193
1305,2021-01-31,DOMÈSTIC,761,8195
1340,2021-01-17,DOMÈSTIC,811,16714
1460,2021-01-10,DOMÈSTIC,827,16714
1603,2021-01-26,DOMÈSTIC,929,7038
1633,2021-01-30,DOMÈSTIC,848,8636
1657,2021-01-27,DOMÈSTIC,867,9233
1666,2021-01-29,DOMÈSTIC,1434,7012
1676,2021-01-23,DOMÈSTIC,1209,10408
1760,2021-01-22,DOMÈSTIC,1521,5396
1769,2021-01-31,DOMÈSTIC,893,3902
1777,2021-01-24,DOMÈSTIC,1242,5494
1780,2021-01-23,DOMÈSTIC,821,9384
1864,2021-01-26,DOMÈSTIC,708,4766
1891,2021-02-21,DOMÈSTIC,706,1203
1996,2021-01-25,DOMÈSTIC,696,2668
2040,2021-01-24,DOMÈSTIC,1086,10976
2046,2021-01-29,DOMÈSTIC,745,5021
2086,2021-01-31,DOMÈSTIC,704,7012
2120,2021-01-26,DOMÈSTIC,890,5396
2170,2021-01-31,DOMÈSTIC,682,10578
2216,2021-01-24,DOMÈSTIC,815,5311
2261,2021-02-13,DOMÈSTIC,684,10453
2310,2021-01-28,DOMÈSTIC,1509,10903
2326,2021-01-28,DOMÈSTIC,781,10133
2327,2021-02-14,DOMÈSTIC,782,3990
2414,2021-01-22,DOMÈSTIC,698,11234
2417,2021-01-30,DOMÈSTIC,890,3136
2424,2021-02-02,DOMÈSTIC,883,10044
2510,2021-01-30,DOMÈSTIC,1169,10922
2535,2021-01-21,DOMÈSTIC,789,1193
2715,2021-01-27,DOMÈSTIC,1269,3077
