,FECHA,USO,CONSUMO,ID_CONTADOR
18,2019-01-13,DOMÈSTIC,791,1138
109,2019-01-13,DOMÈSTIC,972,687
188,2019-01-13,DOMÈSTIC,1146,490
201,2019-02-03,DOMÈSTIC,877,784
281,2019-02-04,DOMÈSTIC,787,564
448,2019-02-03,DOMÈSTIC,841,619
451,2019-02-27,DOMÈSTIC,1499,1181
608,2019-01-01,DOMÈSTIC,963,744
655,2019-02-10,DOMÈSTIC,898,773
869,2019-01-09,DOMÈSTIC,1081,663
880,2019-02-24,DOMÈSTIC,815,614
928,2019-02-10,DOMÈSTIC,862,776
1264,2019-03-03,DOMÈSTIC,1398,1023
1386,2019-02-17,DOMÈSTIC,805,441
1442,2019-01-02,DOMÈSTIC,903,1175
1474,2019-02-24,DOMÈSTIC,2042,676
1556,2019-01-01,DOMÈSTIC,996,1056
1581,2019-02-17,DOMÈSTIC,865,907
1623,2019-02-27,DOMÈSTIC,1004,620
1633,2019-02-01,DOMÈSTIC,816,1129
1831,2019-02-28,DOMÈSTIC,2007,1181
2093,2019-02-09,DOMÈSTIC,831,499
2477,2019-02-22,DOMÈSTIC,1245,1196
2597,2019-02-08,DOMÈSTIC,1383,1196
2657,2019-02-03,DOMÈSTIC,1150,1196
2699,2019-03-24,DOMÈSTIC,1206,1035
2717,2019-02-19,DOMÈSTIC,1473,1196
2744,2019-01-28,DOMÈSTIC,996,606
2777,2019-02-21,DOMÈSTIC,985,1196
2823,2019-02-26,DOMÈSTIC,2996,703
2837,2019-02-24,DOMÈSTIC,982,1196
2871,2019-01-12,DOMÈSTIC,882,686
2897,2019-02-06,DOMÈSTIC,1430,1196
2947,2019-01-19,DOMÈSTIC,984,1162
3021,2019-02-25,DOMÈSTIC,853,1037
3073,2019-02-02,DOMÈSTIC,899,1129
3081,2019-02-25,DOMÈSTIC,836,940
3253,2019-02-09,DOMÈSTIC,1103,572
3377,2019-02-01,DOMÈSTIC,822,1196
3384,2019-03-23,DOMÈSTIC,798,209
3436,2019-02-20,DOMÈSTIC,813,822
3437,2019-02-05,DOMÈSTIC,1487,1196
3557,2019-02-09,DOMÈSTIC,1021,1196
