,FECHA,USO,CONSUMO,ID_CONTADOR
0,2019-07-22,DOMÈSTIC,2676,239
21,2019-01-06,DOMÈSTIC,3346,163
32,2019-02-09,DOMÈSTIC,3060,164
35,2019-07-18,DOMÈSTIC,3314,209
49,2019-02-04,DOMÈSTIC,1184,34
54,2019-01-22,DOMÈSTIC,3740,113
55,2019-06-28,DOMÈSTIC,1158,74
60,2019-07-12,DOMÈSTIC,3932,239
70,2019-03-17,DOMÈSTIC,1231,171
81,2019-01-14,DOMÈSTIC,1440,163
92,2019-02-18,DOMÈSTIC,1789,164
95,2019-07-02,DOMÈSTIC,6666,209
109,2019-02-12,DOMÈSTIC,1671,34
114,2019-01-16,DOMÈSTIC,2660,113
115,2019-06-28,DOMÈSTIC,1267,35
120,2019-07-02,DOMÈSTIC,1363,239
141,2019-01-27,DOMÈSTIC,3190,163
152,2019-02-11,DOMÈSTIC,2019,164
155,2019-07-06,DOMÈSTIC,8563,209
169,2019-02-03,DOMÈSTIC,1531,34
174,2019-01-06,DOMÈSTIC,4210,113
180,2019-07-21,DOMÈSTIC,1779,239
190,2019-03-12,DOMÈSTIC,1426,171
195,2019-07-13,DOMÈSTIC,1413,54
205,2020-02-29,DOMÈSTIC,12163,92
212,2019-02-17,DOMÈSTIC,1788,164
215,2019-07-24,DOMÈSTIC,7050,209
223,2019-06-29,DOMÈSTIC,2051,225
229,2019-02-06,DOMÈSTIC,1205,34
234,2019-01-03,DOMÈSTIC,3790,113
235,2019-06-24,DOMÈSTIC,1839,74
240,2019-07-25,DOMÈSTIC,1588,239
272,2019-02-20,DOMÈSTIC,1345,164
275,2019-07-21,DOMÈSTIC,7671,209
289,2019-02-09,DOMÈSTIC,1453,34
294,2019-01-14,DOMÈSTIC,3770,113
300,2019-07-03,DOMÈSTIC,3312,239
321,2019-01-05,DOMÈSTIC,1501,163
332,2019-02-24,DOMÈSTIC,2632,164
335,2019-07-05,DOMÈSTIC,6822,209
349,2019-02-17,DOMÈSTIC,1301,34
354,2019-01-10,DOMÈSTIC,2870,113
381,2019-01-26,DOMÈSTIC,1716,163
392,2019-02-15,DOMÈSTIC,1714,164
409,2019-02-18,DOMÈSTIC,1567,34
414,2019-01-12,DOMÈSTIC,4860,113
441,2019-01-07,DOMÈSTIC,1752,163
452,2019-02-22,DOMÈSTIC,1533,164
469,2019-02-01,DOMÈSTIC,1180,34
474,2019-01-30,DOMÈSTIC,3610,113
501,2019-01-19,DOMÈSTIC,1690,163
512,2019-02-28,DOMÈSTIC,1635,164
529,2019-02-14,DOMÈSTIC,2184,34
530,2019-02-27,DOMÈSTIC,1209,146
534,2019-01-17,DOMÈSTIC,2700,113
535,2019-06-30,DOMÈSTIC,2428,74
540,2019-07-04,DOMÈSTIC,1482,239
561,2019-01-13,DOMÈSTIC,2566,163
572,2019-02-02,DOMÈSTIC,2339,164
583,2019-06-30,DOMÈSTIC,1667,181
594,2019-01-13,DOMÈSTIC,5530,113
595,2019-06-23,DOMÈSTIC,1461,74
600,2019-07-10,DOMÈSTIC,1760,239
612,2019-05-29,DOMÈSTIC,1363,201
615,2019-07-29,DOMÈSTIC,1812,54
621,2019-01-12,DOMÈSTIC,1889,163
632,2019-02-14,DOMÈSTIC,1312,164
649,2019-02-11,DOMÈSTIC,1823,34
654,2019-01-07,DOMÈSTIC,3280,113
660,2019-07-15,DOMÈSTIC,1921,239
681,2019-01-20,DOMÈSTIC,2672,163
692,2019-02-03,DOMÈSTIC,2669,164
709,2019-02-20,DOMÈSTIC,1492,34
714,2019-01-29,DOMÈSTIC,3080,113
720,2019-07-08,DOMÈSTIC,2367,239
749,2019-06-30,DOMÈSTIC,1650,48
755,2019-07-13,DOMÈSTIC,1619,227
764,2019-07-30,DOMÈSTIC,1702,68
769,2019-02-07,DOMÈSTIC,3595,34
774,2019-01-31,DOMÈSTIC,3560,113
795,2019-07-20,DOMÈSTIC,1402,54
812,2019-02-16,DOMÈSTIC,3100,164
815,2019-07-11,DOMÈSTIC,1423,227
819,2019-02-26,DOMÈSTIC,1365,37
829,2019-02-27,DOMÈSTIC,1648,34
834,2019-01-15,DOMÈSTIC,2840,113
840,2019-07-01,DOMÈSTIC,1765,239
854,2019-07-04,DOMÈSTIC,1173,249
865,2020-02-27,DOMÈSTIC,6354,92
872,2019-02-01,DOMÈSTIC,1212,164
879,2019-02-17,DOMÈSTIC,1175,37
889,2019-02-21,DOMÈSTIC,2119,34
894,2019-01-09,DOMÈSTIC,2870,113
895,2019-06-26,DOMÈSTIC,1751,35
900,2019-07-09,DOMÈSTIC,2594,239
910,2019-03-31,DOMÈSTIC,1324,171
932,2019-02-19,DOMÈSTIC,1913,164
954,2019-01-28,DOMÈSTIC,3440,113
955,2019-10-19,DOMÈSTIC,1270,35
981,2019-01-11,DOMÈSTIC,1223,163
985,2020-02-16,DOMÈSTIC,1449,92
992,2019-02-21,DOMÈSTIC,1680,164
1009,2019-02-08,DOMÈSTIC,1298,34
1014,2019-01-19,DOMÈSTIC,3910,113
1020,2019-07-28,DOMÈSTIC,2306,239
1052,2019-02-23,DOMÈSTIC,1856,164
1074,2019-01-02,DOMÈSTIC,3150,113
1114,2019-02-20,DOMÈSTIC,4181,25
1129,2019-02-16,DOMÈSTIC,1272,34
1134,2019-01-23,DOMÈSTIC,2942,113
1161,2019-01-08,DOMÈSTIC,2119,163
1172,2019-02-05,DOMÈSTIC,1928,164
1174,2019-02-26,DOMÈSTIC,6351,25
1189,2019-02-26,DOMÈSTIC,1832,34
1194,2019-01-26,DOMÈSTIC,2818,113
1215,2019-07-27,DOMÈSTIC,1196,54
1221,2019-01-16,DOMÈSTIC,1210,163
1234,2019-02-18,DOMÈSTIC,5262,25
1249,2019-02-25,DOMÈSTIC,2906,34
1254,2019-01-01,DOMÈSTIC,2228,113
1260,2019-07-26,DOMÈSTIC,1714,239
1275,2019-07-28,DOMÈSTIC,1829,54
1281,2019-01-09,DOMÈSTIC,1631,163
1292,2019-02-26,DOMÈSTIC,2079,164
1294,2019-02-28,DOMÈSTIC,4633,25
1314,2019-01-25,DOMÈSTIC,2934,113
1330,2019-03-05,DOMÈSTIC,1201,171
1352,2019-02-04,DOMÈSTIC,1778,164
1354,2019-02-11,DOMÈSTIC,5193,25
1374,2019-01-21,DOMÈSTIC,3078,113
1386,2019-02-22,DOMÈSTIC,1239,148
1412,2019-02-12,DOMÈSTIC,1284,164
1414,2019-02-08,DOMÈSTIC,4839,25
1429,2019-02-28,DOMÈSTIC,1996,34
1434,2019-01-24,DOMÈSTIC,2086,113
1472,2019-02-25,DOMÈSTIC,1535,164
1474,2019-02-21,DOMÈSTIC,3969,25
