,FECHA,USO,CONSUMO,ID_CONTADOR
5,2019-02-08,DOMÈSTIC,1240,437
9,2019-01-29,DOMÈSTIC,2162,2783
14,2019-03-08,DOMÈSTIC,956,2784
24,2019-06-27,DOMÈSTIC,4383,2882
36,2019-02-05,DOMÈSTIC,1193,2635
38,2019-03-08,DOMÈSTIC,-3,3344
39,2019-06-24,DOMÈSTIC,1016,2988
42,2019-03-12,DOMÈSTIC,1063,2218
43,2019-03-09,DOMÈSTIC,1075,2229
47,2019-03-13,DOMÈSTIC,-5,3297
51,2019-02-28,DOMÈSTIC,1389,2759
55,2019-03-13,DOMÈSTIC,1182,2426
56,2019-06-18,DOMÈSTIC,1419,468
62,2019-02-25,DOMÈSTIC,4475,3305
69,2019-01-09,DOMÈSTIC,-1,3172
70,2019-06-27,DOMÈSTIC,846,3205
73,2019-07-29,DOMÈSTIC,875,2916
79,2019-06-30,DOMÈSTIC,953,2656
80,2019-06-12,DOMÈSTIC,1009,3181
84,2019-06-02,DOMÈSTIC,729,2882
89,2019-06-29,DOMÈSTIC,1341,2805
94,2019-03-16,DOMÈSTIC,1419,2864
99,2019-06-12,DOMÈSTIC,1369,2988
101,2019-03-11,DOMÈSTIC,807,2861
102,2019-03-10,DOMÈSTIC,1350,2218
103,2019-03-13,DOMÈSTIC,1082,2229
107,2019-03-29,DOMÈSTIC,-2,3297
112,2019-01-23,DOMÈSTIC,1278,2960
117,2019-01-16,DOMÈSTIC,3757,2193
118,2019-03-03,DOMÈSTIC,819,2762
119,2019-03-12,DOMÈSTIC,1653,2863
125,2019-02-15,DOMÈSTIC,867,437
126,2019-03-08,DOMÈSTIC,819,3356
129,2019-01-23,DOMÈSTIC,-1,3172
133,2019-07-26,DOMÈSTIC,934,2916
140,2019-06-21,DOMÈSTIC,1102,3181
150,2019-03-29,DOMÈSTIC,1055,3361
159,2019-06-15,DOMÈSTIC,802,2988
162,2019-03-27,DOMÈSTIC,3237,2218
163,2019-03-04,DOMÈSTIC,1313,2229
175,2019-03-11,DOMÈSTIC,1162,2426
177,2019-01-30,DOMÈSTIC,6133,2193
178,2019-03-27,DOMÈSTIC,2968,2762
180,2019-05-02,DOMÈSTIC,1316,3337
182,2019-02-05,DOMÈSTIC,1311,3305
186,2019-03-25,DOMÈSTIC,1589,2493
190,2019-06-24,DOMÈSTIC,819,3205
201,2019-03-04,DOMÈSTIC,735,3329
206,2019-07-03,DOMÈSTIC,753,2446
214,2019-03-26,DOMÈSTIC,1397,2864
