,FECHA,USO,CONSUMO,ID_CONTADOR
514,2019-03-03,DOMÈSTIC,2367,603
582,2019-01-06,DOMÈSTIC,1463,421
685,2019-02-19,DOMÈSTIC,1996,512
864,2019-01-27,DOMÈSTIC,721,758
1175,2019-01-07,DOMÈSTIC,821,215
1189,2019-03-03,DOMÈSTIC,715,539
1468,2019-01-07,DOMÈSTIC,841,337
1796,2019-03-16,DOMÈSTIC,717,716
1954,2019-03-25,DOMÈSTIC,1367,603
2410,2019-01-15,DOMÈSTIC,838,410
2492,2019-02-05,DOMÈSTIC,956,574
2522,2019-02-15,DOMÈSTIC,802,504
2675,2019-01-13,DOMÈSTIC,723,215
2729,2019-02-22,DOMÈSTIC,1884,340
2773,2019-02-07,DOMÈSTIC,770,472
3239,2019-01-27,DOMÈSTIC,771,556
3312,2019-01-27,DOMÈSTIC,793,438
3509,2019-02-13,DOMÈSTIC,1380,340
3569,2019-02-18,DOMÈSTIC,926,340
3629,2019-02-25,DOMÈSTIC,1095,340
3689,2019-02-10,DOMÈSTIC,1148,340
3705,2019-01-11,DOMÈSTIC,891,331
3749,2019-02-14,DOMÈSTIC,1871,340
3972,2019-01-29,DOMÈSTIC,839,438
4012,2019-02-05,DOMÈSTIC,798,380
4013,2019-02-26,DOMÈSTIC,763,645
4142,2019-02-24,DOMÈSTIC,1033,388
4319,2019-01-01,DOMÈSTIC,970,1593
4461,2019-01-07,DOMÈSTIC,1104,447
4520,2019-02-15,DOMÈSTIC,724,471
4580,2019-02-15,DOMÈSTIC,724,471
4717,2019-03-14,DOMÈSTIC,3034,931
4897,2019-03-15,DOMÈSTIC,2026,931
4926,2019-02-25,DOMÈSTIC,930,722
4964,2019-02-18,DOMÈSTIC,753,389
5129,2019-02-19,DOMÈSTIC,1694,340
5189,2019-02-24,DOMÈSTIC,1460,340
5222,2019-02-10,DOMÈSTIC,8963,388
5241,2019-01-12,DOMÈSTIC,929,585
5249,2019-02-11,DOMÈSTIC,1477,340
5260,2019-01-22,DOMÈSTIC,746,670
5301,2019-01-19,DOMÈSTIC,812,585
5309,2019-02-27,DOMÈSTIC,1405,340
5315,2019-01-13,DOMÈSTIC,769,1508
5369,2019-02-17,DOMÈSTIC,1409,340
5421,2019-01-20,DOMÈSTIC,923,585
5429,2019-02-26,DOMÈSTIC,1240,340
5452,2019-02-02,DOMÈSTIC,729,676
5542,2019-02-17,DOMÈSTIC,926,932
5549,2019-02-28,DOMÈSTIC,1296,340
5556,2019-01-10,DOMÈSTIC,724,637
5586,2019-02-10,DOMÈSTIC,778,722
5588,2019-01-27,DOMÈSTIC,773,673
5625,2019-01-09,DOMÈSTIC,975,451
5632,2019-02-02,DOMÈSTIC,996,336
5685,2019-01-11,DOMÈSTIC,1044,451
5745,2019-01-21,DOMÈSTIC,950,451
5759,2019-01-21,DOMÈSTIC,785,1709
5766,2019-02-17,DOMÈSTIC,825,814
5788,2019-01-01,DOMÈSTIC,745,1527
5805,2019-01-08,DOMÈSTIC,1076,451
5821,2019-01-13,DOMÈSTIC,881,933
5830,2019-01-13,DOMÈSTIC,764,410
5841,2019-01-13,DOMÈSTIC,1027,585
5865,2019-01-12,DOMÈSTIC,1098,451
5897,2019-02-02,DOMÈSTIC,743,629
5925,2019-01-28,DOMÈSTIC,933,451
5941,2019-01-06,DOMÈSTIC,737,933
5985,2019-01-22,DOMÈSTIC,998,451
6045,2019-01-10,DOMÈSTIC,863,451
6061,2019-01-16,DOMÈSTIC,1473,933
6105,2019-01-27,DOMÈSTIC,1074,451
6121,2019-01-19,DOMÈSTIC,931,933
6149,2019-02-21,DOMÈSTIC,743,340
6165,2019-01-30,DOMÈSTIC,1021,451
6181,2019-01-30,DOMÈSTIC,1017,933
6225,2019-01-02,DOMÈSTIC,1077,451
6240,2019-02-20,DOMÈSTIC,778,458
6285,2019-01-20,DOMÈSTIC,1020,451
6301,2019-01-18,DOMÈSTIC,795,933
6345,2019-01-03,DOMÈSTIC,1084,451
6397,2019-03-21,DOMÈSTIC,805,213
6405,2019-01-13,DOMÈSTIC,1000,451
6421,2019-01-24,DOMÈSTIC,774,933
6430,2019-01-14,DOMÈSTIC,749,410
6465,2019-01-14,DOMÈSTIC,1095,451
6490,2019-01-06,DOMÈSTIC,760,410
6525,2019-01-06,DOMÈSTIC,1208,451
6558,2019-01-31,DOMÈSTIC,748,350
6569,2019-02-12,DOMÈSTIC,939,340
6585,2019-01-19,DOMÈSTIC,833,451
6601,2019-01-31,DOMÈSTIC,984,933
6645,2019-01-15,DOMÈSTIC,1157,451
6661,2019-01-20,DOMÈSTIC,1060,933
6687,2019-03-30,DOMÈSTIC,1153,811
6705,2019-01-07,DOMÈSTIC,1041,451
6721,2019-01-17,DOMÈSTIC,986,933
6765,2019-01-18,DOMÈSTIC,1019,451
6798,2019-01-26,DOMÈSTIC,993,350
6803,2019-02-08,DOMÈSTIC,822,744
6825,2019-01-01,DOMÈSTIC,914,451
6841,2019-01-10,DOMÈSTIC,790,933
6850,2019-01-05,DOMÈSTIC,781,799
6869,2019-02-20,DOMÈSTIC,806,340
6885,2019-01-29,DOMÈSTIC,1216,451
6901,2019-01-03,DOMÈSTIC,928,933
6934,2019-03-04,DOMÈSTIC,736,603
6970,2019-01-29,DOMÈSTIC,759,799
7021,2019-01-28,DOMÈSTIC,1092,933
7084,2019-01-08,DOMÈSTIC,745,663
7125,2019-01-19,DOMÈSTIC,797,857
7169,2019-02-07,DOMÈSTIC,1445,340
7210,2019-01-09,DOMÈSTIC,880,799
7390,2019-01-27,DOMÈSTIC,722,588
7414,2019-03-14,DOMÈSTIC,881,603
7446,2019-02-16,DOMÈSTIC,1095,722
7545,2019-01-26,DOMÈSTIC,721,857
7612,2019-02-15,DOMÈSTIC,742,829
7651,2019-02-08,DOMÈSTIC,811,377
7732,2019-02-21,DOMÈSTIC,890,678
7734,2019-02-14,DOMÈSTIC,3139,230
7758,2019-01-05,DOMÈSTIC,814,350
7763,2019-02-03,DOMÈSTIC,981,805
7794,2019-02-27,DOMÈSTIC,3421,230
7854,2019-02-23,DOMÈSTIC,2045,230
7914,2019-02-05,DOMÈSTIC,2109,230
7974,2019-02-28,DOMÈSTIC,3444,230
7992,2019-01-23,DOMÈSTIC,758,438
8015,2019-01-04,DOMÈSTIC,736,1508
8019,2019-02-11,DOMÈSTIC,-1,1533
8034,2019-02-20,DOMÈSTIC,4619,230
8046,2019-02-12,DOMÈSTIC,817,722
8050,2019-01-18,DOMÈSTIC,1729,588
8052,2019-01-08,DOMÈSTIC,856,438
8075,2019-01-28,DOMÈSTIC,831,1508
8079,2019-02-07,DOMÈSTIC,-1,1533
8094,2019-02-16,DOMÈSTIC,3403,230
8128,2019-01-13,DOMÈSTIC,818,1492
8154,2019-02-13,DOMÈSTIC,3108,230
8172,2019-01-26,DOMÈSTIC,933,438
8214,2019-02-26,DOMÈSTIC,3315,230
8228,2019-01-20,DOMÈSTIC,716,673
8232,2019-01-24,DOMÈSTIC,917,438
8242,2019-02-24,DOMÈSTIC,766,730
8274,2019-02-10,DOMÈSTIC,2428,230
8288,2019-01-13,DOMÈSTIC,842,673
8292,2019-01-17,DOMÈSTIC,1000,438
8334,2019-02-11,DOMÈSTIC,2701,230
8362,2019-02-22,DOMÈSTIC,817,730
8394,2019-02-01,DOMÈSTIC,1507,230
8454,2019-02-22,DOMÈSTIC,4760,230
8479,2019-01-03,DOMÈSTIC,777,855
8577,2019-01-26,DOMÈSTIC,1158,415
8637,2019-01-19,DOMÈSTIC,1277,415
8757,2019-01-25,DOMÈSTIC,747,415
8817,2019-01-12,DOMÈSTIC,898,415
8877,2019-01-13,DOMÈSTIC,862,415
8997,2019-01-30,DOMÈSTIC,785,415
9025,2019-01-30,DOMÈSTIC,1224,512
9057,2019-01-04,DOMÈSTIC,743,415
9069,2019-03-17,DOMÈSTIC,1857,728
9117,2019-01-08,DOMÈSTIC,821,415
9141,2019-02-24,DOMÈSTIC,773,661
9237,2019-01-06,DOMÈSTIC,897,415
9297,2019-01-28,DOMÈSTIC,860,415
9307,2019-03-10,DOMÈSTIC,883,520
9334,2019-01-03,DOMÈSTIC,842,603
9357,2019-01-05,DOMÈSTIC,1082,415
9429,2019-03-24,DOMÈSTIC,1155,728
9477,2019-01-01,DOMÈSTIC,1016,415
9537,2019-01-29,DOMÈSTIC,716,415
9597,2019-01-10,DOMÈSTIC,864,415
9645,2019-03-08,DOMÈSTIC,2320,266
9650,2019-03-11,DOMÈSTIC,2240,675
9657,2019-01-07,DOMÈSTIC,795,415
9705,2019-03-26,DOMÈSTIC,2846,266
9713,2019-03-24,DOMÈSTIC,1060,352
9717,2019-01-17,DOMÈSTIC,745,415
9777,2019-01-18,DOMÈSTIC,735,415
9825,2019-03-16,DOMÈSTIC,2277,266
9833,2019-03-02,DOMÈSTIC,971,352
9837,2019-01-20,DOMÈSTIC,865,415
9885,2019-03-30,DOMÈSTIC,2843,266
9897,2019-01-21,DOMÈSTIC,869,415
9945,2019-03-23,DOMÈSTIC,2858,266
9947,2019-03-17,DOMÈSTIC,1862,605
9957,2019-01-14,DOMÈSTIC,810,415
10000,2019-03-13,DOMÈSTIC,736,670
10005,2019-03-19,DOMÈSTIC,2277,266
10017,2019-01-11,DOMÈSTIC,719,415
10065,2019-03-22,DOMÈSTIC,2882,266
10077,2019-01-31,DOMÈSTIC,844,415
10097,2019-03-11,DOMÈSTIC,845,619
10125,2019-03-15,DOMÈSTIC,2303,266
10137,2019-01-27,DOMÈSTIC,1083,415
10185,2019-03-07,DOMÈSTIC,2332,266
10245,2019-03-11,DOMÈSTIC,2302,266
10257,2019-01-09,DOMÈSTIC,795,415
10305,2019-03-12,DOMÈSTIC,2279,266
10365,2019-03-29,DOMÈSTIC,2890,266
10391,2019-03-04,DOMÈSTIC,747,374
10425,2019-03-25,DOMÈSTIC,2905,266
10504,2019-01-01,DOMÈSTIC,958,9
10564,2019-01-05,DOMÈSTIC,1346,9
10624,2019-01-15,DOMÈSTIC,1267,9
10684,2019-01-24,DOMÈSTIC,1284,9
10737,2019-01-17,DOMÈSTIC,737,145
10967,2019-03-24,DOMÈSTIC,816,605
11006,2019-03-31,DOMÈSTIC,816,625
11011,2019-01-02,DOMÈSTIC,731,365
11126,2019-03-30,DOMÈSTIC,922,625
11246,2019-03-29,DOMÈSTIC,889,625
11256,2019-02-23,DOMÈSTIC,784,341
11340,2019-01-23,DOMÈSTIC,1225,795
11365,2019-01-04,DOMÈSTIC,1464,512
11410,2019-02-21,DOMÈSTIC,824,410
11654,2019-03-31,DOMÈSTIC,796,781
11740,2019-03-01,DOMÈSTIC,793,670
11790,2019-02-23,DOMÈSTIC,736,477
11879,2019-02-16,DOMÈSTIC,735,1709
12017,2019-03-16,DOMÈSTIC,733,629
12059,2019-02-15,DOMÈSTIC,795,1709
12149,2019-03-09,DOMÈSTIC,1685,340
12209,2019-03-04,DOMÈSTIC,1254,340
12269,2019-03-08,DOMÈSTIC,765,340
12434,2019-03-17,DOMÈSTIC,722,781
12449,2019-03-26,DOMÈSTIC,908,657
12525,2019-03-25,DOMÈSTIC,755,451
12560,2019-01-12,DOMÈSTIC,886,505
12657,2019-01-07,DOMÈSTIC,751,145
12734,2019-03-30,DOMÈSTIC,722,781
12749,2019-03-19,DOMÈSTIC,1390,340
12756,2019-02-24,DOMÈSTIC,744,637
12777,2019-01-30,DOMÈSTIC,722,145
12794,2019-03-05,DOMÈSTIC,1718,781
12809,2019-03-13,DOMÈSTIC,1029,340
12811,2019-01-02,DOMÈSTIC,1379,377
12820,2019-03-15,DOMÈSTIC,786,670
12821,2019-02-02,DOMÈSTIC,787,802
