,FECHA,USO,CONSUMO,ID_CONTADOR
9,2019-03-15,DOMÈSTIC,832,1036
53,2019-03-09,DOMÈSTIC,1458,1059
141,2019-03-02,DOMÈSTIC,808,1058
173,2019-03-07,DOMÈSTIC,1199,1059
293,2019-03-02,DOMÈSTIC,946,1059
483,2019-02-03,DOMÈSTIC,760,1173
499,2019-01-04,DOMÈSTIC,762,187
533,2019-03-23,DOMÈSTIC,983,1059
559,2019-01-26,DOMÈSTIC,804,187
603,2019-02-04,DOMÈSTIC,1320,1173
616,2019-02-09,DOMÈSTIC,1165,1396
663,2019-02-18,DOMÈSTIC,1471,1173
773,2019-03-30,DOMÈSTIC,971,1059
951,2019-03-02,DOMÈSTIC,764,172
1011,2019-03-24,DOMÈSTIC,760,172
1154,2019-01-15,DOMÈSTIC,830,1324
1221,2019-03-18,DOMÈSTIC,858,1397
1251,2019-03-03,DOMÈSTIC,868,172
1334,2019-01-10,DOMÈSTIC,876,1324
1454,2019-01-07,DOMÈSTIC,764,1324
1475,2019-03-24,DOMÈSTIC,837,184
1574,2019-01-21,DOMÈSTIC,783,1324
1580,2019-03-03,DOMÈSTIC,788,1425
1694,2019-01-20,DOMÈSTIC,813,1324
1795,2019-02-14,DOMÈSTIC,789,1303
1820,2019-03-20,DOMÈSTIC,1049,1425
1851,2019-03-08,DOMÈSTIC,782,172
1939,2019-01-22,DOMÈSTIC,831,187
2095,2019-02-27,DOMÈSTIC,819,1303
2116,2019-02-10,DOMÈSTIC,1566,1396
2269,2019-01-29,DOMÈSTIC,769,1269
2283,2019-02-02,DOMÈSTIC,1018,1173
2361,2019-03-05,DOMÈSTIC,898,1543
2395,2019-02-25,DOMÈSTIC,797,1303
2463,2019-02-10,DOMÈSTIC,943,91
2637,2019-01-13,DOMÈSTIC,1027,1287
2917,2019-01-16,DOMÈSTIC,921,1367
3037,2019-01-24,DOMÈSTIC,904,1367
3097,2019-01-03,DOMÈSTIC,858,1367
3157,2019-01-14,DOMÈSTIC,841,1367
3217,2019-01-18,DOMÈSTIC,967,1367
3249,2019-03-08,DOMÈSTIC,836,1432
3277,2019-01-08,DOMÈSTIC,789,1367
3320,2019-03-01,DOMÈSTIC,828,1425
3397,2019-01-30,DOMÈSTIC,847,1367
3413,2019-03-26,DOMÈSTIC,967,1059
3473,2019-03-12,DOMÈSTIC,2832,1059
3533,2019-03-14,DOMÈSTIC,1136,1059
3577,2019-01-07,DOMÈSTIC,835,1367
3655,2019-02-15,DOMÈSTIC,1872,1497
3680,2019-03-12,DOMÈSTIC,1251,1425
3697,2019-01-10,DOMÈSTIC,1205,1367
3801,2019-03-26,DOMÈSTIC,768,1279
3817,2019-01-25,DOMÈSTIC,798,1367
3843,2019-02-16,DOMÈSTIC,764,91
3920,2019-03-31,DOMÈSTIC,999,1425
3945,2019-01-07,DOMÈSTIC,961,1028
3953,2019-03-19,DOMÈSTIC,1002,1059
4057,2019-01-15,DOMÈSTIC,881,1367
4073,2019-03-05,DOMÈSTIC,999,1059
4133,2019-03-16,DOMÈSTIC,993,1059
4157,2019-03-30,DOMÈSTIC,804,1344
4164,2019-02-14,DOMÈSTIC,943,1221
4177,2019-01-28,DOMÈSTIC,911,1367
4253,2019-03-28,DOMÈSTIC,1101,1059
4279,2019-01-21,DOMÈSTIC,863,1374
4297,2019-01-13,DOMÈSTIC,874,1367
4308,2019-02-16,DOMÈSTIC,794,1501
4358,2019-01-05,DOMÈSTIC,980,1334
4434,2019-01-27,DOMÈSTIC,1050,1401
4459,2019-01-26,DOMÈSTIC,926,1374
4542,2019-01-03,DOMÈSTIC,831,84
4637,2019-03-02,DOMÈSTIC,782,1424
4662,2019-01-04,DOMÈSTIC,797,84
4727,2019-01-05,DOMÈSTIC,-2,1251
4733,2019-03-24,DOMÈSTIC,807,1336
4749,2019-03-04,DOMÈSTIC,868,1036
4809,2019-03-18,DOMÈSTIC,904,1036
4902,2019-01-08,DOMÈSTIC,963,84
5103,2019-02-07,DOMÈSTIC,1256,1173
5165,2019-02-25,DOMÈSTIC,1047,1335
5169,2019-03-22,DOMÈSTIC,784,1036
5197,2019-01-28,DOMÈSTIC,864,1171
5201,2019-02-09,DOMÈSTIC,975,1361
5225,2019-02-18,DOMÈSTIC,980,1335
5229,2019-03-08,DOMÈSTIC,832,1036
5278,2019-01-02,DOMÈSTIC,1333,1156
5322,2019-01-27,DOMÈSTIC,845,84
5372,2019-03-02,DOMÈSTIC,-4,1549
5382,2019-01-20,DOMÈSTIC,768,84
5395,2019-02-03,DOMÈSTIC,772,96
5492,2019-03-03,DOMÈSTIC,-5,1549
5500,2019-01-06,DOMÈSTIC,836,1204
5529,2019-03-01,DOMÈSTIC,1500,1036
5587,2019-03-21,DOMÈSTIC,3335,1499
5621,2019-02-06,DOMÈSTIC,1100,1361
5622,2019-01-29,DOMÈSTIC,831,84
5681,2019-02-12,DOMÈSTIC,982,1361
5706,2019-01-06,DOMÈSTIC,769,1436
5721,2019-03-09,DOMÈSTIC,826,1543
5736,2019-01-21,DOMÈSTIC,1061,1170
5769,2019-03-25,DOMÈSTIC,2514,1036
5797,2019-01-02,DOMÈSTIC,877,1171
5833,2019-02-24,DOMÈSTIC,968,161
5852,2019-03-16,DOMÈSTIC,1128,1549
5863,2019-03-30,DOMÈSTIC,1166,21
5880,2019-01-05,DOMÈSTIC,899,1325
5901,2019-03-17,DOMÈSTIC,904,1543
5923,2019-03-02,DOMÈSTIC,1093,21
6037,2019-01-06,DOMÈSTIC,758,1171
6054,2019-01-05,DOMÈSTIC,896,1512
6111,2019-03-09,DOMÈSTIC,802,1542
6129,2019-03-29,DOMÈSTIC,924,1036
6160,2019-01-14,DOMÈSTIC,832,1204
6175,2019-02-20,DOMÈSTIC,769,96
6234,2019-01-07,DOMÈSTIC,1356,90
6267,2019-01-04,DOMÈSTIC,760,1414
6270,2019-02-24,DOMÈSTIC,937,1476
6296,2019-02-02,DOMÈSTIC,876,109
6387,2019-01-17,DOMÈSTIC,3636,1266
6411,2019-03-24,DOMÈSTIC,815,1553
6425,2019-02-26,DOMÈSTIC,3197,1240
6444,2019-02-10,DOMÈSTIC,837,1221
6504,2019-02-03,DOMÈSTIC,918,1221
6547,2019-03-04,DOMÈSTIC,880,1560
6553,2019-02-03,DOMÈSTIC,787,1504
6595,2019-02-10,DOMÈSTIC,809,96
6606,2019-01-30,DOMÈSTIC,920,1227
6607,2019-03-03,DOMÈSTIC,780,1560
6666,2019-01-10,DOMÈSTIC,1064,1227
6703,2019-03-31,DOMÈSTIC,1077,21
6726,2019-01-06,DOMÈSTIC,947,1227
6729,2019-03-20,DOMÈSTIC,816,1373
6766,2019-03-14,DOMÈSTIC,871,159
6786,2019-01-07,DOMÈSTIC,995,1227
6804,2019-02-17,DOMÈSTIC,1166,1221
6846,2019-01-01,DOMÈSTIC,928,1227
6864,2019-02-24,DOMÈSTIC,894,1221
6886,2019-03-24,DOMÈSTIC,997,159
6946,2019-03-29,DOMÈSTIC,802,159
6966,2019-01-20,DOMÈSTIC,880,1227
7006,2019-03-08,DOMÈSTIC,853,159
7019,2019-01-07,DOMÈSTIC,764,169
7027,2019-03-25,DOMÈSTIC,793,1560
7066,2019-03-20,DOMÈSTIC,809,159
7086,2019-01-05,DOMÈSTIC,992,1227
7089,2019-03-16,DOMÈSTIC,948,1432
7126,2019-03-23,DOMÈSTIC,856,159
7146,2019-01-11,DOMÈSTIC,875,1227
7149,2019-03-23,DOMÈSTIC,875,1432
7186,2019-03-22,DOMÈSTIC,890,159
7246,2019-03-17,DOMÈSTIC,771,159
7259,2019-01-07,DOMÈSTIC,862,1046
7266,2019-01-03,DOMÈSTIC,807,1227
7306,2019-03-04,DOMÈSTIC,778,159
7319,2019-01-01,DOMÈSTIC,1274,1046
7326,2019-01-26,DOMÈSTIC,1010,1227
7383,2019-04-04,DOMÈSTIC,1823,1173
7386,2019-01-12,DOMÈSTIC,799,1227
7409,2019-02-04,DOMÈSTIC,768,1461
7426,2019-03-05,DOMÈSTIC,803,159
7446,2019-01-09,DOMÈSTIC,901,1227
7491,2019-03-03,DOMÈSTIC,851,1553
7506,2019-01-23,DOMÈSTIC,829,1227
7527,2019-01-05,DOMÈSTIC,777,30
7546,2019-03-30,DOMÈSTIC,858,159
7566,2019-01-28,DOMÈSTIC,846,1227
7619,2019-01-02,DOMÈSTIC,877,1046
7626,2019-01-02,DOMÈSTIC,901,1227
7629,2019-03-08,DOMÈSTIC,-1,1196
7666,2019-03-12,DOMÈSTIC,836,159
7686,2019-01-04,DOMÈSTIC,917,1227
7691,2019-02-03,DOMÈSTIC,818,1153
7746,2019-01-22,DOMÈSTIC,809,1227
7749,2019-03-13,DOMÈSTIC,-1,1196
7756,2019-05-31,DOMÈSTIC,816,1396
7806,2019-01-08,DOMÈSTIC,898,1227
7809,2019-03-03,DOMÈSTIC,-1,1196
7846,2019-03-07,DOMÈSTIC,831,159
7866,2019-01-29,DOMÈSTIC,899,1227
7906,2019-03-03,DOMÈSTIC,840,159
7926,2019-01-27,DOMÈSTIC,957,1227
7953,2019-02-10,DOMÈSTIC,834,1245
8007,2019-01-27,DOMÈSTIC,892,30
8021,2019-02-12,DOMÈSTIC,788,1159
8046,2019-01-25,DOMÈSTIC,1142,1227
8086,2019-03-26,DOMÈSTIC,805,159
8128,2019-01-27,DOMÈSTIC,818,1510
8146,2019-03-16,DOMÈSTIC,1852,159
8221,2019-01-05,DOMÈSTIC,-1,1353
8278,2019-01-12,DOMÈSTIC,982,1156
8286,2019-01-31,DOMÈSTIC,889,1227
8326,2019-03-17,DOMÈSTIC,868,1370
8356,2019-05-11,DOMÈSTIC,787,1056
8368,2019-01-27,DOMÈSTIC,1072,1516
8406,2019-01-13,DOMÈSTIC,929,1227
8446,2019-03-03,DOMÈSTIC,792,1261
8795,2019-02-10,DOMÈSTIC,1278,184
8883,2019-01-07,DOMÈSTIC,1160,1173
9003,2019-01-14,DOMÈSTIC,1105,1173
9183,2019-01-15,DOMÈSTIC,2147,1173
9482,2019-03-30,DOMÈSTIC,1016,1054
9835,2019-01-03,DOMÈSTIC,935,174
10055,2019-02-11,DOMÈSTIC,838,184
10103,2019-02-21,DOMÈSTIC,1072,1507
10214,2019-02-20,DOMÈSTIC,1738,1434
10235,2019-02-13,DOMÈSTIC,1108,184
10274,2019-02-03,DOMÈSTIC,856,1434
10334,2019-02-04,DOMÈSTIC,881,1434
10394,2019-02-26,DOMÈSTIC,3901,1434
10454,2019-02-21,DOMÈSTIC,1837,1434
10514,2019-02-22,DOMÈSTIC,2785,1434
10574,2019-02-27,DOMÈSTIC,4018,1434
10673,2019-01-05,DOMÈSTIC,771,1336
10694,2019-02-14,DOMÈSTIC,851,1434
10754,2019-02-25,DOMÈSTIC,2896,1434
10814,2019-02-23,DOMÈSTIC,2606,1434
10858,2019-03-14,DOMÈSTIC,2494,1411
10879,2019-03-23,DOMÈSTIC,763,187
10965,2019-02-21,DOMÈSTIC,785,1028
11017,2019-02-16,DOMÈSTIC,1041,1367
11137,2019-02-25,DOMÈSTIC,769,1367
11154,2019-02-24,DOMÈSTIC,1007,1029
11205,2019-02-10,DOMÈSTIC,992,1028
11257,2019-02-27,DOMÈSTIC,800,1367
11325,2019-02-06,DOMÈSTIC,761,1028
11342,2019-03-31,DOMÈSTIC,954,1054
11354,2019-02-24,DOMÈSTIC,1294,1434
11414,2019-02-28,DOMÈSTIC,3373,1434
11682,2019-02-16,DOMÈSTIC,925,61
11774,2019-02-21,DOMÈSTIC,1015,36
11858,2019-03-30,DOMÈSTIC,892,1334
11917,2019-02-09,DOMÈSTIC,954,1367
12038,2019-03-10,DOMÈSTIC,815,1334
12045,2019-02-17,DOMÈSTIC,799,1028
12139,2019-03-12,DOMÈSTIC,1194,1374
12140,2019-02-24,DOMÈSTIC,879,1285
12158,2019-03-25,DOMÈSTIC,1036,1334
12199,2019-03-19,DOMÈSTIC,883,1374
12259,2019-03-22,DOMÈSTIC,905,1374
12320,2019-02-09,DOMÈSTIC,1002,1425
12379,2019-03-02,DOMÈSTIC,1276,1374
