,FECHA,USO,CONSUMO,ID_CONTADOR
146,2019-01-06,DOMÈSTIC,881,732
165,2019-01-06,DOMÈSTIC,1167,1482
274,2019-01-09,DOMÈSTIC,3761,1144
345,2019-01-01,DOMÈSTIC,1236,1482
422,2019-01-09,DOMÈSTIC,779,1064
459,2019-01-13,DOMÈSTIC,795,1484
641,2019-02-11,DOMÈSTIC,2105,1131
1005,2019-01-27,DOMÈSTIC,1314,1482
1103,2019-02-28,DOMÈSTIC,776,1246
1318,2019-01-28,DOMÈSTIC,787,312
1378,2019-01-30,DOMÈSTIC,780,312
1476,2019-01-11,DOMÈSTIC,1467,1202
1605,2019-01-05,DOMÈSTIC,1068,1482
1626,2019-01-09,DOMÈSTIC,757,1088
1710,2019-02-11,DOMÈSTIC,779,909
2084,2019-01-19,DOMÈSTIC,780,1020
2248,2019-01-16,DOMÈSTIC,860,1060
2269,2019-01-27,DOMÈSTIC,787,301
2444,2019-01-31,DOMÈSTIC,791,701
2492,2019-02-23,DOMÈSTIC,811,304
2498,2019-02-20,DOMÈSTIC,975,1687
2558,2019-02-27,DOMÈSTIC,998,1687
2580,2019-02-21,DOMÈSTIC,923,1468
2612,2019-02-08,DOMÈSTIC,820,304
2738,2019-02-18,DOMÈSTIC,983,1687
2792,2019-02-09,DOMÈSTIC,964,304
2794,2019-01-20,DOMÈSTIC,1223,390
2798,2019-02-04,DOMÈSTIC,992,1687
2852,2019-02-14,DOMÈSTIC,896,304
2865,2019-01-04,DOMÈSTIC,1255,1482
2912,2019-02-27,DOMÈSTIC,830,304
2918,2019-02-22,DOMÈSTIC,2846,1687
2929,2019-01-10,DOMÈSTIC,819,301
2972,2019-02-18,DOMÈSTIC,1110,304
2978,2019-02-25,DOMÈSTIC,998,1687
3032,2019-02-11,DOMÈSTIC,815,304
3092,2019-02-21,DOMÈSTIC,1180,304
3104,2019-01-14,DOMÈSTIC,1130,965
3229,2019-01-20,DOMÈSTIC,1006,301
3234,2019-01-26,DOMÈSTIC,831,1527
3344,2019-01-31,DOMÈSTIC,829,965
3354,2019-01-19,DOMÈSTIC,901,1527
3392,2019-02-07,DOMÈSTIC,1100,304
3398,2019-02-06,DOMÈSTIC,974,1687
3409,2019-01-13,DOMÈSTIC,814,301
3452,2019-02-04,DOMÈSTIC,969,304
3456,2019-01-07,DOMÈSTIC,885,1202
3572,2019-02-02,DOMÈSTIC,766,304
3609,2019-02-16,DOMÈSTIC,1016,952
3645,2019-01-12,DOMÈSTIC,1380,1482
3665,2019-01-07,DOMÈSTIC,762,1501
3692,2019-02-13,DOMÈSTIC,1051,304
3693,2019-01-31,DOMÈSTIC,2407,1416
3752,2019-02-20,DOMÈSTIC,1628,304
3820,2019-01-29,DOMÈSTIC,941,1702
3845,2019-01-10,DOMÈSTIC,905,1501
3868,2019-01-06,DOMÈSTIC,809,1705
3872,2019-02-05,DOMÈSTIC,980,304
3933,2019-01-27,DOMÈSTIC,754,1416
3988,2019-01-12,DOMÈSTIC,869,1705
3992,2019-02-28,DOMÈSTIC,881,304
4000,2019-01-13,DOMÈSTIC,1136,1702
4029,2019-02-10,DOMÈSTIC,1686,1559
4030,2019-02-18,DOMÈSTIC,771,1068
4052,2019-02-25,DOMÈSTIC,1598,304
4087,2019-03-24,DOMÈSTIC,778,1438
4105,2019-03-09,DOMÈSTIC,912,353
4108,2019-01-18,DOMÈSTIC,7854,1705
4128,2019-02-17,DOMÈSTIC,772,1391
4166,2019-01-27,DOMÈSTIC,808,732
4168,2019-01-28,DOMÈSTIC,771,1705
4240,2019-01-20,DOMÈSTIC,885,1702
4275,2019-01-12,DOMÈSTIC,822,349
4288,2019-01-24,DOMÈSTIC,843,1705
4353,2019-01-23,DOMÈSTIC,1140,1416
4360,2019-01-15,DOMÈSTIC,782,1702
