,FECHA,USO,CONSUMO,ID_CONTADOR
45,2021-06-14,DOMÈSTIC,2024,641
54,2020-03-24,DOMÈSTIC,848,347
74,2021-06-20,DOMÈSTIC,1611,645
91,2021-06-29,DOMÈSTIC,903,251
112,2021-06-29,DOMÈSTIC,1502,410
118,2021-06-20,DOMÈSTIC,1919,572
129,2021-06-24,DOMÈSTIC,1864,595
183,2021-06-17,DOMÈSTIC,1632,799
194,2021-06-21,DOMÈSTIC,2012,645
197,2021-06-20,DOMÈSTIC,1165,1677
225,2021-06-13,DOMÈSTIC,4331,641
235,2021-06-10,DOMÈSTIC,849,633
246,2021-06-24,DOMÈSTIC,1609,735
251,2021-06-13,DOMÈSTIC,1403,548
314,2021-06-27,DOMÈSTIC,1906,645
325,2021-06-19,DOMÈSTIC,1245,762
354,2020-03-21,DOMÈSTIC,1034,347
357,2021-06-23,DOMÈSTIC,878,581
383,2021-06-29,DOMÈSTIC,1015,811
420,2021-06-27,DOMÈSTIC,1056,349
428,2021-06-22,DOMÈSTIC,2333,1689
474,2020-03-15,DOMÈSTIC,949,347
477,2021-06-24,DOMÈSTIC,1106,581
493,2021-06-25,DOMÈSTIC,1587,1746
536,2021-06-30,DOMÈSTIC,1118,1755
562,2021-06-24,DOMÈSTIC,1076,644
585,2021-06-11,DOMÈSTIC,991,559
594,2020-03-16,DOMÈSTIC,1079,347
595,2021-06-13,DOMÈSTIC,984,633
598,2021-06-22,DOMÈSTIC,1022,376
606,2021-06-25,DOMÈSTIC,1451,407
610,2021-06-19,DOMÈSTIC,918,723
615,2021-06-20,DOMÈSTIC,958,382
629,2021-06-29,DOMÈSTIC,883,628
630,2021-06-30,DOMÈSTIC,905,757
654,2020-03-07,DOMÈSTIC,1036,347
761,2021-06-26,DOMÈSTIC,2010,1533
767,2021-06-25,DOMÈSTIC,902,109
798,2021-06-18,DOMÈSTIC,1008,574
801,2021-06-12,DOMÈSTIC,886,1583
804,2021-06-11,DOMÈSTIC,996,271
817,2021-06-19,DOMÈSTIC,1382,804
825,2021-06-12,DOMÈSTIC,1670,690
834,2020-03-28,DOMÈSTIC,1054,347
894,2020-03-31,DOMÈSTIC,871,347
910,2021-06-18,DOMÈSTIC,1894,108
926,2021-06-17,DOMÈSTIC,2340,1743
950,2021-06-18,DOMÈSTIC,2660,815
1000,2021-06-29,DOMÈSTIC,7599,145
1091,2021-06-30,DOMÈSTIC,1124,1705
1097,2021-06-27,DOMÈSTIC,1098,1677
1144,2021-06-22,DOMÈSTIC,1032,573
1147,2021-06-27,DOMÈSTIC,946,711
1151,2021-06-28,DOMÈSTIC,1855,787
1165,2021-06-26,DOMÈSTIC,869,762
1192,2021-06-28,DOMÈSTIC,1197,1778
1195,2021-06-19,DOMÈSTIC,1160,358
1236,2021-06-29,DOMÈSTIC,975,1699
1241,2021-06-28,DOMÈSTIC,865,551
1255,2021-06-18,DOMÈSTIC,3363,358
1299,2021-06-27,DOMÈSTIC,858,609
1319,2021-06-19,DOMÈSTIC,1390,460
1325,2021-06-23,DOMÈSTIC,1019,398
1354,2021-06-21,DOMÈSTIC,2723,1768
1363,2021-06-29,DOMÈSTIC,898,153
1370,2021-06-20,DOMÈSTIC,1369,1765
1406,2021-06-19,DOMÈSTIC,1057,1743
1430,2021-06-16,DOMÈSTIC,949,734
1447,2021-06-29,DOMÈSTIC,8607,711
1458,2021-06-30,DOMÈSTIC,3389,574
1464,2021-06-18,DOMÈSTIC,1014,271
1474,2021-06-21,DOMÈSTIC,1762,564
1490,2021-06-17,DOMÈSTIC,914,815
1504,2021-06-27,DOMÈSTIC,1175,776
1533,2021-06-29,DOMÈSTIC,965,402
1547,2021-06-09,DOMÈSTIC,897,109
1566,2021-06-30,DOMÈSTIC,1248,735
1567,2021-06-28,DOMÈSTIC,8024,711
1569,2021-06-12,DOMÈSTIC,994,119
1571,2021-06-11,DOMÈSTIC,1689,1705
1586,2021-06-21,DOMÈSTIC,928,1743
1606,2021-06-12,DOMÈSTIC,9980,451
1607,2021-06-10,DOMÈSTIC,876,109
1626,2021-06-28,DOMÈSTIC,915,735
1631,2021-06-13,DOMÈSTIC,1506,1705
1649,2021-06-16,DOMÈSTIC,853,789
1656,2021-06-29,DOMÈSTIC,1035,1799
1695,2021-06-19,DOMÈSTIC,1129,694
1698,2021-06-28,DOMÈSTIC,2759,708
1720,2021-06-28,DOMÈSTIC,1675,825
1758,2021-06-29,DOMÈSTIC,2592,708
1780,2021-06-29,DOMÈSTIC,1715,825
1803,2021-06-12,DOMÈSTIC,1569,799
1808,2021-06-30,DOMÈSTIC,1145,1689
1820,2021-06-21,DOMÈSTIC,1110,667
1826,2021-06-22,DOMÈSTIC,2388,571
1840,2021-06-30,DOMÈSTIC,1655,825
