,FECHA,USO,CONSUMO,ID_CONTADOR
76,2020-12-17,DOMÈSTIC,4875,2165
136,2021-01-24,DOMÈSTIC,3301,2165
245,2021-06-14,DOMÈSTIC,951,2118
275,2021-06-13,DOMÈSTIC,1139,880
436,2021-01-09,DOMÈSTIC,1082,2165
490,2021-06-12,DOMÈSTIC,2430,10592
496,2021-01-06,DOMÈSTIC,6198,2165
595,2021-06-30,DOMÈSTIC,1107,5594
854,2021-06-29,DOMÈSTIC,814,6128
856,2021-05-05,DOMÈSTIC,2980,2165
876,2021-06-27,DOMÈSTIC,769,11586
915,2021-06-18,DOMÈSTIC,955,10254
936,2021-06-29,DOMÈSTIC,1452,1497
1039,2021-06-19,DOMÈSTIC,1235,6250
1084,2021-06-30,DOMÈSTIC,804,9487
1192,2021-06-26,DOMÈSTIC,935,2815
1397,2021-06-20,DOMÈSTIC,978,2953
1432,2021-06-28,DOMÈSTIC,816,1215
1488,2021-06-25,DOMÈSTIC,838,6602
1600,2021-06-29,DOMÈSTIC,774,4941
1664,2021-06-28,DOMÈSTIC,786,5476
1688,2021-06-18,DOMÈSTIC,835,7079
1837,2021-06-29,DOMÈSTIC,804,8382
1879,2021-06-23,DOMÈSTIC,1598,6250
1895,2021-06-15,DOMÈSTIC,790,8849
1975,2021-06-29,DOMÈSTIC,951,12007
1991,2021-06-30,DOMÈSTIC,823,11877
1997,2021-06-20,DOMÈSTIC,1047,3101
2060,2021-06-21,DOMÈSTIC,1303,5241
2084,2021-06-15,DOMÈSTIC,952,4319
2123,2021-06-29,DOMÈSTIC,957,5639
2126,2021-06-13,DOMÈSTIC,982,730
2147,2021-06-29,DOMÈSTIC,855,9009
2210,2021-06-27,DOMÈSTIC,808,2710
2233,2021-06-12,DOMÈSTIC,758,5566
2235,2021-06-17,DOMÈSTIC,1315,5629
2294,2021-06-28,DOMÈSTIC,1082,4944
2359,2021-06-27,DOMÈSTIC,1705,6250
2363,2021-06-28,DOMÈSTIC,1242,9779
2423,2021-06-21,DOMÈSTIC,849,9779
2460,2021-06-29,DOMÈSTIC,870,8995
2551,2021-06-30,DOMÈSTIC,920,1647
2614,2021-06-21,DOMÈSTIC,1087,344
2669,2021-06-14,DOMÈSTIC,856,11896
2736,2021-06-29,DOMÈSTIC,876,6287
2798,2021-06-27,DOMÈSTIC,845,11995
2821,2021-06-28,DOMÈSTIC,1074,4494
2868,2021-06-26,DOMÈSTIC,1062,11278
2876,2021-06-29,DOMÈSTIC,4340,8865
2930,2021-06-12,DOMÈSTIC,1127,3193
2971,2021-06-30,DOMÈSTIC,901,6801
3004,2021-06-28,DOMÈSTIC,1387,7155
3037,2021-06-23,DOMÈSTIC,1027,8133
