,FECHA,USO,CONSUMO,ID_CONTADOR
1007,2019-02-17,DOMÈSTIC,2866,642
1087,2019-03-24,DOMÈSTIC,1427,458
1269,2019-01-19,DOMÈSTIC,885,590
1283,2019-02-18,DOMÈSTIC,1432,744
1319,2019-03-17,DOMÈSTIC,1406,854
1343,2019-02-16,DOMÈSTIC,1693,744
1572,2019-02-23,DOMÈSTIC,942,167
1784,2019-03-10,DOMÈSTIC,1078,165
1837,2019-01-04,DOMÈSTIC,1824,739
2242,2019-01-04,DOMÈSTIC,1145,569
2261,2019-01-13,DOMÈSTIC,969,145
2292,2019-02-25,DOMÈSTIC,926,167
2501,2019-01-07,DOMÈSTIC,847,145
2681,2019-01-16,DOMÈSTIC,846,145
2861,2019-01-26,DOMÈSTIC,820,145
3075,2019-02-14,DOMÈSTIC,1659,726
3219,2019-03-23,DOMÈSTIC,815,159
3242,2019-02-17,DOMÈSTIC,900,536
3319,2019-03-24,DOMÈSTIC,1611,681
3341,2019-01-30,DOMÈSTIC,816,145
3442,2019-01-27,DOMÈSTIC,906,120
3481,2019-01-31,DOMÈSTIC,1145,842
3490,2019-03-17,DOMÈSTIC,2428,150
3495,2019-02-13,DOMÈSTIC,865,726
3555,2019-02-12,DOMÈSTIC,1727,726
3572,2019-03-16,DOMÈSTIC,1022,482
3586,2019-01-13,DOMÈSTIC,819,685
3601,2019-01-26,DOMÈSTIC,1075,842
3641,2019-01-05,DOMÈSTIC,1009,145
3645,2019-01-10,DOMÈSTIC,1378,467
3683,2019-02-24,DOMÈSTIC,1613,817
3692,2019-03-20,DOMÈSTIC,1225,482
3693,2019-03-29,DOMÈSTIC,2226,840
3721,2019-01-27,DOMÈSTIC,1901,842
3752,2019-03-26,DOMÈSTIC,854,482
3765,2019-01-20,DOMÈSTIC,1151,467
3781,2019-01-30,DOMÈSTIC,1108,842
3805,2019-01-28,DOMÈSTIC,1646,711
3812,2019-03-19,DOMÈSTIC,1203,482
3825,2019-01-06,DOMÈSTIC,1300,467
3841,2019-01-23,DOMÈSTIC,925,842
3872,2019-03-30,DOMÈSTIC,2675,482
3885,2019-01-05,DOMÈSTIC,1110,467
3891,2019-02-24,DOMÈSTIC,815,775
3932,2019-03-23,DOMÈSTIC,1686,482
3958,2019-03-03,DOMÈSTIC,909,779
3961,2019-01-24,DOMÈSTIC,890,842
4018,2019-03-10,DOMÈSTIC,954,779
4052,2019-03-27,DOMÈSTIC,885,482
4065,2019-01-16,DOMÈSTIC,1089,467
4112,2019-03-25,DOMÈSTIC,982,482
4125,2019-01-13,DOMÈSTIC,1640,467
4172,2019-03-24,DOMÈSTIC,942,482
4232,2019-03-21,DOMÈSTIC,947,482
4243,2019-02-16,DOMÈSTIC,949,851
4292,2019-03-28,DOMÈSTIC,1238,482
4305,2019-01-18,DOMÈSTIC,885,467
4352,2019-03-17,DOMÈSTIC,2638,482
4558,2019-03-17,DOMÈSTIC,1365,779
4600,2019-03-27,DOMÈSTIC,858,519
4618,2019-03-11,DOMÈSTIC,830,160
4735,2019-01-10,DOMÈSTIC,4754,134
4854,2019-02-16,DOMÈSTIC,1272,797
4900,2019-03-03,DOMÈSTIC,815,519
4911,2019-02-16,DOMÈSTIC,814,775
4915,2019-01-31,DOMÈSTIC,1216,108
4931,2019-01-25,DOMÈSTIC,823,166
4975,2019-01-20,DOMÈSTIC,1337,108
5086,2019-01-17,DOMÈSTIC,919,565
5395,2019-01-02,DOMÈSTIC,940,108
5611,2019-02-02,DOMÈSTIC,978,734
5659,2019-03-18,DOMÈSTIC,967,161
5707,2019-03-18,DOMÈSTIC,1115,158
5771,2019-01-05,DOMÈSTIC,974,166
5775,2019-02-21,DOMÈSTIC,1739,726
