FECHA,SUM_CONSUMO
2019-1,11570
2019-2,8284
2019-3,12507
2019-4,11974
2019-5,15992
2019-6,15140
2019-7,47768
2019-8,68724
2019-9,72808
2019-10,87736
2019-11,101076
2019-12,106584
2020-1,114866
2020-2,227698
2020-3,273044
2020-4,272878
2020-5,267741
2020-6,262077
2020-7,217595
2020-8,202984
2020-9,216864
2020-10,242636
2020-11,273085
2020-12,280118
2021-1,262156
2021-2,237641
2021-3,267916
2021-4,283931
2021-5,13824908
2021-6,75878567
2021-7,78694741
2021-8,74462704
2021-9,82592851
2021-10,91148791
2021-11,90268664
2021-12,41910695
