FECHA,SUM_CONSUMO
2019-1,28474236
2019-2,28340962
2019-3,33603293
2019-4,33233066
2019-5,36289850
2019-6,35666099
2019-7,37355855
2019-8,32476729
2019-9,40725831
2019-10,47340970
2019-11,48268606
2019-12,50050915
2020-1,54570790
2020-2,63168325
2020-3,69387586
2020-4,40259053
2020-5,68475061
2020-6,62905660
2020-7,56519433
2020-8,57745962
2020-9,68917739
2020-10,80387577
2020-11,82300740
2020-12,84417656
2021-1,85901295
2021-2,79301291
2021-3,86230238
2021-4,83333420
2021-5,87910928
2021-6,87625890
2021-7,85443456
2021-8,71785447
2021-9,87089083
2021-10,96244522
2021-11,97751155
2021-12,44532881
