FECHA,SUM_CONSUMO
2019-1,10697749
2019-2,9667625
2019-3,11108247
2019-4,10755441
2019-5,11174315
2019-6,11090540
2019-7,11459107
2019-8,10859742
2019-9,10989922
2019-10,11122958
2019-11,10631969
2019-12,11094485
2020-1,11039045
2020-2,11987268
2020-3,14120369
2020-4,14300518
2020-5,14912275
2020-6,14040595
2020-7,11799805
2020-8,13987540
2020-9,13448250
2020-10,14500566
2020-11,14293290
2020-12,14755994
2021-1,14777828
2021-2,13309682
2021-3,14745822
2021-4,14393332
2021-5,14915489
2021-6,13920244
2021-7,14381757
2021-8,13754920
2021-9,14050420
2021-10,14144484
2021-11,13582309
2021-12,6212131
