FECHA,SUM_CONSUMO
2019-1,56755813
2019-2,52473305
2019-3,60966240
2019-4,59776993
2019-5,63486138
2019-6,62274651
2019-7,64068295
2019-8,60853581
2019-9,64702047
2019-10,67658565
2019-11,66041487
2019-12,66668301
2020-1,67959458
2020-2,107844140
2020-3,122896514
2020-4,119143534
2020-5,123943835
2020-6,115871302
2020-7,104575217
2020-8,113068011
2020-9,113377981
2020-10,123114382
2020-11,121920558
2020-12,123266266
2021-1,122910890
2021-2,111423723
2021-3,121682687
2021-4,117167909
2021-5,121482328
2021-6,114681037
2021-7,118388412
2021-8,108418872
2021-9,114064806
2021-10,119597250
2021-11,117031197
2021-12,53995645
