FECHA,SUM_CONSUMO
2019-1,6568
2019-2,14416
2019-3,6732
2019-4,10366
2019-5,9300
2019-6,17034
2019-7,21536
2019-8,24088
2019-9,16249
2019-10,20160
2019-11,11589
2019-12,11586
2020-1,9056
2020-2,12185
2020-3,7066
2020-4,4554
2020-5,9197
2020-6,12747
2020-7,9414
2020-8,11296
2020-9,5794
2020-10,4592
2020-11,5192
2020-12,5322
2021-1,19663861
2021-2,46842766
2021-3,51288869
2021-4,55579333
2021-5,63236858
2021-6,60199745
2021-7,62714574
2021-8,53095303
2021-9,66387987
2021-10,78167807
2021-11,89389928
2021-12,41507940
