FECHA,SUM_CONSUMO
2019-1,18525
2019-2,20137
2019-3,23719
2019-4,23289
2019-5,19470
2019-6,28796
2019-7,28132
2019-8,29089
2019-9,25550
2019-10,25794
2019-11,18686
2019-12,20800
2020-1,14585
2020-2,83939
2020-3,100365
2020-4,104691
2020-5,119459
2020-6,114366
2020-7,121955
2020-8,197285
2020-9,252801
2020-10,259712
2020-11,237865
2020-12,225392
2021-1,21192713
2021-2,49941157
2021-3,55622210
2021-4,63536112
2021-5,69836586
2021-6,64764363
2021-7,66768287
2021-8,59330200
2021-9,69375070
2021-10,82274885
2021-11,103252117
2021-12,56028688
